Order,Question,A,B,C,D,answer
22,Find the probability of selecting a figure which is parallelogram from a square  a rectangle  a rhombus  a kite and a trapezium  ,3/5 ,2/5 ,1/5 ,1/5 ,A
23,Factorize 6x2 – 14x – 12 ,2(x + 3)(3x – 2) ,6(x – 2)(x + 1) ,2(x – 3)(3x + 2) ,6(x + 2)(x – 1) ,C
24,The value of (0.303)3 – (0.02)3 is ,0.019,0.0019,0.0268,0.000019,C
25,The expression ax2 + bx takes the value 6 when x = 1 and 10 when x = 2. Find its value when  x = 5       ,10,12,6,.-10,A
26,The volume of a certain sphere is numerically equal to twice its surface area. The diameter of the sphere is: ,6,9,12,,C
27,A girl walks 30m from a point P on  a bearing of 040 to a point Q. she   then walks 30m on a bearing of 140 to a point R. the bearing of R from P is ,90,50 ,45,40,A
28,The indefinite integral of the function f(x) = xcosx for any constant k  is ,–cos + sinx +k   ,xsinx-cosx    ,xsinx for any constant k    ,x+sinx+cosx+k,C
29,A man kept 6 black  5 brown and 7 purple shirts in a drawer. What is the probability of his picking a purple shirt with his eyes close ,1/7,7/18 ,11/18 ,7/11,B
30,A regular polygon has each of it angles as 1600. What is the number of sides of the polygon?  ,18     ,36        ,9      ,20,A
31,The average age of x pupils in a class is 14 years 2 months. A pupils of 15years 2 months joins the class and  the average age is increased  by one month. Find x.      ,12  , 6  ,11 ,14 ,C
32,In a class  37 students take a least one of chemistry  Economics and Government  8 students take Chemistry  19 take Economics and 25 take Government  12 students take Economics and Government but nobody takes Chemistry and Economics. How many students take both chemistry and Government? ,3,4,5,6,A
33,Z is partly constant and partly varies inversely as the square of d. when d = 1  z = 11 and when d = 2  z = 5. Find the value of z when d = 4.  ,2,3.5,5,5.5,B
34,The expression ax2 + bx takes the value 6 when x = 1 and 10 when x = 2. Find its value when  x = 5       ,10,12,6,.-10,A
35,What is the coordinate of centre of the circle X2+y2+2x-4y =10?  ,(-1 -2),( 1  2), (-1  2) , (1  -2),D
36,The value of (0.303)3 – (0.02)3 is ,0.019,0.0019,0.0268,0.000019,C
37,When the price of egg was raised by N2 an egg  the number of eggs which can be bought for N 120 is reduced by 5. The present price of an egg is ,N 6. ,N 7  ,N 8,N10,C
38,A sum of money was invested at 8% per annum simple interest. If after 4 years  the   money became ,N180 ,N 165 ,N15   ,N 200,D
39,The indefinite integral of the function f(x) = xcosx for any constant k  is ,–cos + sinx +k   ,xsinx-cosx    ,xsinx for any constant k    ,x+sinx+cosx+k,C
40,If 32y – 6(3y) = 27  find y ,3,-1,2,-3,C
41,Evaluate x in base 3 if 41x-22x=17x. ,11,8,12,22,D
42,If  are the roots of equation 6 +5x –x2 =0  find  x,11,-11,1,-1,B
43,All the 120 pupils in a school learn Yoruba or Igbo or both. Given that 75 learn Yoruba and 60 learn Igbo. How many learn Igbo only?   ,45,30,15,60,A
44,A sector circle of radius 7.2cm which subtends an angle of 3000 at the centre is used to   form a cone. What is the radius of the base of the cone?. ,6cm ,7cm ,8cm    ,9cm      ,A
45,Find the probability that a number selected at random 40 to 50 is a prime number   ,3/11,5/11,5/10,4/10,A
46,Solve for p in the following  equation given in base two  11(p+ 110) = 1001p   ,10,11,110,111,B
47,Two fair dice are rolled. What is the probability that both show up the same number of point?,1/36 ,7/36 ,½ ,1/6,D
48,Two fair dice are rolled. What is the probability that both show up the same number of point?,1/36 ,7/36 ,½ ,1/6,D
49,Factorize 16(3x+2y)2-25 (a+2b)2,(12x +8y+5a+10b)(12x+8y-5a-10b)    ,(12x+8y-5a-10b) (12x+8y-5a-10b)     ,20 (3x +2y-a-2b)(3x+2y+a+2b)  ,20(3x+2y+a+2b) (3x+2y+a+2b).,A
50,A square tile measures 20cm by 20cm. How many of such tiles will cover a floor measuring 5m by 4m? ,500,400,320,250,A
51,A bearing of 310o  expressed as a compass bearing is: ,N50oW  ,N40oW  ,S40oW  ,S50oW,A
52,When the price of egg was raised by N2 an egg  the number of eggs which can be bought for N 120 is reduced by 5. The present price of an egg is ,N 6. ,N 7  ,N 8,N10,C
53,How long will take a sum of money invested at 8% simple interest to double the original sum? ,8 years  ,10.5years  ,(1years ,12.5years,D
54,Find the probability that a number selected at random 40 to 50 is a prime number   ,3/11,5/11,5/10,4/10,A
55,Given f(x) =3+x and g(x) =3-x  find g (f(x)),6,x,-x,0,B
56,When the price of egg was raised by N2 an egg  the number of eggs which can be bought for N 120 is reduced by 5. The present price of an egg is ,N 6. ,N 7  ,N 8,N10,C
57,1.3logx+logy =3. Then  y is  ,(10/x)3 ,(x/10)3  ,(x/10)-3 ,(10/x)1-1/3 ,A
58,Find the probability of selecting a figure which is parallelogram from a square  a rectangle  a rhombus  a kite and a trapezium  ,3/5 ,2/5 ,1/5 ,1/5 ,A
59,Solve for p in the following  equation given in base two  11(p+ 110) = 1001p   ,10,11,110,111,B
60,Solve 4x2 +20x -24 =0, 1  6, -1  -6,6  -1,-6  1,D
61,A man kept 6 black  5 brown and 7 purple shirts in a drawer. What is the probability of his picking a purple shirt with his eyes close ,1/7,7/18 ,11/18 ,7/11,B
62,The value of (0.303)3 – (0.02)3 is ,0.019,0.0019,0.0268,0.000019,C
63,A bag contains 10 balls of which 3 are red and 7 are white. Two balls are drawn at random. Find the probability of none of the balls is red  if the draw is with replacement: ,0.9,1,0.47,0.49,D
64,An (n-2)2 sided figure has n diagonal  find the number n of diagonal for a 25 sided Figure   ,8,7,6,10,B
65,If 32y – 6(3y) = 27  find y ,3,-1,2,-3,C
66,The journey from Lagos to Ibadan usually takes a motorist 1 hour 30 minutes. By increasing his average speed by 20km/hr  the motorist saves 15 minutes. His usual speed  in Km/hr is ,100,90,85,80,A
67,A regular polygon has each of it angles as 1600. What is the number of sides of the polygon?  ,18     ,36        ,9      ,20,A
68,Two fair dice are rolled. What is the probability that both show up the same number of point?,1/36 ,7/36 ,½ ,1/6,D
69,Solve the equation 3x+1 = 271-x  ,1/2,-1/2,3/4,-3/4,A
70,Find the probability of selecting a figure which is parallelogram from a square  a rectangle  a rhombus  a kite and a trapezium  ,3/5 ,2/5 ,1/5 ,1/5 ,A
71,Factorize 6x2 – 14x – 12 ,2(x + 3)(3x – 2) ,6(x – 2)(x + 1) ,2(x – 3)(3x + 2) ,6(x + 2)(x – 1) ,C
72,A number of pencils were shared out among peter  Paul and Audu in the ratio 2:3:5 respectively. If Peter got 5  how many were shared? ,15,25,30,50,B
73,Evaluate x in base 3 if 41x-22x=17x. ,11,8,12,22,D
74,A cone has base radius 4cm and  height 3cm. The area of its curved surface is,12pcm2     ,20pcm2,24pcm2 ,15cm2,B
75,Z is partly constant and partly varies inversely as the square of d. when d = 1  z = 11 and when d = 2  z = 5. Find the value of z when d = 4.  ,2,3.5,5,5.5,B
76,Given f(x) =3+x and g(x) =3-x  find g (f(x)),6,x,-x,0,B
77,All the vertices of an isosceles triangle lie on a circle and each of the base angles  of the triangle is 65o. The angle subtended at the centre of the circle by the base of the triangle is: ,130o  ,115o  ,50o  ,65o,C
78,Two fair dice are rolled. What is the probability that both show up the same number of point?,1/36 ,7/36 ,½ ,1/6,D
79,Solve for p in the following  equation given in base two  11(p+ 110) = 1001p   ,10,11,110,111,B
80,If x= 0.0012 + 0.00074 + 0.003174  what is the difference between x to 2 decimal places and x to 1 significant figure? ,0.01,0.0051,0.1,0.005,D
81,A girl walks 30m from a point P on  a bearing of 040 to a point Q. she   then walks 30m on a bearing of 140 to a point R. the bearing of R from P is ,90,50 ,45,40,A
82,How many different three digit numbers can be formed using the integers 1 to 6 if no integer 1 to 6 if no integer occurs twice in a number? ,720,1260,2520,5040,B
83,Two fair dice are rolled. What is the probability that both show up the same number of point?,1/36 ,7/36 ,½ ,1/6,D
84,A bag contains 10 balls of which 3 are red and 7 are white. Two balls are drawn at random. Find the probability of none of the balls is red  if the draw is without replacement ,0.1,0.47,0.42,0.21,B
85,The indefinite integral of the function f(x) = xcosx for any constant k  is ,–cos + sinx +k   ,xsinx-cosx    ,xsinx for any constant k    ,x+sinx+cosx+k,C
86,A sector circle of radius 7.2cm which subtends an angle of 3000 at the centre is used to   form a cone. What is the radius of the base of the cone?. ,6cm ,7cm ,8cm    ,9cm      ,A
87,Expand the expression (x2-2x-3)(x2+x+1).  ,x4-4x2-5x-3  ,–x3-4x2+5x-3,x4-x3-4x2-5x-3  ,x4-4x2-5x -3,C
88,A man kept 6 black  5 brown and 7 purple shirts in a drawer. What is the probability of his picking a purple shirt with his eyes close ,1/7,7/18 ,11/18 ,7/11,B
89,Factorize 6x2 – 14x – 12 ,2(x + 3)(3x – 2) ,6(x – 2)(x + 1) ,2(x – 3)(3x + 2) ,6(x + 2)(x – 1) ,C
90,A bag contains 10 balls of which 3 are red and 7 are white. Two balls are drawn at random. Find the probability of none of the balls is red  if the draw is with replacement: ,0.9,1,0.47,0.49,D
91,Z is partly constant and partly varies inversely as the square of d. when d = 1  z = 11 and when d = 2  z = 5. Find the value of z when d = 4.  ,2,3.5,5,5.5,B
92,A cone has base radius 4cm and  height 3cm. The area of its curved surface is,12pcm2     ,20pcm2,24pcm2 ,15cm2,B
93,A square tile measures 20cm by 20cm. How many of such tiles will cover a floor measuring 5m by 4m? ,500,400,320,250,A
94,If 7 and 189 are the first and fourth terms of a geometric progression respectively find the sum of the first three terms of the progression ,182,180,91,63,C
95,The value of (0.303)3 – (0.02)3 is ,0.019,0.0019,0.0268,0.000019,C
96,A regular polygon has each of it angles as 1600. What is the number of sides of the polygon?  ,18     ,36        ,9      ,20,A
97,A sum of money was invested at 8% per annum simple interest. If after 4 years  the   money became ,N180 ,N 165 ,N15   ,N 200,D
98,Evaluate x in base 3 if 41x-22x=17x. ,11,8,12,22,D
99,A girl walks 30m from a point P on  a bearing of 040 to a point Q. she   then walks 30m on a bearing of 140 to a point R. the bearing of R from P is ,90,50 ,45,40,A
100,An (n-2)2 sided figure has n diagonal  find the number n of diagonal for a 25 sided Figure   ,8,7,6,10,B
