Order,Question,A,B,C,D,answer
14,Animal that chew their cud are called ..........animal,Non-ruminant,Ruminant,Complex animal,Arabian animals,B
15,Which of the following branches of agriculture will a farmer who is interested in Ornamental plants engage in?,Agronomy,Extension,Forestry,Horticulture,D
16,upermarket is an example of ______ market,Commodity,Consumer,Industrial,International,B
17,The following are examples of annual crops EXCEPT______,Cotton ,Cowpea,Pineapple,Millet,C
18,The following method are used for controlling weeds EXCEPT,hand pulling   	 ,use of herbicides  ,   burning, use of pesticide,D
19,Disease causing organisms are referred to as____,Pathogene,Pathogenic,Pathogenn,Paraforce,B
20,Animal that chew their cud are called ..........animal,Non-ruminant,Ruminant,Complex animal,Arabian animals,B
21,upermarket is an example of ______ market,Commodity,Consumer,Industrial,International,B
22,Biological weed control is the use of ______ to control weed,Machine,Fire,Animals,Cutlass,C
23,Which of the following animals does not feed on hay?,Cattle,Goat,Horse,Poultry,D
24,A plant that grows where it is not wanted is referred to as a _________,Crop,Fodder,Forage,Weed,D
25,Facilities made available on the farm to assist the smooth running of the farm is,Farm building,Farm structure,Production structure,Storage structure,B
26,Apiculture deals with keeping of ___,Bees,Ducks,Rabbits,Turkey,A
27,Structure made of wood or wire netting for rearing rabbit is,Paddock,Hutch,Cages,Fish pond,B
28,The following are examples of annual crops EXCEPT______,Cotton ,Cowpea,Pineapple,Millet,C
29,Which of the following crops is cultivated mainly for its protein content?,Beans,Cocoa,Oil palm,Rice,A
30,Which of the following branches of agriculture will a farmer who is interested in Ornamental plants engage in?,Agronomy,Extension,Forestry,Horticulture,D
31,…......... is a product of a dairy animal,Milk,Meat,Fish,Gold,B
32,Cocoa bean is a raw material for the production of _____,Chocolate,Soap,Cooking oil,Plastic,A
33,The following crops are sources of carbohydrate EXCEPT,Cabbage,Rice,Potato,Cassava,A
34,Which of the following is an example of burrowing insect?,Cricket,Grasshopper,Weevil,Locust,B
35,Cotton is an example of ________ crop,Beverage ,Cereal,Fibre,Latex,C
36,Cocoa bean is a raw material for the production of _____,Chocolate,Soap,Cooking oil,Plastic,A
37,The act of encouraging farmers to sell farm produce to other countries is _____promotion,Bond,Cash,Export,Share,C
38,Which of the following material is used in propagating plantain,Sucker,Bulb,Stem,Rhizome,A
39,upermarket is an example of ______ market,Commodity,Consumer,Industrial,International,B
40,Cocoa bean is a raw material for the production of _____,Chocolate,Soap,Cooking oil,Plastic,A
41,Crops that grow and germinate within a year are ______ crops,Perennial,Annual,Biennial,,B
42,Cocoa bean is a raw material for the production of _____,Chocolate,Soap,Cooking oil,Plastic,A
43,The major disadvantage of using biological method of weed control is that the animals,compete with the crops for nutrient  ,may damage cultivated crops  , increase soil nutrient  ,plant crops,B
44,The following are farm machinery EXCEPT ____,Ridges,Harrow,Harvester,Plough,A
45,The following are examples of annual crops EXCEPT______,Cotton ,Cowpea,Pineapple,Millet,C
46,Onion is propagated by,Bulb,Com,Rhizome,Sucker,A
47,Which of the following is not a feeding equipment for farm animals?,Battery cage,Creep feeders,Feeding trough,Hay rack,A
48,Which of the following is an example of burrowing insect?,Cricket,Grasshopper,Weevil,Locust,B
49,Which of the following is a raw material for a textile industry,Cocoa,Cotton,Millet,Rubber,B
50,Biological weed control is the use of ______ to control weed,Machine,Fire,Animals,Cutlass,C
51,The following are examples of annual crops EXCEPT______,Cotton ,Cowpea,Pineapple,Millet,C
52,A farmer can control endoparasite in his flock by, allowing animals to graze together , feeding animals adequately , providing water ,regular deworming ,D
53,Plants with one seed leaf are called ________,Monocot,Dicot,Tricot,Quacot,A
54,The following are mechanical weed control EXCEPT,Crop rotation,Cutting,Hand pulling,Hoeing,A
55,Which of the following is an example of burrowing insect?,Cricket,Grasshopper,Weevil,Locust,B
56,Which of the following is a piercing and sucking insects,Aphid,Cricket,Grasshopper,Termite,A
57,The following are examples of annual crops EXCEPT______,Cotton ,Cowpea,Pineapple,Millet,C
58,Which of the following is NOT a pest of farmland,  	 Caterpillar, Earthworm,Squirrel,Termite,B
59,Disease causing organisms are referred to as____,Pathogene,Pathogenic,Pathogenn,Paraforce,B
60,Growing of enough crop for farmer to feed himself and his family is regarded as,Commercial,Cooperative,Mixed,Subsistence,D
61,Which of the following is a raw material for a textile industry,Cocoa,Cotton,Millet,Rubber,B
62,Swollen and eruption on the udder of a cow are symptoms of,Anthrax,Mastitis,Rinderpest,Brucellosis,B
63,A vertical cross-section of soil from the top soil down to the bedrock is called soil _____,Structure,Horizon,Profile,Texture,C
64,In biological control of weeds______ are used in controlling weeds,Living organisms,Machines,Herbicides,Burning,A
65,Which of the following is a raw material for a textile industry,Cocoa,Cotton,Millet,Rubber,B
66,A farmer can control endoparasite in his flock by, allowing animals to graze together , feeding animals adequately , providing water ,regular deworming ,D
67,Which of the following branches of agriculture will a farmer who is interested in Ornamental plants engage in?,Agronomy,Extension,Forestry,Horticulture,D
68,upermarket is an example of ______ market,Commodity,Consumer,Industrial,International,B
69,An important export produce in Nigeria is,Banana,Cocoa,Orange,Salt,B
70,Apiculture deals with keeping of ___,Bees,Ducks,Rabbits,Turkey,A
71,The chemical used to control weed is called,Herbicide,Pesticide,Fungicide,Insecticide,A
72,Which of the following crops is cultivated mainly for its protein content?,Beans,Cocoa,Oil palm,Rice,A
73,Which of the following animals does not feed on hay?,Cattle,Goat,Horse,Poultry,D
74,The following are biting and chewing insects EXCEPT,Bettle,Grasshopper,Butterfly,Rat,D
75,Which of the following operations should be carried out to prevent diseases in farm animals?,Vaccination,Castration,Culling,Insemination,A
76,Which of the following is a piercing and sucking insect?,Grasshopper,Butterfly,Termite,Bettle,B
77,The following are farm machinery EXCEPT ____,Ridges,Harrow,Harvester,Plough,A
78,Which of the following crops is cultivated mainly for its protein content?,Beans,Cocoa,Oil palm,Rice,A
79,Disease causing organisms are referred to as____,Pathogene,Pathogenic,Pathogenn,Paraforce,B
80,…..structure is used in storing farm produce.,Production,Processing,Utility,Storage,D
81,The distance between one plant and another along the same row or ridge is called,Ploughing,Spacing,Weeding,Stumping,B
82,Weed are useful in the following ways EXCEPT,compete with crop for nutrient   , conservation of water ,control soil erosion,,A
83,A plant that grows where it is not wanted is referred to as a _________,Crop,Fodder,Forage,Weed,D
84,Cocoa bean is a raw material for the production of _____,Chocolate,Soap,Cooking oil,Plastic,A
85,A plant that grows where it is not wanted is referred to as a _________,Crop,Fodder,Forage,Weed,D
86,Which of the following animals does not feed on hay?,Cattle,Goat,Horse,Poultry,D
87,A vertical cross-section of soil from the top soil down to the bedrock is called soil _____,Structure,Horizon,Profile,Texture,C
88,....... Plant is propagated by stem,Maize,Plantain,Cassava,Yam,C
89,A trowel is mainly used for _____,Pruning,Thinning,Transplant,Harvesting,C
90,Which of the following branches of agriculture will a farmer who is interested in Ornamental plants engage in?,Agronomy,Extension,Forestry,Horticulture,D
91,Which of the following crops cannot be processed by winnowing,Bambara nut,Cowpea,Maize,Sorghum,F
