Order,Question,A,B,C,D,answer
48,Discount Received Account is a,real account,personal account,nominal account,profit and loss account,C
49,The diary or events in which all financial transactions    are    recorded    for    easy reference and to assist in the double entry system is ,Ledger,Journal   ,Purchases and sales day books ,Debit and credit documents,A
50,Musa, a prepaid customer of XYZ and KLM, bought  N1500 recharge card from XYZ and  N2000 recharge card from KLM for business calls. The entry to record these transaction is debit,telephone  N 3,500, credit XYZ and KLM  N 3,500,telephone N 3,500. credit cash  N 3,500,sundries N 3,500, credit KLM  N 3,500,sundries  N 3.500, credit telephone  N3,500,A
51,Net turnover is referred to as,purchases,assets,sales,profits,C
52,Stock valuation is useful because it informs the sales department on the,prices of the competing goods,prices that will affect profitability,number of goods to produce,number of goods to sell.,B
53,Which of the following accounts would be classified as a current on the balance sheet?,Office Equipment,Accumulated Depreciation,Land,Accounts receivable,D
54,Capital expenditure for the year was,Le 545,000,Le 490,000,Le 450,000,Le 300,000,B
55,The adjusted cash book balance is,D11,200,D8,400,D6,200,D5,600,D
56,Which of the following is not a revenue to a local government?,Fines,Licenses,Personal income tax,Tenement rates,C
57,The essential amount of depreciation or equipment for a period is 2,000 the adjusting end to record depreciation would be,Debit depreciation expense, 2000, credit expense, 2,000,Debit equipment, 2,000; credit depreciation expense, 2,000,Debit accumulated depreciation, 2,000. credit depreciation expense 2,000    ,Debit depreciation expense, 2,000; credit accumulated depreciation 2,000.,D
58,Which of the following is used to record the disposal of a fixed asset?,Journal  Proper,Petty  Cash  Book,Sales Day Book,Purchases Day Book,A
59,Which of the following is an example of factory overheads?,Salary of marketing officer,Salary of production officer,Salary of accounting officer,Wages of machine operator,D
60,Which of the following is not a revenue expenditure?,Payment: of salaries,Payment for advertisement,Purchases of motor vehicle,Purchases of goods.,C
61,In the balance sheet, the subscription in arrears will be,N 200,N 300,N 1,200,N 1,300,C
62,…………………checks the arithmetical accuracy of double entry accounts ,trading account ,profit and loss account ,balance sheet ,trial lance,D
63,A discount that is allowed to encourage a debtor to pay off his debt within a period is the,trade discount,annual discount,periodic discount,cash discount.,D
64,Which of the following is a nominal account?,Machinery Account,Drawings Account,Debtors Account,Wages Account,D
65,The Sales Ledger Control Account is also referred to as,Bought Ledger Control Account.,Purchases Account.,Total Debtors Account.,Total Creditors Account.,C
66,Subscription in advance is treated in the Balance Sheet of 	non-profit making organizations as,current asset,fixed asset,Current liability,accumulated fund,C
67,The quality of output information depends on the,quality of input data,time of processing,speed of processing,quantity of output device,A
68,Which of the following is used to record the disposal of a fixed asset?,Journal  Proper,Petty  Cash  Book,Sales Day Book,Purchases Day Book,A
69,Journal proper is used in recording,transactions that are not regular,returns from customers,credit sales,the receipt and payment of  money,A
70,The cost of raw materials consumed is,GHc 58,000.,GHc 52,500.,GHc 52,000.,GHc 50,000.,B
71,Cost of raw materials consumed is,D113,000,D105,500,D98,000,D95,500.,C
72,Stock valuation is useful because it informs the sales department on the,prices of the competing goods,prices that will affect profitability,number of goods to produce,number of goods to sell.,B
73,Which of the following is not a revenue to a local government?,Fines,Licenses,Personal income tax,Tenement rates,C
74,Stock valuation is useful because it informs the sales department on the,prices of the competing goods,prices that will affect profitability,number of goods to produce,number of goods to sell.,B
75,The receipts and payments of a club is the same  as ,  Profit and   loss  account  ,Trading Account ,Cash book ,control Account,C
76,The quality of output information depends on the,quality of input data,time of processing,speed of processing,quantity of output device,A
77,  Prepaid wages is an item in the (i)Balance Sheet (ii) Profit and loss account (iii)Trading  account (iv) Cash account ,i, ii, iii only ,ii, iii  ,i, ii ,iii, iv,A
78,Posting  the  transactions   in bookkeeping means ,making the first entry of a double entry transaction ,entering items in a cash book ,making the second  entry of a double entry transaction ,something other than the above.,A
79,Which of the following is not a book of original entry?,Sales journal,Purchases account,Cash account,Return inwards journal,C
80,A suspense account is used to,agree the trial balance,record sales,record purchases,correct errors,A
81,The diary or events in which all financial transactions    are    recorded    for    easy reference and to assist in the double entry system is ,Ledger,Journal   ,Purchases and sales day books ,Debit and credit documents,A
82,The annual depreciation is,N9,000,N8,500,N8,000,N6,500,C
83,Partnership    is    a    business    owned and controlled by ,Two members ,two to ten members ,Two to twenty person  ,Two to five persons,C
84,Which of the following is a nominal account?,Machinery Account,Drawings Account,Debtors Account,Wages Account,D
85,Rent receivable is a,current asset,current liability,contingent liability,fictitious asset,B
86,  Which of the following is not part of the main uses of the journal , purchase and sale   of   fixed   assets   on  credit   ,the  correction of errors ,writing off bad debts ,none of the above,D
87,The gross profit on manufacture is,N 6,120,N 6,100,N 5,100,N 5,000,C
88,One of the purposes of maintaining the account of a branch at the head office is to,record charges in shareholdings,record charges in liabilities,check the excesses of customers,check the excesses of members of staff.,D
89,Which of the following methods gives a conservative closing stock value during a period of rising prices?,LIFO,FIFO,Simple average,Periodic simple average,A
90,  Which of the following is not part of the main uses of the journal , purchase and sale   of   fixed   assets   on  credit   ,the  correction of errors ,writing off bad debts ,none of the above,D
91,Calculate the total figure for the receipts and payments account.,N 11,410,N  13,630,N  9, 310,N  11, 530.,D
92,A pension granted to any past president or vice-president shall be charged to the,consolidated revenue fund,special pension fund,contingency fund,development fund.,B
93,What is the net profit?,N  46,000,N 45,000,N  28,000,N  27,000,C
94,The essential amount of depreciation or equipment for a period is 2,000 the adjusting end to record depreciation would be,Debit depreciation expense, 2000, credit expense, 2,000,Debit equipment, 2,000; credit depreciation expense, 2,000,Debit accumulated depreciation, 2,000. credit depreciation expense 2,000    ,Debit depreciation expense, 2,000; credit accumulated depreciation 2,000.,D
95,Which of the following is used to record the disposal of a fixed asset?,Journal  Proper,Petty  Cash  Book,Sales Day Book,Purchases Day Book,A
96,According to the provisions of the 1999 Constitution, all revenues generated by the Federal Government must be paid into the?,Consolidated Revenue Fund,Federation Account,Revenue Mobilization Allocation and Fiscal Commission’s Account,Equalization Fund,A
97,Which of the following is not a revenue to a local government?,Fines,Licenses,Personal income tax,Tenement rates,C
98,Find the salary charged to Zera product.,N 1 854,N 1 845,N 1 062,N 1 134.,C
99,Which of the following is not a revenue to a local government?,Fines,Licenses,Personal income tax,Tenement rates,C
100,According to the provisions of the 1999 Constitution, all revenues generated by the Federal Government must be paid into the?,Consolidated Revenue Fund,Federation Account,Revenue Mobilization Allocation and Fiscal Commission’s Account,Equalization Fund,A
