Order,Question,A,B,C,D,answer
26,Free flow of truthful information in the market place is a feature of ______,consumer goods,consumer protection,retailers,producers,B
27,The importance of the “Rule of law” in the society is that it enables the society to,be educated,be orderly and perform properly,choose leaders,have more educated lawyers ,B
28,One can benefit from being disciplined through being _____,pride to oneself or community,pride to one’s family,elevated in society or work place,all of the above,D
29,Free flow of truthful information in the market place is a feature of ______,consumer goods,consumer protection,retailers,producers,B
30,A Law abiding citizen is one who _______,Goes to court each day in the society,is a lawyer,keeps and obeys the rules and regulations of the society,see law books and materials.,C
31,In the united states of America, the organ that makes laws is called the___________,congress,parliament,national assembly,none of the above,A
32,Which of the following are the symbols  not recognized in Nigeria?,state religion,national flag,national coat of arm ,national anthem,A
33,A Law abiding citizen is one who _______,Goes to court each day in the society,is a lawyer,keeps and obeys the rules and regulations of the society,see law books and materials.,C
34,All these are examples of criminal offences except,armed robbery,murder,traffic offences,drug trafficking ,C
35,In Nigeria, the government at the central is called __________,federal,high,state,local ,A
36,All these are included in the enumerated list except _____________,aviation,currency ,security,chieftaincy,D
37,______ is termed to mean enforcing obedience in a society,studying,teaching,discipline,A and D,C
38,The rule of law is also known as supremacy of _______________,Law ,Leaders,Lawyer ,Justice  ,A
39,One of the following is a responsibility of a consumer,speak out,safety ,information,choice ,A
40,The chief executive of local government is    ____________,councilor,honourable,governor,chairman,D
41,The system of government that uses King and Queen is,Federal,Theocracy,Monarchy ,Totalitarian ,C
42,The following are qualities of a good citizen, except  __________,Hard work,Punctuality,Patriotism,Partiality ,D
43,The chief executive of local government is    ____________,councilor,honourable,governor,chairman,D
44,A sense of strong moral standard, about life and situation is known as____________,goodness,integrity,fairness,self-dependence,B
45,The arms of government which interprets the law is   _____,executive,judiciary,legislative,political parties  ,B
46,A Law abiding citizen is one who _______,Goes to court each day in the society,is a lawyer,keeps and obeys the rules and regulations of the society,see law books and materials.,C
47,A disciplined child is a ____ in his or her society,great wealth,priceless gem,reject,princess,B
48,When the national flag is flown at half mast, it is a sign of _________,national education,national mourning,national consciousness ,Nigerian independence ,B
49,The full meaning of NDLEA is,national directorate of law enforcement,Nigeria drug agency enforcement agency, national drug law enforcement agency,national drug law equipment agency  ,C
50,The primary duty of government is to ____________,conduct elections,protect lives and properties,jail offenders,obtain foreign loans ,B
51,The body responsible for conducting election in Nigeria is,FEDCO,NEC ,NECON,INEC,D
52,One of the attributes of contentment is  ____________,satisfaction,envy,greed,corruption,A
53,One of the features of a courageous person is     ____________,out-spokeness,fearful,modesty,punctuality ,A
54,The importance of the “Rule of law” in the society is that it enables the society to,be educated,be orderly and perform properly,choose leaders,have more educated lawyers ,B
55,All of the following promote good value system except  ______________,consistency ,trust,intolerance,commitment,C
56,One can benefit from being disciplined through being _____,pride to oneself or community,pride to one’s family,elevated in society or work place,all of the above,D
57,A disciplined child is a ____ in his or her society,great wealth,priceless gem,reject,princess,B
58,______ is termed to mean enforcing obedience in a society,studying,teaching,discipline,A and D,C
59,Various products at competitive prices make buyers to _________,shy away from buying anything,have choices  ,complain of too many products ,become sales persons,B
60,One of the following is a responsibility of a consumer,speak out,safety ,information,choice ,A
61,The quality of being useful or important is called ______________,integrity,value,tolerance,unity,B
62,The list on which both the federal and state makes laws is called the ___________,exclusive,concurrent list,residual list,enumerated list ,B
63,All except one is the attribute of integrity,honesty,fair play ,truthfulness,cheating ,D
64,The full meaning of NDLEA is,national directorate of law enforcement,Nigeria drug agency enforcement agency, national drug law enforcement agency,national drug law equipment agency  ,C
65,Which of the following agencies is not concerned with fighting corruption in Nigeria,SSS	,EFCC ,NGO,ICPC,C
66,All these are examples of criminal offences except,armed robbery,murder,traffic offences,drug trafficking ,C
67,The list on which both the federal and state makes laws is called the ___________,exclusive,concurrent list,residual list,enumerated list ,B
68,The arms of government are judiciary, legislature and ____________,senate,house of representative ,president ,executive,D
69,The arms of government which interprets the law is   _____,executive,judiciary,legislative,political parties  ,B
70,The leader of the federal house of representative is ___________,President,Clerk ,Speaker,Majority leader,C
71,Absence of contentment can lead to  _____,humility,corruption,legitimacy,greatness ,B
72,Free flow of truthful information in the market place is a feature of ______,consumer goods,consumer protection,retailers,producers,B
73,One of the things cooperation can lead to is ____________,strength,increase of population,goal achievement,increase in size,C
74,The state and local government are empowered to make laws on the following except,currency ,. market   ,license ,chieftaincy ,A
75,One can benefit from being disciplined through being _____,pride to oneself or community,pride to one’s family,elevated in society or work place,all of the above,D
76,A Law abiding citizen is one who _______,Goes to court each day in the society,is a lawyer,keeps and obeys the rules and regulations of the society,see law books and materials.,C
77,The list on which both the federal and state makes laws is called the ___________,exclusive,concurrent list,residual list,enumerated list ,B
78,The arms of government which interprets the law is   _____,executive,judiciary,legislative,political parties  ,B
79,There are ____ local government areas in Nigeria,774,775,776 ,777,A
80,The number of states in Nigeria are __________,31,36,35,37,B
81,One can benefit from being disciplined through being _____,pride to oneself or community,pride to one’s family,elevated in society or work place,all of the above,D
82,Attributes of integrity include one (1) of the following ___________,truthfulness,corruption,diplomacy,bribery ,A
83,The leader of the federal house of representative is ___________,President,Clerk ,Speaker,Majority leader,C
84,The first case of Ebola was reported in Nigeria was in____,Lagos ,Ibadan,Abuja  ,Anambra   ,A
85,The importance of the “Rule of law” in the society is that it enables the society to,be educated,be orderly and perform properly,choose leaders,have more educated lawyers ,B
86,The arms of government are judiciary, legislature and ____________,senate,house of representative ,president ,executive,D
87,The following provides security services to the nation except________,Army,police,SSS,NGO  ,D
88,______ is termed to mean enforcing obedience in a society,studying,teaching,discipline,A and D,C
89,One of the consequence of indiscipline is   ____________,progress ,trust ,lateness,cooperation,C
90,One of the following is an example of civil offence,bribery,corruption,examination malpractice,sanitation offence ,D
91,The leader of the federal house of representative is ___________,President,Clerk ,Speaker,Majority leader,C
92,One of the following is a responsibility of a consumer,speak out,safety ,information,choice ,A
93,The rule of law is also known as supremacy of _______________,Law ,Leaders,Lawyer ,Justice  ,A
94,The national assembly in Nigeria comprises ______ and _____ chamber,chief, emirs,common, lord,lower, upper,senate, representatives,C
95,______ is termed to mean enforcing obedience in a society,studying,teaching,discipline,A and D,C
96,One of the attributes of contentment is  ____________,satisfaction,envy,greed,corruption,A
97,All except one is the attribute of integrity,honesty,fair play ,truthfulness,cheating ,D
98,Civic education teaches _____,how to fight,intolerance,injustice,moral values ,D
99,The first case of Ebola was reported in Nigeria was in____,Lagos ,Ibadan,Abuja  ,Anambra   ,A
100,The act of exercising boldness is known as  ____________,confidence ,courage ,endurance,out spoken,B
