Order,Question,A,B,C,D,answer
26,In which of the following reactions has the oxidation number of nitrogen increased,2NO(g)  +  Br2(l)  → 2NOBr(l),2NO2(g)  +  O2(g)   → 2NO2(g),FeSO4(aq)  +  NO(g) → Fe(NO)SO4(s),2NO(g)  +  CI2(g) →  2NOCI(l),B
27,The gas obtained as a product of anaerobic action ob organic matter buried in the earth is,Nitrogen(IV) oxide,Carbon(IV) oxide,Methane,Ethene,C
28,What mass of water is produced when 8.0g of hydriogen reacts with excess oxygen [H = 1  O = 16],36.0g,8.0g,72.0g,16.0g,C
29,The structural component that makes detergent dissolve more quickly in water than soap is,–SO3 –Na+,–COO-Na+,–SO4- Na+,–COO-K+,A
30,Water has the ability to dissolve almost all substances because its molecule has a structure with,One positive end and one neutral end,Two positive ends,One positive end and one negative end,Two negative ends,C
31,Coffee stains can best be removed by,Turpentine,A solution of borax in water,Ammonia solution,Kerosene,B
32,Water has the ability to dissolve almost all substances because its molecule has a structure with,One positive end and one neutral end,Two positive ends,One positive end and one negative end,Two negative ends,C
33,Coffee stains can best be removed by,Turpentine,A solution of borax in water,Ammonia solution,Kerosene,B
34,Catalytic hydrogenation of benzene produces,Oil,Cyclohexane,Cycloexane,Margarine,C
35,The solution that will conduct the highest amount of electricity is,2.0 moldm-3 of ethanoic acid,0.5 mol dm-3 of ethanoic acid,2.0 mol dm-3 of hydrochloric acid,0.5 moldm-3 of hydrochloric acid,C
36,The allotrope of carbon used in the decolourization of sugar is,Graphite,Soot,Charcoal,Lampblack,C
37,The chromatographic separation of ink is based on the ability of the components to,React with each other,React with the solvent,Dissolve in each other in the column,Move at different speeds in the column,D
38,Phosphorous is stored under water to precvent it from,Dehydrating,Becoming inert,Smelling,Catching fire,D
39,The metal that liberates hydrogen from cold water in bubbles only is,Na,K,Ca,Al,C
40,The compound that is used as an anaesthetic is,CHCI3,CH2C2,CH3CI,CCI4,A
41,Carbohydrates are compounds containing carbon  hydrogen and oxygen in the ratio,3:01:01,2:01:01,1:02:01,1:01:01,C
42,Which of the followinig respresents hybridization in ethyne?,Sp2,Sp2d,Sp3,sp,D
43,The volume of a gas is Vcm3 at P mm Hg. What is the new volume of the gas if the pressure is reduced to half at constant temperature,2 V cm3,V  2cm3,V cm3,4 V cm3,A
44,Zinc and carbon rods are used as anode and cathode respectively in a,Voltaic cell,Lead accumulator,Leclanche cell,Daniel cell,C
45,What is the correct IUPAC name for NO2,Dioxonitrate(III) ion,Dioxonitrate(IV) ION,trioxonitrate(iii) ion,trioxonitrate(iv) ion,A
46,The solution that will conduct the highest amount of electricity is,2.0 moldm-3 of ethanoic acid,0.5 mol dm-3 of ethanoic acid,2.0 mol dm-3 of hydrochloric acid,0.5 moldm-3 of hydrochloric acid,C
47,The compound that is used as an anaesthetic is,CHCI3,CH2C2,CH3CI,CCI4,A
48,The gas obtained as a product of anaerobic action ob organic matter buried in the earth is,Nitrogen(IV) oxide,Carbon(IV) oxide,Methane,Ethene,C
49,The air around smelting industries is likely to contain,CO2  SO3 and H2,SO2N2 and CO2,H2  SO2 and CO2,H2S  CO and N2,B
50,The gas that can best be collected by downward displacement of air is,Chlorine,Sulphur(IV)oxide,Ammonia,Carbon(IV)oxide,C
51,Metalloids are also referred to as,Metals,Semi-metals,Colloids,Non-metals,B
52,The filter in a cigarette reduces the nicotine content by,Burning,Adsorption,Evaporation,Absorption,B
53,The compound that is used as an anaesthetic is,CHCI3,CH2C2,CH3CI,CCI4,A
54,What will happen if an aluminum spoon is used to stir a solution of iron (II) trioxonitrate(V),The spoon will be reduced while the iron(II) ions will be oxidized,The spoon will be oxidized while the iron (II) ions will be reduced to the metal,The spoon will be reduced,The spoon will increase in size,B
55,A constituent common to moist air  it gradually rusts. This is due to the formation of,Silver,Copper,Tin,Lead,C
56, N2O4(g)    ⇌  2NO2(g),A constant volume,An increase in pressure,A decrease in pressure, A decrease in volume,C
57,The produce of the combustion of candle wax are,Carbon(IV) oxide and water,Oxygen and water,Hydrogen and water,Carbon(II)oxide an d water,A
58,A degree in atomic size and an increase in knuckler charge across a period lead to,A decrease in covalency in bond formation,An increase in chemical reactivity,An increase in the tendency to loss electrons,A decrease in electro positivity,D
59,Chlorine gas is prepared in the laboratory by,Adding concentrated hydrochloric acid to solid manganese (IV) oxide,Adding concentrated tetraoxosulphate (VI) acid to solid sodium chloride,Dropping concentrated hydrochloric acid onto potassium tetraoxomanganate (VII) crystals,Oxidizing concentrated hydrochloric acid using potassium heptaoxodichromate (VI) crystals,A
60,The gas obtained as a product of anaerobic action ob organic matter buried in the earth is,Nitrogen(IV) oxide,Carbon(IV) oxide,Methane,Ethene,C
61, sulphur (IV) oxide bleaches by,Reduction,Oxidation,Hydration,Absorption,A
62,The compound that is used as an anaesthetic is,CHCI3,CH2C2,CH3CI,CCI4,A
63,Permanent hardness of water can be removed by,Adding slaked lime,Adding caustic soda,Boiling,Filtration,B
64,Which of these reagents can confirm the presence of a triple bond,Bromine water,Acidified KMnO4 ,Copper (I) chloride,Bromine gas,C
65,Which of these reagents can confirm the presence of a triple bond,Bromine water,Acidified KMnO4 ,Copper (I) chloride,Bromine gas,C
66,Chlorine gas is prepared in the laboratory by,Adding concentrated hydrochloric acid to solid manganese (IV) oxide,Adding concentrated tetraoxosulphate (VI) acid to solid sodium chloride,Dropping concentrated hydrochloric acid onto potassium tetraoxomanganate (VII) crystals,Oxidizing concentrated hydrochloric acid using potassium heptaoxodichromate (VI) crystals,A
67,The characteristic colour of the flame shown when a copper salt moistened with concentrated hydrochloric acid on platinum is put on a bunzen burner is,Green,Lilac,Yellow,Brick-red,A
68,What mass of water is produced when 8.0g of hydriogen reacts with excess oxygen [H = 1  O = 16],36.0g,8.0g,72.0g,16.0g,C
69,The produce of the combustion of candle wax are,Carbon(IV) oxide and water,Oxygen and water,Hydrogen and water,Carbon(II)oxide an d water,A
70,What volume of oxygen is produced from the decomposition of 2 moles of KClO3 at s.t.p   [Molar volume of a gas at s.t.p = 22.4 dm3],22.4 dm3,33.6 dm3,44.8 dm3,67.2 dm3,D
71,When a solid substance disappears completely as a gas on heating  the substance is said to have under gone,Evaporation,Distillation,Crystallization,Sublimation,D
72,One of the major uses of Alkanes is,In the hydrogenation of oils,In the textile industries,In the production of plastics,As domestic and industrial fuels,D
73,The gas obtained as a product of anaerobic action ob organic matter buried in the earth is,Nitrogen(IV) oxide,Carbon(IV) oxide,Methane,Ethene,C
74,Four elements W  X  Y  and Z have atomic numbers 2  6  16 and 20 respectively. Which of these elements is a metal,X,W,Z,Y,C
75,Which of the following statements is true of sulphur (IV) oxide,It forms Tetraoxosulphate (VI) acid with water,It is an odourless gas,It is an acid anhydride,It forms white precipitate with acidified barium chloride,C
76, sulphur (IV) oxide bleaches by,Reduction,Oxidation,Hydration,Absorption,A
77,Zinc and carbon rods are used as anode and cathode respectively in a,Voltaic cell,Lead accumulator,Leclanche cell,Daniel cell,C
78,According to the kinetic theory  an increase in temperature causes the kinetic energy of particles to,Decrease,Increase,Remain constant,Be zero,B
79,which of the following chlorides would exhibit the least ionic character,AlCl3,CaCl2,MgCi2,LiCl,A
80,Stainless steel is used for making,Tools,Coins and medals,Moving parts of clocks,Magnets,A
81,The stability of the noble gases is due to the fact that they,Have duplet or octet electron configurations,Belong to group zero of the periodic table,Are volatile in nature,Have no electron in their outermost shells,A
82,The produce of the combustion of candle wax are,Carbon(IV) oxide and water,Oxygen and water,Hydrogen and water,Carbon(II)oxide an d water,A
83,Pure solvents are obtained by,Distillation,Condensation,Extraction,EvapopraTION,A
84,Pure solvents are obtained by,Distillation,Condensation,Extraction,EvapopraTION,A
85,Which of the following metals burns brick with a brick-red,Pb,Ca,Na,Ma,B
86, N2O4(g)    ⇌  2NO2(g),A constant volume,An increase in pressure,A decrease in pressure, A decrease in volume,C
87,Metalloids are also referred to as,Metals,Semi-metals,Colloids,Non-metals,B
88,What is the correct IUPAC name for NO2,Dioxonitrate(III) ion,Dioxonitrate(IV) ION,trioxonitrate(iii) ion,trioxonitrate(iv) ion,A
89,Calcium Tetraoxosulphate(VI) dissolves in water only sparingly to form a,Solution,Suspension,Precipitate,Colloid,D
90, sulphur (IV) oxide bleaches by,Reduction,Oxidation,Hydration,Absorption,A
91,One mole of a hydrocarbon contains 36g of carbon and its vapour density is 20. The structure of the hydrocarbon is,CH3CH2CH3,CH3CH = CH2,CH3CH2C = CH,CH3C = CH,D
92,The decolourization of the purple colour of a tetraoxomanganate (VII) ion is a test for,Alkanals,Alkanes,Alkenes,Alkanols,C
93,A burning candle produces water and,Carbon(II)oxide,Carbon(IV) oxide,Oxygen,Hydrogen,D
94,In the electrolysis of brine  the anode is,Platinum,Copper,Zinc,Carbon,D
95,When ΔH is negative  a reaction is said to be,Ionic,Reversible,Exothermic,Endothermic,C
96,NH3(g)  +  HCI(g)  → NH4CI(s) The entropy change in the system is,Negative,Indeterminate,Positive,Zero,B
97,Kerosene is commonly used to remove the red colour stain of palm oil from clothes because it,Helps to spread the oil over a larger surface area,Makes the oil evaporate easily by dissolving it,Helps to dilute the oil and reduce its colour,Reacts with the oil to form an odourless compound,B
98,One mole of a hydrocarbon contains 36g of carbon and its vapour density is 20. The structure of the hydrocarbon is,CH3CH2CH3,CH3CH = CH2,CH3CH2C = CH,CH3C = CH,D
99,When a salt loses its water of crystallization to the atmosphere on exposure  the process is said to be,Deliquescence,Effervescence,Efflorescence,Fluorescence,C
100,What is the correct IUPAC name for NO2,Dioxonitrate(III) ion,Dioxonitrate(IV) ION,trioxonitrate(iii) ion,trioxonitrate(iv) ion,A
