Order,Question,A,B,C,D,answer
29,The resistance of a 5m uniform wire of cross sectional area of 0.2 x 106m2 is 0.45. What is the resistivity of the material of the wire ,1.10 x 105 ohms ,4.25 x106Ωm ,2.40 x 107Ωm ,1.70 x 108Ωm ,A
30,It is known that an atomic nucleus comprises of positive charged protons. Which of the following also exist in the nucleus? ,a beta particle ,an Alpha particle ,A neutron ,An electron,C
31,Under constant tension and constant mass per unit length  the note produced by a plucked string is 500Hz when the length of the string is 0.90m  at what length is the frequency 150Hz?,6m ,3m ,5m ,4m,B
32,If two masses 40g and 60g respectively  are attached firmly to end of a light metre rule  what is the centre of gravity of the system? ,at the mid point of the metre rule ,40cm from the lighter mass ,40cm from the heavier masses ,60cm from the heavier masses ,C
33,rectangular block measures 40cm x 25cm and made of material of density 7800kg/m3. Calculate the pressure the block exerts on the floor when it stands on the smallest of its surfaces ,3.12 x 103N/m2 ,3.90 x 103N/m2 ,1.9 x 104N/m2 ,3.12 x 104N/m2,B
34,An air bubble at the bottom of a lake has a volume of 20cm3  pressure of 4.9Pa  and temperature 4oc the bubble rises to the surface where the temperature is 20oc and the pressure 1.0Pa. Find the volume as the bubble reaches the surface. (take 1 atm = 1.0 x 105 N/m2) ,124cm3 ,319cm3 ,60cm3 ,104 cm3,D
35,Which of the following quantities is equal to the area under a velocity-time graph?,Acceleration ,Distance travelled ,Average Velocity of motion ,Total time taken.,B
36,  A convex lens of focal length 10.0cm is used to form a real image which is half the size of the object. How far from the object is the image? ,45cm ,30cm ,15cm ,20cm,C
37,Which of these is not a fundamental S.I unit ,Ampere ,Kelvin ,Seconds ,Radians,D
38,In the force of gravity on an object of mass m  the gravitational field strength  g  is given by the following equation. ,g = √MF ,g = MF ,g = M√F ,g = F/M.,D
39,Under constant tension and constant mass per unit length  the note produced by a plucked string is 500Hz when the length of the string is 0.90m  at what length is the frequency 150Hz?,6m ,3m ,5m ,4m,B
40,Which of the following statements is not true about a body performing simple harmonic motion? ,the linear speed is the product of the angular speed and the radius or amplitude ,the linear acceleration is the product of the square of the angular speed and the displacement ,frequency is the number of complete revolution per second made by a vibrating body ,the S.I unit of amplitude is Hertz (Hz),D
41,Which of the following statements is not true about a body performing simple harmonic motion? ,the linear speed is the product of the angular speed and the radius or amplitude ,the linear acceleration is the product of the square of the angular speed and the displacement ,frequency is the number of complete revolution per second made by a vibrating body ,the S.I unit of amplitude is Hertz (Hz),D
42,A nail is pulled from a wall with a string tied to the nail. If the string is inclined at an angle of 30oC to the wall and the tension in the string is 50N  the effective force used in pulling the nail is: ,25N ,25√3 N ,50N ,50√3N,A
43,A cigarette lighter in a car is a resistor that  when activated  is connected across the 12 – V battery. If the lighter dissipates 33 W of power  find the current it delivers  to the lighter.  ,9.90 Ω  ,6.60 Ω  ,4.36,17.50Ω,C
44,  An electric kettle with negligible heat capacity is rated at 2000W  if 2.0kg of water is put in it  how long will it take temperature of water to rise from 20oC to 100oC? (specific heat capacity of water = 4200J/Kg-1K-1) ,336s ,240s , 168s ,84s,A
45,  A long-jumper leaves the ground at an angle of 20o above the horizontal and at speed of 11m/s. How far does it jumps in the horizontal direction? ,0.384m ,7.94m ,8.45m ,5m,D
46,The mode of heat transfer which does not require material medium is,conduction ,radiation ,convection ,propagation,B
47,A coin is at the bottom of a bucket filled with a liquid whose refractive index is 1.35. The coin appears to be 12.0cm below the surface of the liquid. Calculate the depth of the liquid.,16.2cm  ,13.4cm  ,8.9cm  ,5.4cm,A
48,Calculate the length of a displaced pendulum bob that passes its lowest point twice every second. [g=10ms-1] ,.100m ,0.253m ,0.450m ,0.58m,B
49,Which of the following quantities is equal to the area under a velocity-time graph?,Acceleration ,Distance travelled ,Average Velocity of motion ,Total time taken.,B
50,Which of these is not a fundamental S.I unit ,Ampere ,Kelvin ,Seconds ,Radians,D
51,The ice and steam point of a thermometer are 20mm and 100mm respectively: A temperature of 75oC correspond to Ymm on the thermometer. What is Y? ,100mm ,70mm ,80mm ,60mm,C
52,The period of a simple pendulum will increase by what factor of its extensible length increased by a factor of four ,2,4,2,¼,C
53,Which of these is not contained in a dry cell? ,carbon rod ,paste of magnesium dioxide ,paste of ammonium chloride ,zinc case ,C
54,A transformer is connected to a 240 V supply. The primary coil has 40 turns  and the secondary is found to be 960V. What is the ratio of the number of turns of the primary coil to the number of turns of the secondary coil? ,4:01,1:04,1:06,6:01,A
55,An airplane increases its speed 36 km/h to 360 km/h in 20.0 s. How far does it travel while accelerating.  ,4.4 km     ,1.1 km  ,2.3 km  ,1.0 km,B
56,A nail is pulled from a wall with a string tied to the nail. If the string is inclined at an angle of 30oC to the wall and the tension in the string is 50N  the effective force used in pulling the nail is: ,25N ,25√3 N ,50N ,50√3N,A
57,Which of the following quantities is equal to the area under a velocity-time graph?,Acceleration ,Distance travelled ,Average Velocity of motion ,Total time taken.,B
58,A temperature scale has a lower fixed point of 40mm and an upper fixed point of 200mm. What is the reading on this scale when the temperature reads 60oc? ,136.omm ,33.3mm ,96.0mm ,36.0mm,A
59,Which of the following is not true about the properties of x-rays? ,they are not deflected by magnetic or electric field,they ionized a gas making it a conductor ,they are massive ,they have high penetrating power ,C
60,A 3.0cm object is placed 12.0cm in front of bi-convex lens of focal length 8.0cm. Calculate the height of the image of the object.  ,3.0cm ,6.0cm ,12.0cm ,24.0cm,D
61,A car accelerates at 5.0m/s2 for 6s  the travels at the speed attained for 20s  and comes to rest after another 4.0s. Calculate the average velocity of the car during the motion.,25.0m/s,20.0m/s ,1.25m/s ,0.16m/s,A
62,Three knives made of steel  plastic and flat wood respectively are placed on the table for an equal amount of time. The steel knife feels coldest to touched because,The steel knife has the lowest temperature ,The plastic and wooden knives have absorbed more heat from the environment than the steel knife. ,Both wooden and plastic knives have lower densities than the steel ,The steel knife conducts heat faster from the finger than the wooden and plastic knives ,D
63,A car accelerates at 5.0m/s2 for 6s  the travels at the speed attained for 20s  and comes to rest after another 4.0s. Calculate the average velocity of the car during the motion.,25.0m/s,20.0m/s ,1.25m/s ,0.16m/s,A
64,A capacity of 2.0 x 10-11F and an inductor are joined in series. The value of the inductance that will give the circuit a resonant frequency of 200KHz is ,1/16H ,1/8H ,1/64H ,1/32H,D
65,An object of height 3.00cm is placed 10cm from a biconvex lens of 15cm  the image of the object is ,real and 3.00cm tall ,virtual and 3.00cm tall , virtual and 9.00cm tall ,real and 9.00cm tall,C
66,Sound waves were sent out from a source and after being reflected from  an obstacle were received by a sensor placed beside the source. If the waves were received 10 seconds after they were sent out  calculate  the distance between the  source and the obstacle (speed of sound = 330 m/s) ,990m  ,660m ,1320 m ,None of above,D
67,What is the dimension of pressure? ,ML-1T-2 ,MLT-2 ,ML2T-3 ,ML-3,A
68,A temperature scale has a lower fixed point of 40mm and an upper fixed point of 200mm. What is the reading on this scale when the temperature reads 60oc? ,136.omm ,33.3mm ,96.0mm ,36.0mm,A
69,An automobile is traveling at 60km/hr. calculate the angular velocity of the 0.35m radius wheels. ,16.67rad/s ,47.6 rad/s ,21 rad/s ,171.4 rad/s,B
70,the velocity of a 500 kg car moving long a straight  road  changes from 12 m/s to 20 m/s in 5 sec. calculate the average force moving the car. ,2000N  ,1600N  ,1200N  ,800N,D
71,The resistance of a wire depends on ,the length of the wire ,the diameter of the wire ,the temperature of the wire ,All of the above,D
72,6000 J of heat is delivered to 10g of dry ice at O0C. What is the final temperature if the container has a heat capacity of 20J/K? (specific heat of water = 4200j/kg.k  latent heat of fusion of ice = 3.33 x 105J/kg)  ,142.90C  ,63.60C  ,43.00C  ,00C,C
73,A temperature scale has a lower fixed point of 40mm and an upper fixed point of 200mm. What is the reading on this scale when the temperature reads 60oc? ,136.omm ,33.3mm ,96.0mm ,36.0mm,A
74,  A gas at constant pressure of 4.0 x 105 Pa is cooled so that its volume decreases from 1.6m3 to 1.2m3. What work is performed by the gas? ,6.4 x 105 J ,3.2 x 105 J  ,1.6 x 105 J ,0.4 x 105 J  ,C
75,A 3.0cm object is placed 12.0cm in front of bi-convex lens of focal length 8.0cm. Calculate the height of the image of the object.  ,3.0cm ,6.0cm ,12.0cm ,24.0cm,D
76,The ice and steam point of a thermometer are 20mm and 100mm respectively: A temperature of 75oC correspond to Ymm on the thermometer. What is Y? ,100mm ,70mm ,80mm ,60mm,C
77,What is the dimension of pressure? ,ML-1T-2 ,MLT-2 ,ML2T-3 ,ML-3,A
78,Three knives made of steel  plastic and flat wood respectively are placed on the table for an equal amount of time. The steel knife feels coldest to touched because,The steel knife has the lowest temperature ,The plastic and wooden knives have absorbed more heat from the environment than the steel knife. ,Both wooden and plastic knives have lower densities than the steel ,The steel knife conducts heat faster from the finger than the wooden and plastic knives ,D
79,An airplane increases its speed 36 km/h to 360 km/h in 20.0 s. How far does it travel while accelerating.  ,4.4 km     ,1.1 km  ,2.3 km  ,1.0 km,B
80,Dry air of column length 10 cm is trapped by a pellet of mercury of length 15 cm  with the open end uppermost. When the capillary is inverted the length of the air column increased to 25 cm while that of mercury remained constant. Calculate the atmospheric pressure (in cm of Hg.)  ,35 cm Hg  ,15 cm Hg  ,20 cm Hg  ,35 cm Hg,D
81,A body is projected from the earth’s surface with the hope of letting it escape from the earth gravitational field. What is the minimum escape velocity?  [Earth’s radius = 6.4 x 103km  g = 10 ms-2],11.3kms-1 ,13.3kms-1 ,12.3kms-1 ,14.3kms-1 ,A
82,An object of height 3.00cm is placed 10cm from a biconvex lens of 15cm  the image of the object is ,real and 3.00cm tall ,virtual and 3.00cm tall , virtual and 9.00cm tall ,real and 9.00cm tall,C
83,  A convex lens of focal length 10.0cm is used to form a real image which is half the size of the object. How far from the object is the image? ,45cm ,30cm ,15cm ,20cm,C
84,A wheel and axle is used to raise a weight of 600n with an effort of 300n. if the radii of the wheel and axle are 50 cm and 10 cm respectively  what is the efficiency of the system      ,40%,50%,20%,10%,A
85,A hydraulic press works on the principle of transmission of   ,force  ,energy  ,volume  ,pressure,D
86,Five 100-Watt bulbs are put on for 45days during which the home-owner is on vacation. If 1kW-hour of electricity cost N7.50  how much does it cost the home-owner? ,N168.75  ,N90.0  ,N4050.00  ,N810.00,D
87,  A long-jumper leaves the ground at an angle of 20o above the horizontal and at speed of 11m/s. How far does it jumps in the horizontal direction? ,0.384m ,7.94m ,8.45m ,5m,D
88,An automobile is traveling at 60km/hr. calculate the angular velocity of the 0.35m radius wheels. ,16.67rad/s ,47.6 rad/s ,21 rad/s ,171.4 rad/s,B
89,A capacity of 2.0 x 10-11F and an inductor are joined in series. The value of the inductance that will give the circuit a resonant frequency of 200KHz is ,1/16H ,1/8H ,1/64H ,1/32H,D
90,An air bubble at the bottom of a lake has a volume of 20cm3  pressure of 4.9Pa  and temperature 4oc the bubble rises to the surface where the temperature is 20oc and the pressure 1.0Pa. Find the volume as the bubble reaches the surface. (take 1 atm = 1.0 x 105 N/m2) ,124cm3 ,319cm3 ,60cm3 ,104 cm3,D
91,Five 100-Watt bulbs are put on for 45days during which the home-owner is on vacation. If 1kW-hour of electricity cost N7.50  how much does it cost the home-owner? ,N168.75  ,N90.0  ,N4050.00  ,N810.00,D
92,The product PV where P is pressure and V is a volume has the same unit as ,force ,power ,energy ,acceleration ,C
93,Which of these is not contained in a dry cell? ,carbon rod ,paste of magnesium dioxide ,paste of ammonium chloride ,zinc case ,C
94,An air column 10cm in length is trapped into the sealed end of a capillary tube by a 15cm column of mercury with the tube held vertically. On inverting the tube  the air column becomes 15cm long  what is the atmospheric pressure during the experiment? ,76cm ,75cm ,60cm ,70cm,B
95,Three knives made of steel  plastic and flat wood respectively are placed on the table for an equal amount of time. The steel knife feels coldest to touched because,The steel knife has the lowest temperature ,The plastic and wooden knives have absorbed more heat from the environment than the steel knife. ,Both wooden and plastic knives have lower densities than the steel ,The steel knife conducts heat faster from the finger than the wooden and plastic knives ,D
96,A hydraulic press works on the principle of transmission of   ,force  ,energy  ,volume  ,pressure,D
97,To find the dept of the sea  a ship send out a second waves and an echo after one second. If the velocity of sound in water is 1500m/s  what is the depth of the sea ,0.75km ,1.50km ,2.20km ,3.00km ,A
98,When a 2kg body is at a height 5m above the floor  its velocity  is 4m/s. What is its total energy  at this height? (acceleration due to gravity = 10m/s2)  ,80J  ,00J  ,  116J  , 180J,C
99,Sound waves were sent out from a source and after being reflected from  an obstacle were received by a sensor placed beside the source. If the waves were received 10 seconds after they were sent out  calculate  the distance between the  source and the obstacle (speed of sound = 330 m/s) ,990m  ,660m ,1320 m ,None of above,D
100,The resistance of a 5m uniform wire of cross sectional area of 0.2 x 106m2 is 0.45. What is the resistivity of the material of the wire ,1.10 x 105 ohms ,4.25 x106Ωm ,2.40 x 107Ωm ,1.70 x 108Ωm ,A
