Order,Question,A,B,C,D,answer
40,Toxic means _______,    (a)Poisonous,   (b)Sweety     ,   (c)Substance  ,  (d)Potent,A
41,Heat energy can be used for the following except,A. generate heat for steam engines               A. generate heat for steam engines                  A. generate heat for steam engines                     A. generate heat for steam engines ,B. generate heat for cooking ,C. prevention of germs on some consumable items ​,D.  vision in the dark,D
42,The following are classes of food except,A. Carbohydrates  ,B. fats and oil,​C. glucose ,D. mineral salts,C
43,Most ___   depends on chemicals or product of chemicals as their raw material, (a)Nam  (a)School ,b)Bus  ,    (c)Industries,d)Place.,C
44,The following are useful applications of friction except in, A. Belt drives, B.Brakes, C.Clutches,D.Slides,D
45,The unit of force is,(a) joules,(b)  newton ,(c)  watts,(d) meters,A
46,The earth has a great gravitational pull on objects because it,A. has a great mass. ,B. is spherical.,C. is rotating.,D. can move.,A
47,Human beings belong is different from other primates because,   a)He can stand upright ,b)He has nails and not claws      ,     c)He possesses largest and highly developed brain for thinking and speech  , d)He has hair on every part of his body.,C
48,The following form the inner solar system except,A. Mercury,B. Venus,​C. Saturn​,D. Mars,C
49,What type of energy does the sun give out?,(a) ​solar energy ,(b)  radiant energy ,(c)  kinetic energy ,(d)potential energy ,A
50,The following are useful applications of friction except in, A. Belt drives, B.Brakes, C.Clutches,D.Slides,D
51,One of these is a source of energy,A. work,B. effort,​C. natural gas ,D. energy,C
52,The following form the inner solar system except,A. Mercury,B. Venus,​C. Saturn​,D. Mars,C
53,Octopus, fish and algaes are found in _____,     (a)Freshwater  bodies  ,  b)Rain forests ,    (c)Marine habitats  ,(d)Tree habitats.,C
54,Which of the following is not a way of preventing diseases?,A. Drinking clean water. ,B. Immunization,C. Sleeping in a decorated room.,D. Use of mosquito net.  ,C
55,The following are ways of maintaining good health except,  A. avoid drinking alcohol. ,B. eating a balanced diet., C. maintaining personal hygiene. ,  D. smoking cigarettes.,D
56,Human beings belong is different from other primates because,   a)He can stand upright ,b)He has nails and not claws      ,     c)He possesses largest and highly developed brain for thinking and speech  , d)He has hair on every part of his body.,C
57,The following are useful applications of friction except in, A. Belt drives, B.Brakes, C.Clutches,D.Slides,D
58,Octopus, fish and algaes are found in _____,     (a)Freshwater  bodies  ,  b)Rain forests ,    (c)Marine habitats  ,(d)Tree habitats.,C
59,Which of the following is a good conductor of heat?,A. Aluminium ,B. Chlorine ,C. Hydrogen ,D. Oxygen,A
60,Which of the following is a carbohydrate?,(a) Mango,(b) Meat,(c) Okro ,(d)Rice,D
61,The energy a body possess by the virtue of its motion is,A. heat energy,B. light energy,C. kinetic energy,D. potential energy,C
62,The scientist that proposed the principles of gravity is,A. Moses.,​B. Isaac Newton​,C. Plato,D Aristotle,B
63,Which of the following is not a way of preventing diseases?,A. Drinking clean water. ,B. Immunization,C. Sleeping in a decorated room.,D. Use of mosquito net.  ,C
64,​A way of reducing friction in the moving parts of a machine is by applying,A. bitumen ,B. diesel,C. grease,D.kerosine ,C
65,Which form of energy can a body possess by virtue of its position?,A. heat energy ,B. light energy,C. kinetic energy,D. potential energy,D
66,The scientist that proposed the principles of gravity is,(a) Moses,(b)  Isaac Newton ,(c)  Plato,(d) Aristotle,B
67,Which of these is not a major type of habitat?,   (a)Aquatic   ,b)Arboreal  ,c)Terrestrial ,d)Marine  ,D
68,Growth is defined as _____,    (a)Increase in body   ,     (b)Increase in field  ,     c)Increase in height, size and weight ,d)Increase in organ.,C
69,The ability to do work is,(a)  tension ,(b)  weight,(c)    newton ,(d)energy ,D
70,​The following form the inner solar system except,(a)  Mercury ,(b) Venus,(c) Saturn,(d) Mars,C
71,Changes in male characteristics is accompanied by the following except  _____,     (a)Deep voice  ,   (b)Facial hair   ,c)Growth of the breast ,d)Ability to produce sperm.,C
72,Which of these is not a major type of habitat?,   (a)Aquatic   ,b)Arboreal  ,c)Terrestrial ,d)Marine  ,D
73,Terrestrial habitat can further be divided into  ____,_____ and _____,a)Swamp, ocean and lagoon  ,      (b)Desert, swamp, and seas  ,c)Lakes, grassland and deserts   ,d)Deserts, grassland and rain forest,D
74,​-------------------------is a state of not experiencing gravitational force,A.Force,B.Push and pull, C.Power ,D. Weightlessness ,D
75,The following are advantages of friction except that it,A. enables a car to come to rest.  , B. enables sharpening of tools., C. makes an object move on belt drives. ,D. produces heat in the moving machine parts.,D
76,Water environment is also _____,(a)Aquarium, (b)Aqua  habitat  ,c)Aquatic habitant , (d)Liquid habitat,A
77,Growth is defined as _____,    (a)Increase in body   ,     (b)Increase in field  ,     c)Increase in height, size and weight ,d)Increase in organ.,C
78,On air or tree environment is also known as _____,Airy habitat   ,      b)Arboral habitat ,      (c)Arboreal habitat   ,  d)Jumping habitat,C
79,Most ___   depends on chemicals or product of chemicals as their raw material, (a)Nam  (a)School ,b)Bus  ,    (c)Industries,d)Place.,C
80,One of the following is a permanent change in man ____,(a)Fatness,  b)Growth of grey hair in later adulthood   , c)Pimples ,d)Enlargement of stomach.,B
81,Which of the following is not a way of preventing diseases?,A. Drinking clean water. ,B. Immunization,C. Sleeping in a decorated room.,D. Use of mosquito net.  ,C
82,Most ___   depends on chemicals or product of chemicals as their raw material, (a)Nam  (a)School ,b)Bus  ,    (c)Industries,d)Place.,C
83,Which of the following is a good conductor of heat?,A. Aluminium ,B. Chlorine ,C. Hydrogen ,D. Oxygen,A
84,Which form of energy can a body possess by virtue of its position?,A. heat energy ,B. light energy,C. kinetic energy,D. potential energy,D
85,The following are classes of food except,A. Carbohydrates  ,B. fats and oil,​C. glucose ,D. mineral salts,C
86,Which of the following is not a way of preventing diseases?,A. Drinking clean water. ,B. Immunization,C. Sleeping in a decorated room.,D. Use of mosquito net.  ,C
87,Terrestrial habitat can further be divided into  ____,_____ and _____,a)Swamp, ocean and lagoon  ,      (b)Desert, swamp, and seas  ,c)Lakes, grassland and deserts   ,d)Deserts, grassland and rain forest,D
88,​A way of reducing friction in the moving parts of a machine is by applying,A. bitumen ,B. diesel,C. grease,D.kerosine ,C
89,A/an __ experiences weightlessness.,A. astronaut in a space craft.,B. doctor in a hospital.,C. engineer in his workshop.  ,D. pilot in a plane. ​,A
90,The transition stage of development is ______,Baby – childhood – Adulthood   , b)Childhood- Body –Adolescent –Adulthood ,  (c)Baby –Adulthood – Childhood –Adolescent,d)Adulthood – Adolescent –Baby –Childhood.,A
91,Changes in male characteristics is accompanied by the following except  _____,     (a)Deep voice  ,   (b)Facial hair   ,c)Growth of the breast ,d)Ability to produce sperm.,C
92,The ability to do work is,A. tension   ,B. weight ,​C. newton ,D. energy,D
93,Which of the following is a good conductor of heat?,A. Aluminium ,B. Chlorine ,C. Hydrogen ,D. Oxygen,A
94,The following are components of the solar system except,(a)  Asteroids,(b)  comets,(c) satellite ,(d) night,D
95,Gravitational pull causes the following except,(a) makes object to have weight.,(b) causes object to fall back when thrown up.,(c) causes objects to float in air.,(d) causes objects to feel heavy.,C
96,The energy a body possess by the virtue of its motion is,A. heat energy,B. light energy,C. kinetic energy,D. potential energy,C
97,The following are characteristics of living things except,A. Expansion  ,B. feeding ,C. growth ,D.movement  ,F
98,​-------------------------is a state of not experiencing gravitational force,A.Force,B.Push and pull, C.Power ,D. Weightlessness ,D
99,Gravitational pull causes the following except,A. makes object to have weight.,B. causes object to fall back when thrown up.,C. causes objects to float in air.,​D. causes objects to feel heavy.,C
100,All the following are examples of primate except ____, (a)Lemurs   ,      b)Gorilla ,    (c)Man   ,d)Elephant,D
