Order,Question,A,B,C,D,answer
64,Fulani's are mostly,Carpenter,Cattle rearers,Fishermen,Hawkers,B
65,Social studies indicates the right types of ______ in us,Values,Danger,A&B,None of the above,A
66,Which of the following is not a modern way of saving money,Banking,Cooperative,Buying of stocks or share,Entrusting into the care of relatives,D
67,One of the following is not what a good citizen should do,Pay his rates and taxes demanded by government,Obeys constituted authority,Shun bad behaviour,Contribute to vandalism and destruction of the country,D
68,Social studies can best be defined as the study of______,How man produces what he wants,Man and his environment,Man and his family,What man passes through in life,B
69,Families that live together are usually______in society,Rejected,Respected,Inculcated,Avoided,B
70,Good family reputation gives _____ to member of the family,Great faith,Company,Good game,Good name,D
71,White and black cloth is a cultural dress of the,Fulani's,Tiv's,Hausas,Igbo's,B
72,The primary cause of poverty is,Laziness,Few natural resources,Literacy,Large family size,C
73,Classmates  coursemates are typical examples of a_____ social group,Tertiary,Secondary,Primary,Preschool,B
74,The following are environmental problem except,Cloud,Drought,Erosion,Pollution,A
75,Which of the following is not a feature of natural environment?,Hills,Hospital,Valley,Rivers,B
76,______ is responsible for arresting those that traffic drugs,EFCC,ICPC,NDLEA,NAPEP,C
77,The following are negative effects of cultism except,Enhances productivity,Endanger life's,Leads to expulsion of member,Disturb peace of the society,A
78,HIV means,Highly infectious virus,Home induce virus,Human immune deficiency virus,Human immunization deadly virus,C
79,Which is not one of the advantages of living together in a family?,Disagreement,Good social behaviour,Togetherness,Friendship,A
80,The selling and buying of drugs and substances illegally is called,Drugs abuse,Drug trafficking,Heroine,Substance intoxication,B
81,What is the acronym of ICPC,Independence corrupt practices and other related offences commission,Independence corrupt practices and other related offences,Independent corruption practices and other related offences commission,Independent corrupt practices and other related offenders,A
82,Conflicts is characterized by the following except,Disunity,Loss of life,Dialogue,Anarchy,C
83,Which of the following is not a form of marriage,Christian,Monogamous,Court,Customary,D
84,A good citizen does one or all of the following,Pay his rate and tax demanded by government,Obey constituted authories,Shun bad behaviour,All of the above,D
85,Road safety is an agent of socialisation that is responsible for trafficking and saving of life,False,I don't think so,True,Agree,A
86,Which is not one of the advantages of living together in a family,Adam & Eve,Good social behaviour,Togetherness,Friendship,A
87,What is the best for a rape victim,Need counseling,Must be rejected by the society,Must be sent to an entrepreneur ,Must go to jail,A
88,One of these is not an agent of socialisation?,Peer group,Occult group,Formal educational institutions,Mass media,B
89,A male child of one's uncle is called,Nephew,Cousin,Niece,Daughter,A
90,Which year did Nigeria became a republic,1960,1963,1962,1961,B
91,A good citizen should exhibit all the following except,Honest,Integrity,Selfishness,Tolerance,C
92,Cultism in our society today can best be controlled by ______,Moral studies,Prayer,Killing,Nativity,A
93,All of these are examples of harmful substances except,Expired food,Natural fruits,Infected food,Rotten food,B
94,One of the effects of cultism is _____,It destroys one future,Keeps one in high position,You command respect,All of the above,A
95,Social studies can learned through these means except,Conflict,Discussion,Observation,Research,A
96,The following are functions of studies except,Enables us to understand our culture,Encourages our participation in social and civic duties,Helps us to understands our environment,Makes us to know how to fight our enemies,D
97,What is the acronym of NDLEA,Nigeria Drug Law Enforcement Agency,National Drug Law Enforcement Agency,National Drug Law Empowerment Agency,National Drug Enforcement Agent,B
98,Who among these conducts the court marriage,Senor local government,Imam,Pastor,Vicar,A
99,NAPEP was established to meet all these needs except,Assist people to acquire various skills,To help people with loan to start a business,To build houses for people,To help address the issue of poverty,C
100,A family which is made up of a man his wife and children is called,Compound,Extended,Nuclear,Monogamous,C
