Order,Question,A,B,C,D,answer
22,In important advantage of creating more constituents in a federal state is to ,Enhance the people’s participation in government ,Enable ambitions politicians gain political power ,Make the states gain more power from the federal government ,curb the excesses of the federal government,A
23,A human community that is usually cohesive and homogeneous is ,state ,kinship,clan,Nation.,D
24,A manifesto is essential to political parties because it enables them to,assess the electorates,gauge public opinion,manipulate election,present programme of action,D
25,The court that has ultimate power to interprets the constitution is the,Supreme Court,Magistrate Court,High Court,Court of Appeal,A
26,“Rule of law” refers to situations in which ,Lawyers are the rulers  ,Laws are supreme ,the judiciary is independent ,parliament makes laws ,B
27,A major contentious issues confronting Nigerian Federalism is,poverty,education,health care delivery,revenue allocation,D
28,One of the strong points of the multi-party system in Nigeria’s Fourth Republic is,government interference,wider political participation,wider anti-democracy campaign,the provision for a bicameral legislature.,B
29,“Rule of law” refers to situations in which ,Lawyers are the rulers  ,Laws are supreme ,the judiciary is independent ,parliament makes laws ,B
30,In a federal state, power is shared,between the center government and the local authorities,among the state of the federation,among the major regions of the country,between the center government and other co-ordinate units.,D
31,One of the strong points of the multi-party system in Nigeria’s Fourth Republic is,government interference,wider political participation,wider anti-democracy campaign,the provision for a bicameral legislature.,B
32,In a federal constitution, legislative powers that are shared by two levels of government are referred to as ,exclusive ,extra-ordinary  ,residual  ,concurrent,D
33,The most important aspect of political participation in a democracy is  ,attending political rallies  ,voting in elections  ,registration with a political party  ,the observance of electoral processes ,B
34,A nation consist of people with ,common history ,common ancestry ,a  shared set of values ,A, B and C above,D
35,In a federal constitution, legislative powers that are shared by two levels of government are referred to as,exclusive,extra-ordinary,residual,concurrent.,D
36,The final stage in the process of enacting legislation is  ,assent  ,final reading  ,notification  ,guillotine  ,A
37,An example of a country with a flexible constitution is,South Africa,Britain,Benin Republic,the United States of America.,D
38,The agent of political socialization generally regarded as the most important is ,family ,peer group,school ,churches and mosques,A
39,Which of the following is not relevant to communism,Democracy,Violent revolution,Friedrich Engels,Private Enterprise.,D
40,The Universal Negro Improvement Association was founded by  ,Casely Hayford  ,Herber Macauly  ,Marcus Garvey  ,W.E.B. Du Bois,C
41,In a federal system ,the centre is weak ,plurality is abnormal ,there is nothing like autonomous units ,there is unit in diversity ,D
42,One of the functions of pressure groups is to,contest elections to serve the people,nominate the president,prepare the budget,articulate the opinion of their members.,D
43,Prior to the formation of the OAU in 1963, Nigeria Identified with the,Brazzaville Group,Casablanca group,Libreville Group,Monrovia Group,A
44,A major objective of the Public Complaints Commission is,training and promotion of public servants,settlement of disputes among individuals,addressing the grievances of individuals and groups,fighting corruption and indiscipline.,D
45,The Economic Community of West African States was established in ,May-75,May-63,May-66,May-96,A
46,As an executive, the commissioner is charged with the responsibility of,making laws,implementing laws,writing laws,giving loans.,B
47,The motion for self-government in Nigeria was proposed by Chief Anthony Enahoro in,1956,1953,1956,1958,B
48,The Universal Negro Improvement Association was founded by  ,Casely Hayford  ,Herber Macauly  ,Marcus Garvey  ,W.E.B. Du Bois,C
49,The following countries are settler colonies except  ,Nigeria ,south Africa ,Angola ,Mozambique.,A
50,Which of the following is not an accepted way of resolving international conflict,Diplomacy.,Non-military use of force.,Propaganda,Nuclear war.,D
51,An order directing a detainee to be brought before the court is called,habeas corpus,an appearance,an injunction,a referendum,A
52,The ideology which states that each person is the best judge of what is in his self-interest is,liberalism,socialism,fascism,feudalism,A
53,A major contentious issues confronting Nigerian Federalism is,poverty,education,health care delivery,revenue allocation,D
54,Nigeria’s first constitution was the,Lyttleton Constitution,Clifford Constitution,Macpherson constitution,Independence Constitution,B
55,The minorities  Commission appointed in Nigeria in 1957 recommended that ,More states should be create in the federation ,No more states should created before independence ,Nigeria should revert to a unitary structure ,The legislature  should legislature should legislature for the minority areas ,B
56,Local government reforms were carried out by the Federal Military Government in,1966,1967,1970,1976,D
57,As an executive, the commissioner is charged with the responsibility of,making laws,implementing laws,writing laws,giving loans.,B
58,The term, Rule of Law means,nobody is above the law,everybody is equal before the law,we are being governed by lawyers,A and B above,D
59,Nigeria broke diplomatic relations with France in 1961 because of:,her poor relations with the francophone countries,General de-Gaulle’s negative attitude towards her,France’s diplomatic relations with Israel,France’s atomic test in the Sahara Desert,D
60,The Nigerian Independence Constitution was modified by the,1963 Constitution,1999 Constitution,1989 Constitution,1979 Constitution,A
61,Nation-state is synonymous with,liberation,sovereignty,nationalism,self-actualization,B
62,The minorities  Commission appointed in Nigeria in 1957 recommended that ,More states should be create in the federation ,No more states should created before independence ,Nigeria should revert to a unitary structure ,The legislature  should legislature should legislature for the minority areas ,B
63,The motion for self-government in Nigeria was proposed by Chief Anthony Enahoro in,1956,1953,1956,1958,B
64,The cultural organisation which metamorphosed into 	Northern People’s Congress (NPC) was,Arewa Consultative Forum,Borno Youth Movement,Egbe Omo Oduduwa,Jamiyyar Mutanen Arewa,D
65,Which of the following is not a function of the Secretary-General of the United Nations Organization?,Supervising the Secretariat,Interpreting the treaties,Alerting the Security Council on any matter that may threaten international peace,Making annual report,B
66,The twelve state structure was created in Nigeria in,1965,1966,1967,1974,C
67,In a federal system ,the centre is weak ,plurality is abnormal ,there is nothing like autonomous units ,there is unit in diversity ,D
68,One basic feature of a monarchical form of government is that,separation of powers is absolute,members of the executive are elected,succession is through heredity,the ruler has a fixed tenure,C
69,Another word for red-tapism is,democracy,autocracy,idiosyncrasy.,bureaucracy,D
70,Who among the following was NOT an officer in the pre-colonial Yoruba society?,Aremo,Are-Onakakanfo,Balogun,Oluwo,D
71,The most important aspect of political participation in a democracy is  ,attending political rallies  ,voting in elections  ,registration with a political party  ,the observance of electoral processes ,B
72,A permanent structure that facilitates continuity and guarantees orderly conduct in governance is,bureaucracy,public corporation,ombudsman,political party.,A
73,Under the 1963 Republican Constitution, the president exercised ,Judicial powers ,executive powers ,nominal powers ,concurrent powers.,C
74,The Economic Community of West African States was established in ,May-75,May-63,May-66,May-96,A
75,Citizenship is acquired by an alien through,registration,birth,conferment,naturalization,D
76,The European Union (EU) is an ,Economic organization ,Association of former British colonies  ,Organization of European states ,Union  of European  organization,C
77,Government is the machinery established to manage the affairs of,rulers,aliens,the civil service,the state,D
78,The upper house in most federal systems is created to,oversee and check the lower house,prevent excesses of the executive,enable experienced elders make inputs to governance,ensure equality of federating units,D
79,The following countries are settler colonies except  ,Nigeria ,south Africa ,Angola ,Mozambique.,A
80,Decree 34 of 1966 was unacceptable to many Nigerians because it was,promulgated without consultation with the people,perceived to abolish the federal system,considered as alien,seen as an instrument of impoverishment,A
81,An example of a country with a flexible constitution is,South Africa,Britain,Benin Republic,the United States of America.,D
82,The act of transferring autonomous powers to subordinate agencies is,devolution,concentration,deconcentration,delegation.,A
83,The review of Nigeria foreign policy under the Murtala/Obasanjo regime was done by,Udoji Committee,Aboyade Committee,Adedeji Commission,Philips Commission,C
84,An example of a country with a flexible constitution is,South Africa,Britain,Benin Republic,the United States of America.,D
85,As an executive, the commissioner is charged with the responsibility of,making laws,implementing laws,writing laws,giving loans.,B
86,Citizenship is acquired by an alien through,registration,birth,conferment,naturalization,D
87,The laws which the state legislators make normally pass through,the commissioner,the process of deliberations,the judiciary,some committees in the civil service,B
88,Nigeria gained independence from colonial rule on ,1-Oct-60,November, 1963 ,29-May-99,1-Nov-60,A
89,The amalgamation of the northern and southern protectorates and the colony of Lagos was in,1960,1966,1914,1957,C
90,Which of the following is not the function of the government?,Building of roads, bridges, canals, etc.,Provision of education.,Maintenance of relations with other states.,Provision of all the material needs of all citizens.,D
91,Alhaji Shehu Shagari was sworn in as President of the Federal Republic of Nigeria in 1979 by , Justice Fata Williams ,Justice Adetokunbo Ademola ,Justice Salihu Modibbo  Alfa Belgore ,Justice Isa Mohammed,B
92,Local government reforms were carried out by the Federal Military Government in,1966,1967,1970,1976,D
93,The emergence of nationalism was essentially the result of the ills of,independence,slavery,colonialism,imperialism,C
94,In many countries, citizenship can be acquired through the following processes except ,nationalization ,naturalization ,registration ,birth,A
95,Free education was introduced in west region by which of these premiers? ,Chief Obafemi Awolowo ,Chief S.L. Akintola  ,Chief Michael Adekunle Ajasin ,Chief Bola Ige,A
96,In a federal state, power is shared,between the center government and the local authorities,among the state of the federation,among the major regions of the country,between the center government and other co-ordinate units.,D
97,Which of the these was the main organ of the defunct OAU? ,The liberation committee ,The Council of Ministers  ,The commission for Mediation, Conciliation and Arbitration ,the Assembly of Heads of the state and Government.,D
98,Another word for red-tapism is,democracy,autocracy,idiosyncrasy.,bureaucracy,D
99,An electoral system in which parties are assigned seats in the parliament commensurate to the number of votes polled is,absolute majority,simple majority,proportional representation.,indirect election.,C
100,Which of the following is not relevant to communism,Democracy,Violent revolution,Friedrich Engels,Private Enterprise.,D
