Order,Question,A,B,C,D,answer
69,A dirge is a poem sung,to send a child to sleep,to make workers happy,at a birthday party,at a funeral,D
70,The tone in Dennis Brutus' "A Troubadour I Traverse .... " can be described as: ,defiant ,submissive ,regretful ,arrogant.,A
71,The attitude of Nnu Ego when she was told that her Chi would not give her a child is one of,indifference,despair,apathy,hope.,B
72,	Oh  the market is set like the hub of a wheel <br>
	And it pulfs 	like a magnet strong <br>
	It is easy to tell <br>
	How it casts its spell <br>
	And draws all the crowds along. <br><br>
The sound device used in the extract above is,rhyme,alliteration,emphasis,assonance,A
73,Gullet is so named by the natives because of his  ,razor-sharp wit  ,long neck ,closeness to the people ,hostility ,B
74,The attitude of Nnu Ego when she was told that her Chi would not give her a child is one of,indifference,despair,apathy,hope.,B
75,In the "School Boy" the poem is an example of _________ that is  a poem written in the form of a speech or statement made by individual character,Dramatic monologue,Monologue,Aside,Tragic-comedy,A
76,The literary term which describes the angle at which a writer tells his story is,Point of view,Story angle,Story line,Aside,A
77,In Leopold Sedar Senghor's "I will pronounce Your Name" Naeth represents ,Africa ,Senegal ,the poet's mother ,the poet's lover.,B
78,Who must the narrator fight one on one at the battle royal?,Tatlock,Jack,The M.C,His friend,D
79,The tone in Dennis Brutus' "A Troubadour I Traverse .... " can be described as: ,defiant ,submissive ,regretful ,arrogant.,A
80,In a tragedy  the moment when the protagonist suffers a reversal of fortune is know as ,eatharsis ,exposition ,enagnonsis ,peripeteia ,D
81,‘O” serpent heart  hid with a flowering face!’ The statement refers to,Juliet,Romeo,Tybalt,Benvolio,B
82,The “advocate” and the “impostor” are,conspirators,enemies,suspicious of each other,attracted to each other,D
83,An extended fictional narrative which is realistic is known as a,Diary,Novel,Novella,Short story,B
84,“O mother  my mother!...How could I be expected to know? I was a child when I left this house four months ago. Why didn’t  you tell me there was danger in men-folk? Why didn’t you warn me?” the speech above achieves its literary effect through the use of: ,litotes  ,onomatopoeia ,allusion  ,repetition.,D
85,Who responded to the speech?,Lago,Cassio,Othello,Lodovico,B
86,“O mother  my mother!...How could I be expected to know? I was a child when I left this house four months ago. Why didn’t  you tell me there was danger in men-folk? Why didn’t you warn me?” the speech above achieves its literary effect through the use of: ,litotes  ,onomatopoeia ,allusion  ,repetition.,D
87,Kofi Awoonors. The Anvil and the Hammer. The dominant imagery used in the poem is,Dress-making,New life,Tradition and modernity,Flags,A
88,The suddenly her heart was whipped up  she now rode on strange waves: alone defying the wind and the rain; alone  fighting hunger and thirst in the desert  alone  struggling with strange demons in the forest bringing  glad tidings to her people. The mood of the lady in this  passage is one of ,simple defiance ,defeat  ,triumphant  ,depression,C
89,The constant companions of  Nnaife family are,togetherness and happiness,poverty and hunger,sickness and joblessness,disagreement and humiliation,B
90,In D.H Lawrence's "BAT"  the line "hang themselves up like an old rag" indicates the poet's _____________ of bats,Love,Hatred,Kindness,Acceptance,B
91,A plot in a literary work is about,Character delineation,Casual arrangement of events,Resolution of conflicts,Law of poetic justice,B
92,The most important concepts in poetry are,Strong and action,Plot and rhythm,Rhythm and imagery,Plot and character,C
93,This extract is an example of  ,dirge  ,satire  ,ode  ,sonnet,A
94,The rhyming pattern in the last stanza of Lade Wosornu's "Raider of the Treasure Trove" makes the stanza,An octave,A quatrain,A couplet,A sestet,C
95,Which of these definitions best described a lyric? ,a short poem,a short poem in which the poet is speaking,a poem expressing a personal idea  feeling or mood,a poem divided into stanza.,C
96,Winston Smith begins his rebellion against the power of the state by ,educating the youth  ,keeping a private diary  ,purchasing arms ,disobeying Big Brother.,B
97,The rhyming pattern in the last stanza of Lade Wosornu's "Raider of the Treasure Trove" makes the stanza,An octave,A quatrain,A couplet,A sestet,C
98,The tone in Dennis Brutus' "A Troubadour I Traverse .... " can be described as: ,defiant ,submissive ,regretful ,arrogant.,A
99,Which of these is not true about unity of action in a novel? ,action may be unified through a single main character  ,action may be unified by being set in one place  ,action may be unified by many characters  ,action may be unified by using set in one consistent point of view.,A
100,A literary work which imitates another in a distorted form is called,exodium,isocohen,metonymy,burlesque.,D
