Order,Question,A,B,C,D,answer
61,Mammals are  capable  of producing hypertonic urine mainly because of re-absorption in the  ,urethra  ,loop of henle  ,ureater  ,Bowman’s capsule,B
62,A yellow maize is planted and all the fruits obtained are of yellow seeds. When they are cross bred, yellow seeds and white seeds are obtained in a ratio 3:1. The yellow seed is said to be  ,non heritable,sex linked,a recessive trait  ,a dominant trait,D
63,Excess water  in plants is excreted as water vapour and droplets respectively through  ,respiration and guttation  ,transpiration and guttation,photosynthesis and guttation,guttation and condensation,B
64,An evidence of the relationship between living organisms and their extinct relatives can best be obtained from,Embryology  ,Comparative anatomy  ,comparative physiology,all of the above,D
65,The role of the Golgi com plex in a eukaryotic cell is to  ,transport genetic material out of the cell,transport organic materials in and out of the cell,provide attachment for ribosomal granules,conduct ions and out of the cell,B
66,Which of the following is the lowest category of  classification?  ,Class   ,species  ,Family,Genus,B
67,I. Parasitism _ Sundew    II Autrrophism_Amoeba    III Saprophytism_ Alga  IV. Heterotrophism- Agama. Which of the above modes of nutrition is correctly matched with the organism that  exhibits it?,III,IV  ,I,II,B
68,Hydrostatic skeleton is the type of supporting system found in,Mammals  ,reptiles  ,oligochaetes   ,arthropods,C
69,A plant like feature I Euglena is the,Pellicle  ,pigment sport,large vacuole   ,gullet,B
70,During the dry season in the tropics, the body metabolism of some animals slows to a minimal level in a process referred to as,hibernation,aestivation,dormancy,sense scense  ,B
71,The crossing of individuals of the same species with different genetic characters is, polygenic inheritance  , non disjunction  ,inbreeding,cross breeding,C
72,Which of the following is the lowest category of  classification?  ,Class   ,species  ,Family,Genus,B
73,In lizards, the lowering  of the gular fold is used to,attract mates  ,frighten enemies,catch insects   ,defend their territory,B
74,Yeast respires anaerobically  to covert simple sugar to carbon (IV) oxide and,alcohol  ,acid,oxygen,water,A
75,The association in which one member benefits and the other is relatively unaffected by the interaction is termed  ,symbiosis,parasitism,commensalism  ,Mutualism,C
76,The part of the alimentary system of a bird where food is  ground into small particles is the,cloaca  ,stomach  ,crop  ,gizzard,D
77,The variation illustrated is,physiological   ,discontinuous  ,morphological   , biochemical,C
78,Hydrostatic skeleton is the type of supporting system found in,Mammals  ,reptiles  ,oligochaetes   ,arthropods,C
79,A characteristic that can possibly be shared by both living  and non-living organisms is  ,locomotion  ,irritability,increase in biomass,increase in size,D
80,The mammalian lung is made air light by the,pleural cavity  ,mucous membrane,pleural membrane  ,diaphragm,A
81,The specialized pigment cells that are involved in colouration and colour change in animals are the,xanthophyl,chromatophores,chlorophyll,mechanic,D
82,Plants of temperate origin can be grown in tropical areas in the vegetation zones of the,rain forest   ,Guinea savanna   ,Sudan savanna,montane forest,D
83,Climax communities in a biotic succession are usually characterized by,a constant change in the appearance of the commodities  ,a stable composition of plant and animal species  ,rapid changes in the plant and animal species  ,different species that are constantly changing,B
84,The fungi are a distinct group of eukaryotes mainly  because they have  ,spores  ,no chlorophyll  ,many fruiting bodies,sexual and asexual reproduction,D
85,The association between bacteria residing I the caecum and the ruminant is  ,parasitism  ,predation  ,saprophytism  ,mutalism,D
86,In which of the following species is the biomass of an individual the smallest?,Agama sp  ,Bufo sp,spirogyra sp   ,Tilapia sp,C
87,An evidence of the relationship between living organisms and their extinct relatives can best be obtained from,Embryology  ,Comparative anatomy  ,comparative physiology,all of the above,D
88,An example of a sex-linked  trait is the,ability to roll the tongue,possession of facial hair in adult humans  ,ability to grow long hair in females  ,colour of the skin in human,C
89,The main distinguishing features between the soldier termite and other members of the caste are the,presence of wings, possession of a small head and large thorax,presence of wings, possession of a large thorax  and a small head,absence of wings, possession off strong mandibles and a large head,absence of wings, possession of big head and the absence of mandible.,C
90,Throxne and adrenalin are examples of hormones which control,blood grouping,tongue rolling  ,behavioural patterns,colour variation ,C
91,The  soil type that contains nutrients which are not readily available for plants is , sandy  ,Alluvial  ,loamy  ,clayey  ,D
92,The formation of water in tissue  respiration  results from the  ,combination of water  molecules,breakdown of water molecules  ,reduction of carbon (IV) oxide,reduction of oxygen by hydrogen,D
93,The optimum temperature  for the growth of the organism is,25oC,50oC,75oC   ,100oC,B
94,The best method of propagating sugarcane by,seed sowing  ,layering,grafting  ,stem cuttings,D
95,Mendel, s second law of inheritance states that,alleles separate predictably  ,alleles segregate  independently,chromosomes segregate independently  ,alleles combine randomly,B
96,Plants of temperate origin can be grown in tropical areas in the vegetation zones of the,rain forest   ,Guinea savanna   ,Sudan savanna,montane forest,D
97,The role of the Golgi com plex in a eukaryotic cell is to  ,transport genetic material out of the cell,transport organic materials in and out of the cell,provide attachment for ribosomal granules,conduct ions and out of the cell,B
98,A density dependent factor that regulates the population size of organism is,disease,sudden flood  ,drought,fire outbreak,A
99,The axial  skeleton is found in the,skull , ribs, vertebral column and breast bone   ,skull humerus, vertebral column and ribs  , breastbone, clavicle, rids and vertebral column, femur, sternum, ulnae and skull,A
100,Radial symmetry is a feature common to the  ,platyhelminthes,nematodes  ,coelentrates,arthropods,C
