Order,Question,A,B,C,D,answer
41,The Ekitiparapo war lasted for  ,10 years  ,16 years  ,100years,50 years ,B
42,???. and slave raiding were complementary exercises among the Yoruba  ,farming  ,hunting  ,war  ,diplomacy ,C
43,The concept of Indirect Rule in Nigeria is usually associated with  ,Sir George T.  Goldie  ,Claude Macdonald  ,Lord Lugard  ,Consul Philip ,C
44,When was the emirate system of administration introduced in Northern Nigeria? ,19th century ,20th century ,18th century  ,17th century ,C
45,Ali Ghaji s  eig  e ded i  Ka e  Bo o in  ,1501,1502,1503,1504,D
46,The Committee that recommended Abuja as the New Federal Capital was headed by  ,Graham Douglas  ,Mamman Nasir  ,Rotimi Williams  ,Akinola Aguda ,D
47,Which of the following in the pre-colonial era had integrated political structure  ,Tiv  ,Ilaje ,Jukun  ,Nupe ,D
48,Which of the following titles among the Igbos in the pre-colonial era required substantial wealth before one could acquire it?,Obi  ,Eze  ,Ozo  ,Ofo ,C
49,A chief could be deposed in the pre-colonial era if he  ,violated the written constitution  ,persistently neglected the advice of the elders  ,refuse to collect taxes for the Britishs  ,married too many wives ,B
50,The Aro system in Igboland was a ,Political organisation  ,Commercial organisation  ,Religious organisation  ,Imperial organisation ,C
51,Pre-colonial Igbo society was  ,centralised ,acephalous,feudal  ,capitalist ,B
52,Lagos became the crown colony in  ,1914,1861,1886,29-Mar-05,C
53,Yoruba inter-state wars lasted for  ,16 years  ,10 years  ,100 years  ,50 years ,C
54,Pre-colonial Igbo society was  ,centralised ,acephalous,feudal  ,capitalist ,B
55,The ratification of the appointment and dismissal of an emir in the pre-colonial Fulani empire was done by,Emir of Kano  ,Emir of Sokoto  ,Emir of Gwandu  ,B & C,D
56,Which of the following made the earliest contact with the Nigerian societies?  ,The Portuguese ,The Germans  ,The British ,The French,A
57,???. and slave raiding were complementary exercises among the Yoruba  ,farming  ,hunting  ,war  ,diplomacy ,C
58,The first independence day speech in Nigeria was given by??.,Muhammadu Buhari,Obafemi Awolowo,Tafawa Balewa,Nnamdi Azikwe,C
59,The Ogboni Cult in the pre-colonial Yoruba political system played the role of the  ,judiciary  ,executive  ,police  ,legislation ,A
60,The Ekitiparapo war lasted for  ,10 years  ,16 years  ,100years,50 years ,B
61,Which of the following made the earliest contact with the Nigerian societies?  ,The Portuguese ,The Germans  ,The British ,The French,A
62,In the Hausa/Fulani traditional political system jingali was  ,one of the sources of revenue to cattle owners  ,tax paid on cattle  ,a property tax paid to land owners ,a type of flat rate tax ,B
63,Lagos became the crown colony in  ,1914,1861,1886,29-Mar-05,C
64,The Committee that recommended Abuja as the New Federal Capital was headed by  ,Graham Douglas  ,Mamman Nasir  ,Rotimi Williams  ,Akinola Aguda ,D
65,Samori Toure was captured in 1893 by  ,French imperialism  ,British imperialism  ,Germany imperialist  ,none of the above ,A
66,The ratification of the appointment and dismissal of an emir in the pre-colonial Fulani empire was done by,Emir of Kano  ,Emir of Sokoto  ,Emir of Gwandu  ,B & C,D
67,The Yoruba  Edo  Nupe  and Ibo languages are classified as belonging to the  ,Arabic  ,Kwa-sub group  ,Kaw sub group  ,Kai sub group ,B
68,Archaeology findings in Ugbo-Ukwu are suggestive of rich  ,Agricultural potentials  ,cultural civilization  ,mineral deposit  ,all of the above ,B
69,In the Oyo empire  the Alaafin was ,an absolute monarch  ,popularly elected  ,a constitutional  monarch ,worshipped as deity ,A
70,Archaeology findings in Ugbo-Ukwu are suggestive of rich  ,Agricultural potentials  ,cultural civilization  ,mineral deposit  ,all of the above ,B
71,In the Hausa/Fulani traditional political system jingali was  ,one of the sources of revenue to cattle owners  ,tax paid on cattle  ,a property tax paid to land owners ,a type of flat rate tax ,B
72,In the Oyo traditional political system  the Alaafin of Oyo was elected or chosen by a group known ,Ogbon,Oyo Mesi ,Baale,Ohanaeze,B
73,Islam was introduced in Northern Nigeria  ,before the 13th century  ,in the 17th century  ,in the 19th century  ,in the 18th century ,A
74,The Committee that recommended Abuja as the New Federal Capital was headed by  ,Graham Douglas  ,Mamman Nasir  ,Rotimi Williams  ,Akinola Aguda ,D
75,Islam was introduced in Northern Nigeria  ,before the 13th century  ,in the 17th century  ,in the 19th century  ,in the 18th century ,A
76,Oron and Ekoi people of the Cross River Basin might have migrated to Nigeria through the  ,sea  ,mountain  ,sky  ,none ,A
77,The Ogboni Cult in the pre-colonial Yoruba political system played the role of the  ,judiciary  ,executive  ,police  ,legislation ,A
78,Lagos became the crown colony in  ,1914,1861,1886,29-Mar-05,C
79,Oron and Ekoi people of the Cross River Basin might have migrated to Nigeria through the  ,sea  ,mountain  ,sky  ,none ,A
80,The Lagos Colony and the Southern Protectorate of Nigeria were joined in the year ,1904,1906,1910,1914,B
81,The Portuguese first visited Benin around  ,1485,1484,1486,1483,A
82,Which of the following was the last to win Independence from colonial rule?  ,Cote d I oi e,Algeria  ,Tanzania  ,Angola ,D
83,An acephalous pre-colonial system is best represented by the  ,Oyo Empire  ,Igbo political organisation  ,Ijaw political organisation  ,Benin Empire ,B
84,Islam was introduced in Northern Nigeria  ,before the 13th century  ,in the 17th century  ,in the 19th century  ,in the 18th century ,A
85,Which of the following was the last to win Independence from colonial rule?  ,Cote d I oi e,Algeria  ,Tanzania  ,Angola ,D
86,The Portuguese first visited Benin around  ,1485,1484,1486,1483,A
87,The use of forced labour was one of the features of  ,British colonial policy  ,French colonial policy  ,American colonial policy  ,divide and rule ,B
88,In the Oyo empire  the Alaafin was ,an absolute monarch  ,popularly elected  ,a constitutional  monarch ,worshipped as deity ,A
89,Which of the following was the last to win Independence from colonial rule?  ,Cote d I oi e,Algeria  ,Tanzania  ,Angola ,D
90,In the Hausa/Fulani traditional political system jingali was  ,one of the sources of revenue to cattle owners  ,tax paid on cattle  ,a property tax paid to land owners ,a type of flat rate tax ,B
91,During the early colonial period in Nigeria  the governor ruled the protectorate by  ,Crown Colony Orders  ,Proclamation  ,Order?in-Council  ,The Act of Parliament ,D
92,Lagos became the crown colony in  ,1914,1861,1886,29-Mar-05,C
93,Which of the following was the last to win Independence from colonial rule?  ,Cote d I oi e,Algeria  ,Tanzania  ,Angola ,D
94,Which of the following in the pre-colonial era had integrated political structure  ,Tiv  ,Ilaje ,Jukun  ,Nupe ,D
95,Which of the following in the pre-colonial era had integrated political structure  ,Tiv  ,Ilaje ,Jukun  ,Nupe ,D
96,In the Oyo traditional political system  the Alaafin of Oyo was elected or chosen by a group known ,Ogbon,Oyo Mesi ,Baale,Ohanaeze,B
97,The Portuguese first visited Benin around  ,1485,1484,1486,1483,A
98,During the early colonial period in Nigeria  the governor ruled the protectorate by  ,Crown Colony Orders  ,Proclamation  ,Order?in-Council  ,The Act of Parliament ,D
99,An acephalous pre-colonial system is best represented by the  ,Oyo Empire  ,Igbo political organisation  ,Ijaw political organisation  ,Benin Empire ,B
100,Ali Ghaji s  eig  e ded i  Ka e  Bo o in  ,1501,1502,1503,1504,D
