Order,Question,A,B,C,D,answer
15,Subscription in advance is treated in the Balance Sheet of 	non-profit making organizations as,current asset,fixed asset,Current liability,accumulated fund,C
16,Which of the following is not a source document?,Journal proper,Sales invoice,Debit note,Credit note,A
17,The amount allowed off the cost price of an article to stimulate patronage is,cash discount,trade discount,discount on debt,discount on bills.,B
18,In the balance sheet of a social club, subscription owing is treated as a,current liability,current asset,tangible asset,long-term liability,B
19,Which of the following is not a characteristic of a Trial Balance?,It has columns for debit and credit balances,Total of debit balance equals total of credit balance,It is a statement,It is an account,D
20,Trading account is prepared to ascertain ,Gross profit ,Net profit ,Gross profit or Gross loss , Net profit or net loss,C
21,If the scrap value is now N15, 000, what will be the yearly depreciation using straight line method?,N11 000,N7, 000,N 4, 000,N24. 000,C
22,Which of the following is not a revenue receipt?,Receipt from sales of goods,Rent from premises sublet,Interest on savings account,cash on sale of fixed asset,D
23,credit balance is,a liability or an expense.,a liability or an income.,an expenditure or an income.,an asset or an expense.,B
24,Which of the following columns of a three column cash book 	are memoranda?  I. Discount received  II. Discount allowed III. Cash IV. Bank,I and II only,I and III only,II and III only,ll and IV only.,D
25,What is the net profit?,N  46,000,N 45,000,N  28,000,N  27,000,C
26,Opening balance of Diksacompany was 12, 202, closing balance N15,300, total cash received during the period N40, 000. What was the amount of cash paid during the same period?,N36. 902,N27,502,N12,498,N43.098,C
27,The balance of profit and loss account will be,N 4,000,N 2,800,N 1,500,N 300,A
28,When stock is withdrawn, for personal use, the accounting entries is to debit,stock account, credit drawings,drawing account credit stock account,personal account credit cash account,cash account, credit personal account.,B
29,The process whereby a cheque received by one person is given to another for payment is known as,cheque crossing,payment in cheque,cheque transfer,cheque endorsement.,C
30,Which of the following is a nominal account?,Machinery Account,Drawings Account,Debtors Account,Wages Account,D
31,Determine the amount for the beginning inventory,N 20,140,N10,240,N 8,140,N 7,240,B
32,The quality of output information depends on the,quality of input data,time of processing,speed of processing,quantity of output device,A
33,Where there are no proper books of account, the capital at the commencement of a period is ascertained by preparing,Total Debtors and Creditors Accounts,Bank Reconciliation Statement,Statement of Affairs,Trading, Profit and Loss Accounts,C
34,Which of the following is used to record the disposal of a fixed asset?,Journal  Proper,Petty  Cash  Book,Sales Day Book,Purchases Day Book,A
35,Where closing stock is undervalued, the effect is,an increase in gross profit,a decrease in gross profit,an increase in purchases,a decrease in purchases,B
36,Cost of raw materials consumed is,D113,000,D105,500,D98,000,D95,500.,C
37,Posting  the  transactions   in bookkeeping means ,making the first entry of a double entry transaction ,entering items in a cash book ,making the second  entry of a double entry transaction ,something other than the above.,A
38,The costs incurred by departments that support the production department with such activities as maintenance, production control and storage are called,autonomous costs,service costs,supporting costs,subsidiary costs,B
39,The instrument used to release fund which the minister of finance had earlier withheld is,reserve expenditure warrant,supplementary general warrant,provisional general warrant,supplementary statutory warrant,B
40,The budget statement presented to the legislature by the Chief Executive is called,an appropriation act,a budget bill,an appropriation bill,a budget proposal,C
41,Subscription   received   in   respect of a future period is,Subscription deposit,Subscription in advance,Accrued subscription,Subscription in arrears,B
42,Wilson Company owns land which cost 14100, 000. If a "quick sate" of the land was necessary to generate cash, the company feels it would receive only N80, 000.    The company continues to report the asset on the balance sheet at N100, 000   This is justified under which of the following concepts?  ,The historical-cost principle.,The value is tied to objective and verifiable past transactions.,Neither of the above., Both "a" and "b",A
43,Find the salary charged to Zera product.,N 1 854,N 1 845,N 1 062,N 1 134.,C
44,Which of the following is not a revenue to a local government?,Fines,Licenses,Personal income tax,Tenement rates,C
45,The journal is a book ,of primary entry into which all transactions are entered before posting ,kept by journalist for reporting events ,of prime entry into which postings are made from the ledger  ,of analyzing major accounts,A
46,Which of the following is not a business asset?,Deposit account in bank,Interest due on loan,Five acres of land,Library books owned by a lawyer ,B
47,A suspense account is used to,agree the trial balance,record sales,record purchases,correct errors,A
48,The cost of raw materials consumed is,GHc 58,000.,GHc 52,500.,GHc 52,000.,GHc 50,000.,B
49,Which of the following is not a business asset?,Deposit account in bank,Interest due on loan,Five acres of land,Library books owned by a lawyer ,B
50,Which of the following is an example of factory overheads?,Salary of marketing officer,Salary of production officer,Salary of accounting officer,Wages of machine operator,D
51,Which of the following columns of a three column cash book 	are memoranda?  I. Discount received  II. Discount allowed III. Cash IV. Bank,I and II only,I and III only,II and III only,ll and IV only.,D
52,Net turnover is referred to as,purchases,assets,sales,profits,C
53,  Prepaid wages is an item in the (i)Balance Sheet (ii) Profit and loss account (iii)Trading  account (iv) Cash account ,i, ii, iii only ,ii, iii  ,i, ii ,iii, iv,A
54,Partnership    is    a    business    owned and controlled by ,Two members ,two to ten members ,Two to twenty person  ,Two to five persons,C
55,credit balance is,a liability or an expense.,a liability or an income.,an expenditure or an income.,an asset or an expense.,B
56,Discount Received Account is a,real account,personal account,nominal account,profit and loss account,C
57,The adjusted cash book balance is,D11,200,D8,400,D6,200,D5,600,D
58,The cost of putting goods into a saleable condition is charged to,balance sheet,trial balance,profit and loss account,trading account,D
59,A discount that is allowed to encourage a debtor to pay off his debt within a period is the,trade discount,annual discount,periodic discount,cash discount.,D
60,Unpresented cheques are cheque,that have been recorded in the cash book, but not by the bank,that have been received by the bank, but recorded in the cash book,returned by the bank,written, but not handed over to customers,A
61,Partnership    is    a    business    owned and controlled by ,Two members ,two to ten members ,Two to twenty person  ,Two to five persons,C
62,The journal is a book ,of primary entry into which all transactions are entered before posting ,kept by journalist for reporting events ,of prime entry into which postings are made from the ledger  ,of analyzing major accounts,A
63,The amount allowed off the cost price of an article to stimulate patronage is,cash discount,trade discount,discount on debt,discount on bills.,B
64,Where there are no proper books of account, the capital at the commencement of a period is ascertained by preparing,Total Debtors and Creditors Accounts,Bank Reconciliation Statement,Statement of Affairs,Trading, Profit and Loss Accounts,C
65,The annual depreciation is,N9,000,N8,500,N8,000,N6,500,C
66,Stock valuation is useful because it informs the sales department on the,prices of the competing goods,prices that will affect profitability,number of goods to produce,number of goods to sell.,B
67,Which of the following is not a characteristic of a Trial Balance?,It has columns for debit and credit balances,Total of debit balance equals total of credit balance,It is a statement,It is an account,D
68,Which of the following is an example of factory overheads?,Salary of marketing officer,Salary of production officer,Salary of accounting officer,Wages of machine operator,D
69,When the purchase consideration exceeds the value of business, the difference is,profit,discount,goodwill,reserve,C
70,The diary or events in which all financial transactions    are    recorded    for    easy reference and to assist in the double entry system is ,Ledger,Journal   ,Purchases and sales day books ,Debit and credit documents,A
71,The sum of direct cost in a manufacturing account is,production cost,prime cost,total cost,finance cost,B
72,Journal proper is used in recording,transactions that are not regular,returns from customers,credit sales,the receipt and payment of  money,A
73,At the year end, the purchases ledger showed a debit balance of N 108. The total on the debit side of the purchases ledger control account will be,N 22,966,N 22,156,N 21,834,N 21,054,A
74,The instrument used to release fund which the minister of finance had earlier withheld is,reserve expenditure warrant,supplementary general warrant,provisional general warrant,supplementary statutory warrant,B
75,Rent receivable is a,current asset,current liability,contingent liability,fictitious asset,B
76,The balance unearned rent account for Jones Co. as at 31st Dec. is 1,200. If Jones Co tailed to record the adjusting entry for 600 of rent earned during December, the effect on the balance sheet and income statement,for December is:, Liabilities   overstated—N60Q:   c:et income overstate d 44600, Liabilities   understated   £4500:   net income  understated N600,Asset    understated—N600:     net    income  overstated N600,D
77,The cost of raw materials consumed is,GHc 58,000.,GHc 52,500.,GHc 52,000.,GHc 50,000.,B
78,An example of input device of a computer is,an optical character reader,a graph plotter,a visual display unit,printer,A
79,The process whereby a cheque received by one person is given to another for payment is known as,cheque crossing,payment in cheque,cheque transfer,cheque endorsement.,C
80,The budget statement presented to the legislature by the Chief Executive is called,an appropriation act,a budget bill,an appropriation bill,a budget proposal,C
81,The Sales Ledger Control Account is also referred to as,Bought Ledger Control Account.,Purchases Account.,Total Debtors Account.,Total Creditors Account.,C
82,The journal is a book ,of primary entry into which all transactions are entered before posting ,kept by journalist for reporting events ,of prime entry into which postings are made from the ledger  ,of analyzing major accounts,A
83,A company has departments X, Y and Z. Department X occupies a space twice that of Y while Z   occupies half the space of  Y. If the company pays N 70 000 on rent, what is the amount of rent that should be allocated to Y?,N 30,000,N 40,000,N 20,000,N 10, 000.,C
84,Rent receivable is a,current asset,current liability,contingent liability,fictitious asset,B
85,The fourth stage of the accounting information system is,recording,interpreting,summarizing,classifying.,C
86,In the balance sheet, the subscription in arrears will be,N 200,N 300,N 1,200,N 1,300,C
87,Unpresented cheques are cheque,that have been recorded in the cash book, but not by the bank,that have been received by the bank, but recorded in the cash book,returned by the bank,written, but not handed over to customers,A
88,The budget statement presented to the legislature by the Chief Executive is called,an appropriation act,a budget bill,an appropriation bill,a budget proposal,C
89,The annual depreciation is,N9,000,N8,500,N8,000,N6,500,C
90,The total expenditure for the period is,319,000.,270,000,139,000.,109,000.,D
91,Where there are no proper books of account, the capital at the commencement of a period is ascertained by preparing,Total Debtors and Creditors Accounts,Bank Reconciliation Statement,Statement of Affairs,Trading, Profit and Loss Accounts,C
92,At the end of a trading period, wages will be  ,debited to trading account and shown as a current liability ,credited to profit and loss Account and shown as a current liability ,credited to trading account and shown as a current asset ,debited to profit and loss account and shown as a current liability,A
93,Capital expenditure for the year was,Le 545,000,Le 490,000,Le 450,000,Le 300,000,B
94,When stock is withdrawn, for personal use, the accounting entries is to debit,stock account, credit drawings,drawing account credit stock account,personal account credit cash account,cash account, credit personal account.,B
95,Net turnover is referred to as,purchases,assets,sales,profits,C
96,The federal government approved  N 140 m to local governments W, X, Y and Z. The amount is to be shared on the basis of 40% equality. 35% population and 25% internal revenue generation. Calculate the share of local government W on equality.,N 35 m,N 14 m .,N 56 m,N 28 m.,C
97,Where a correct amount is entered, but in the wrong person's account, is an error of  ,Principle  , Omission,Commission,Compensation,C
98,Final accounts of a company refers to: ,Trading and profit and loss account  ,Profit and loss account and balance sheet  ,Trading account and balance sheet  ,Trading , profit and loss account and balance sheet,D
99,A system where a separate cash book is maintained for small payments is,single entry,imprest,float,reimbursement.,B
100,Musa, a prepaid customer of XYZ and KLM, bought  N1500 recharge card from XYZ and  N2000 recharge card from KLM for business calls. The entry to record these transaction is debit,telephone  N 3,500, credit XYZ and KLM  N 3,500,telephone N 3,500. credit cash  N 3,500,sundries N 3,500, credit KLM  N 3,500,sundries  N 3.500, credit telephone  N3,500,A
