Order,Question,A,B,C,D,answer
77,Which of the following is not a trade union in Nigeria?,Nigerian Labour Congress,Academic Staff Union of Universities,Nigerian Economic Society,Nigerian Union of Journalists,C
78,The 150.00 Naira which Olu would have used to purchase a textbook was used to buy a T-shirt. This implies that,Olu’s real cost is 150.00 Naira,Olu’s opportunity cost is the T-shirt,Olu’s opportunity cost is the textbook,Olu’s money cost is also the real cost.,C
79,Which of the following does not explain why a school principal earns more salary than a school messenger?,Length of training,Demand and Supply,Cost of training,The messenger is a non-teaching staff,B
80,In Economics human wants are usually described as  ,many,insatiable ,limited,numerous,B
81,The satisfaction derived from the use of a commodity is its,demand,elasticity,wealth,utility,D
82,A negative effect of the presence of a large number of middlemen in the distributive network is,greater variety of goods,greater quality of goods,lower price of goods,higher price of goods,D
83,Which of the following is the most liquid asset to a commercial bank? ,cash ,money at call ,stock and shares ,Treasury Bills.,A
84,Which of the following items is under the capital account of a balance of payments,Repayments of foreign loans,Visible imports,Invisible exports,Cocoa export,A
85,Which of the following is an example of invisible item on balance of payments account?,Shipping and aviation , Import and Export ,Merchandise ,Bullion ,A
86,Roles of central bank include the following except  ,Lender of last resort to commercial bank  ,Banker to commercial bank  ,Regulator to both the money and capital markets ,Receipt  of government deposits,B
87,Where the burden of a tax finally rest is called,tax object,tax rate,incidence of taxation,system of taxation.,C
88,The reward for labour is,wages,profit,rend,dividends,A
89,Which of the following statements is true? ,Disposable income is the only variable that determines consumption   ,Investment spending is positively related to the rate of interest   ,imports lead to a decrease in the level of exports  ,Imports lead to a decrease in spending on locally produced goods and services.,D
90,The most common type of business in West African countries is,joint stock companies,sole proprietorships,partnerships,public enterprises,B
91,If there is an increase in wages and salaries without a corresponding increase in the supply of goods and services  the situation will lead to,a reduction in aggregate demand,inflation,depression,budget surplus,B
92,Which of the following best describes a perfectly inelastic demand function? ,The quantity demand is insensitive to changes in price ,Price is insensitive changes in quantity ,price and quantity demanded changes by some percentage ,The demand function is horizontal.,A
93,Which of the following correctly defines inflation? ,A one-time increase in commodity prices ,A period when prices increase rapidly,A sustained increase in the overall price level ,An increase in the overall level of business activity,C
94,A tax is regressive if the,rate of tax is constant at all income levels,rate of tax decreases as income increases,rate of tax increases as income increases,tax is direct rather than indirect,B
95,The 150.00 Naira which Olu would have used to purchase a textbook was used to buy a T-shirt. This implies that,Olu’s real cost is 150.00 Naira,Olu’s opportunity cost is the T-shirt,Olu’s opportunity cost is the textbook,Olu’s money cost is also the real cost.,C
96,A manufacturer who wants to build a new plant will source funds from the,commercial banks,money market,capital market,government,C
97,A tax is regressive if the,rate of tax is constant at all income levels,rate of tax decreases as income increases,rate of tax increases as income increases,tax is direct rather than indirect,B
98,If  MPC is 0.7 while government expenditure increased by N= 150m  the equilibrium national income is,N= 214 million,N= 105 million,N= 45 million,N= 500 million,B
99,The market price of a commodity is normally determined by the,law of demand,interaction of the forces of demand and supply.,total number of people in the market,total quantity of the commodity in the market.,B
100,By buying treasury bills  the Central Bank of  Nigeria intends 	to,increase money supply in the economy,reduce money supply in the economy,reduce the cash reserve ratio for banks,increase the capital base of commercial banks,B
