Order,Question,A,B,C,D,answer
83,The list on which both the federal and state makes laws is called the ___________,exclusive,concurrent list,residual list,enumerated list ,B
84,The quality of being useful or important is called ______________,integrity,value,tolerance,unity,B
85,Which of the following does not belong to the attribute of a courageous person in the community?,diligence,inefficiency,commitment ,determination,F
86,All except one is the attribute of integrity,honesty,fair play ,truthfulness,cheating ,D
87,The state and local government are empowered to make laws on the following except,currency ,. market   ,license ,chieftaincy ,A
88,All of the following promote good value system except  ______________,consistency ,trust,intolerance,commitment,C
89,One can benefit from being disciplined through being _____,pride to oneself or community,pride to one’s family,elevated in society or work place,all of the above,D
90,All these are examples of criminal offences except,armed robbery,murder,traffic offences,drug trafficking ,C
91,One of the attributes of contentment is  ____________,satisfaction,envy,greed,corruption,A
92,The list on which both the federal and state makes laws is called the ___________,exclusive,concurrent list,residual list,enumerated list ,B
93,Environmental awareness include the following except ________________,littering the environment,protect the earth for future generation,conserving natural resources,proper waste management,A
94,The first case of Ebola was reported in Nigeria was in____,Lagos ,Ibadan,Abuja  ,Anambra   ,A
95,Environmental awareness include the following except ________________,littering the environment,protect the earth for future generation,conserving natural resources,proper waste management,A
96,A system of government where power is shared between the central and the subordinate state is called,unitary government ,federation,republican,democracy ,F
97,_____ means the quality of being honest and having strong moral principles,honesty,dishonesty,integrity,discipline ,C
98,All these are examples of criminal offences except,armed robbery,murder,traffic offences,drug trafficking ,C
99,Taking care of a school environment is _____,an aspect of discipline,what school authorities demand of pupils ,a good opportunity to show lack of home training,an aspect of careless activity,A
100,Alhaji Shehu Shagari became the first executive president of Nigeria under the platform of ___________,Action Group,National party of Nigeria,Nigeria Advanced party,Nigeria people’s party   ,B
