Order,Question,A,B,C,D,answer
68,The expression above implies,Parallelism,Allegory,Personification,Repetition,C
69,Tony Steals the casket containing,Kate's Jewels,Mrs. Hardcastles's Jewels,Miss. Hardcastle's Jewel,Constance's Jewels,D
70,	Oh  the market is set like the hub of a wheel <br>
	And it pulfs 	like a magnet strong <br>
	It is easy to tell <br>
	How it casts its spell <br>
	And draws all the crowds along. <br><br>
The sound device used in the extract above is,rhyme,alliteration,emphasis,assonance,A
71,In Masizi Kunene’s “A Heritage of Liberation; this season’ refers to the period of: ,oppression ,freedom  ,migration  ,resettlement,B
72,A dirge is a poem sung,to send a child to sleep,to make workers happy,at a birthday party,at a funeral,D
73,In the poem "Birches" the narrator looks at the borch trees in the forest and imagines that their bent nature is as a result of a ____________ "swinging" on them,Monkey,Child,Boy,Man,C
74,The tone of the poet is ,optimistic ,dupplicatory  ,sympathetic ,piteous,A
75,Bigger kills and throws Mary Dalton's remains in the ,Lagoon,Street,Furnace,Pit,C
76,A deliberate imitation of a literary style with the intention to ridicule is ,lampoon ,prosody ,pun ,parody.,D
77,Soon after  Ariel,files off to do his duty,recounts the confusion on board the ship,kneels down to worship Prospero,calls Ceres and another spirit,B
78,In the society of Nwokocha Agbadi  a man’s social rating determined by his,oratorical power,physical prowess,gentle men,altruistic actions,B
79,Mama comes home and announces that she has put a down payment on a house with some of the,Lawyers,Insurance money,Savings,Agents,B
80,Mama comes home and announces that she has put a down payment on a house with some of the,Lawyers,Insurance money,Savings,Agents,B
81,One of the themes is found in "Vanity",Pain and misery,Abuse of power,Innocence,Clash of cultures,A
82,In a narrative poem  the poet attempts to,summarize a story,describe a place,preach a sermon,tell a story,D
83,Which of these definitions best described a lyric? ,a short poem,a short poem in which the poet is speaking,a poem expressing a personal idea  feeling or mood,a poem divided into stanza.,C
84,The expression above implies,Parallelism,Allegory,Personification,Repetition,C
85,In the "School Boy" the poem is an example of _________ that is  a poem written in the form of a speech or statement made by individual character,Dramatic monologue,Monologue,Aside,Tragic-comedy,A
86,The dominant literary device used in the passage is,litotes,personification,simile,paradox,B
87,Winston Smith begins his rebellion against the power of the state by ,educating the youth  ,keeping a private diary  ,purchasing arms ,disobeying Big Brother.,B
88,Why did Catherine refuse to marry Heathcliff?,Heathcliff is of a low class,Heathcliff is blind,Heathcliff is not educated,Heathcliff is her cousin,A
89,The pepper strong enough to push scorpions. This expression illustrates the use of,Euphemism,Personification,Irony,Satire,A
90,A literary work which imitates another in a distorted form is called,Metonumy,Burlesque,Exodium,Isocohen,B
91,Who must the narrator fight one on one at the battle royal?,Tatlock,Jack,The M.C,His friend,D
92,Maanan expresses dislike for Lawyer B because of,his condemnation of  her choice career,his recent advances towards her,the betrayal of her father’s trust,the betrayal of his wife’s trust,C
93,The dominant literary device used in the passage is,litotes,personification,simile,paradox,B
94,The most important concepts in poetry are,Strong and action,Plot and rhythm,Rhythm and imagery,Plot and character,C
95,An expression that signifies a whole through its significant parts is,synesthesia,synecdoche,metonymy,allegory,B
96,When the speaker in a poem cannot be identified with poet  that speaker is called: ,a persona ,a dramatic persona ,a soliloquist,a ventriloquist.,A
97,One of the themes is found in "Vanity",Pain and misery,Abuse of power,Innocence,Clash of cultures,A
98,An extended fictional narrative which is realistic is known as a,Diary,Novel,Novella,Short story,B
99,The main concern of Winston in the novel is to,take power for himself,acquire wealth,overthrow the party,bring social change,D
100,While assisting Marry  Bigger experiences mixed feelings of,Stubbornness and greatness,Admiration and hate,Surprise and shock,Jealousy and avarice,B
