Order,Question,A,B,C,D,answer
77,The right of individuals in the society are usually written in the,constitution,Bible,quran,national assembly ,A
78,Taking care of a school environment is _____,an aspect of discipline,what school authorities demand of pupils ,a good opportunity to show lack of home training,an aspect of careless activity,A
79,Which of the following does not belong to the attribute of a courageous person in the community?,diligence,inefficiency,commitment ,determination,F
80,The following provides security services to the nation except________,Army,police,SSS,NGO  ,D
81,In the united states of America  the organ that makes laws is called the___________,congress,parliament,national assembly,none of the above,A
82,When the national flag is flown at half mast  it is a sign of _________,national education,national mourning,national consciousness ,Nigerian independence ,B
83,A disciplined child is a ____ in his or her society,great wealth,priceless gem,reject,princess,B
84,One of the attributes of contentment is  ____________,satisfaction,envy,greed,corruption,A
85,Various products at competitive prices make buyers to _________,shy away from buying anything,have choices  ,complain of too many products ,become sales persons,B
86,The act of exercising boldness is known as  ____________,confidence ,courage ,endurance,out spoken,B
87,The arms of government which interprets the law is   _____,executive,judiciary,legislative,political parties  ,B
88,_____ means the quality of being honest and having strong moral principles,honesty,dishonesty,integrity,discipline ,C
89,All of the following promote good value system except  ______________,consistency ,trust,intolerance,commitment,C
90,A system of government where power is shared between the central and the subordinate state is called,unitary government ,federation,republican,democracy ,F
91,A Law abiding citizen is one who _______,Goes to court each day in the society,is a lawyer,keeps and obeys the rules and regulations of the society,see law books and materials.,C
92,One can benefit from being disciplined through being _____,pride to oneself or community,pride to one’s family,elevated in society or work place,all of the above,D
93,A Law abiding citizen is one who _______,Goes to court each day in the society,is a lawyer,keeps and obeys the rules and regulations of the society,see law books and materials.,C
94,Attributes of integrity include one (1) of the following ___________,truthfulness,corruption,diplomacy,bribery ,A
95,The full meaning of NDLEA is,national directorate of law enforcement,Nigeria drug agency enforcement agency, national drug law enforcement agency,national drug law equipment agency  ,C
96,The state and local government are empowered to make laws on the following except,currency ,. market   ,license ,chieftaincy ,A
97,The process of counting citizens of a country officially is called ____________,census,numbering,by election ,referendum ,A
98,Greed is one of the effects of lack of ______,contestant,commitment,confession,contentment ,F
99,One of the attributes of contentment is  ____________,satisfaction,envy,greed,corruption,A
100,Which of the following are the symbols  not recognized in Nigeria?,state religion,national flag,national coat of arm ,national anthem,A
