,question,options,answer,subject.name,category
618,The following are quadrilaterals EXCEPT___,"[""[\""square\"",\""circle \"",\""rectangle \"",\""trapezium \""]""]",circle,Mathematics,JSS1
624,How many lines symmetry has a square?,"[""[\""4    \"",\""3   \"",\""2\"",\""1\""]""]",4,Mathematics,JSS1
626,Find 3/8=9/x,"[""[\""8\"",\""24\"",\"" 21\"",\""16\""]""]",24,Mathematics,JSS2
627,Find 3/8=9/x,"[""[\""8\"",\""24\"",\"" 21\"",\""16\""]""]",24,Mathematics,JSS1
634,Factorize x^2 + x – 2,"[""[\""(x+1)(x+2)\"",\""(x+1)(x-2)\"",\"" (x-1)(x-2)\"",\""(x-1)(x+2)\""]""]",(x-1)(x-2),Mathematics,JSS1
635,Factorize x^2 + x – 2,"[""[\""(x+1)(x+2)\"",\""(x+1)(x-2)\"",\"" (x-1)(x-2)\"",\""(x-1)(x+2)\""]""]",(x-1)(x-2),Mathematics,JSS2
636,Factorize x^2 + x – 2,"[""[\""(x+1)(x+2)\"",\""(x+1)(x-2)\"",\"" (x-1)(x-2)\"",\""(x-1)(x+2)\""]""]",(x-1)(x-2),Mathematics,JSS3
637,A number is multiplied by 5 and the result is twice the number added to 2. Find the number,"[""[\""0\"",\""2⁄7 \"",\""2⁄3  \"",\""11⁄2\""]""]",(x-1)(x-2),Mathematics,JSS3
638,A number is multiplied by 5 and the result is twice the number added to 2. Find the number,"[""[\""0\"",\""2⁄7 \"",\""2⁄3  \"",\""11⁄2\""]""]",(x-1)(x-2),Mathematics,JSS2
639,A number is multiplied by 5 and the result is twice the number added to 2. Find the number,"[""[\""0\"",\""2⁄7 \"",\""2⁄3  \"",\""11⁄2\""]""]",(x-1)(x-2),Mathematics,JSS1
640,Find the co-efficient of mt in the expansion of 4m (3n-2t) + 3t (3t-2m),"[""[\""-14\"",\""-8\"",\""-6\"",\""9\""]""]",-14,Mathematics,JSS1
641,Find the co-efficient of mt in the expansion of 4m (3n-2t) + 3t (3t-2m),"[""[\""-14\"",\""-8\"",\""-6\"",\""9\""]""]",-14,Mathematics,JSS2
642,"One fourth of a certain number is removed from two-fifth of the number. If result is 3, find the number","[""[\""27\"",\""12\"",\""20\"",\""-20\""]""]",20,Mathematics,JSS2
643,"One fourth of a certain number is removed from two-fifth of the number. If result is 3, find the number","[""[\""27\"",\""12\"",\""20\"",\""-20\""]""]",20,Mathematics,JSS1
644,Evaluate (-28p)/4q of (-9rq)/7,"[""[\""-9pq\"",\""+9pr\"",\""9r\"",\""9p4    \""]""]",+9pr,Mathematics,JSS1
645,Evaluate (-28p)/4q of (-9rq)/7,"[""[\""-9pq\"",\""+9pr\"",\""9r\"",\""9p4    \""]""]",+9pr,Mathematics,JSS2
646,Solve the inequality 3x – 1 ≤3-2x,"[""[\""x\u003c4/5\"",\""x ≥  4/5\"",\""x ≤  2/5  \"",\""x≤4/5\""]""]",x≤4/5,Mathematics,JSS2
647,Solve the inequality 3x – 1 ≤3-2x,"[""[\""x\u003c4/5\"",\""x ≥  4/5\"",\""x ≤  2/5  \"",\""x≤4/5\""]""]",x≤4/5,Mathematics,JSS3
648,Solve the equation x/3 +x/2  = 5/2,"[""[\""-3\"",\""1/2\"",\""2\"",\""3\""]""]",1/2,Mathematics,JSS2
649,Solve the equation x/3 +x/2  = 5/2,"[""[\""-3\"",\""1/2\"",\""2\"",\""3\""]""]",1/2,Mathematics,JSS1
650,The sum of a certain number and 16 is 42 what is the number?,"[""[\""20\"",\""22\"",\""24\"",\""26\""]""]",26,Mathematics,JSS1
651,The sum of a certain number and 16 is 42 what is the number?,"[""[\""20\"",\""22\"",\""24\"",\""26\""]""]",26,Mathematics,JSS2
652,"When 40 is divided by the product of k and 2, the result is 5. Find k","[""[\""-4 \"",\""3\"",\""4\"",\""5\""]""]",4,Mathematics,JSS2
653,"When 40 is divided by the product of k and 2, the result is 5. Find k","[""[\""-4 \"",\""3\"",\""4\"",\""5\""]""]",4,Mathematics,JSS3
654,Factorize 10mn + 10mn^2,"[""[\""10m(n+1)\"",\""10(10+n)\"",\""10m (n-1)\"",\""10mn(1+n)\""]""]",10mn(1+n),Mathematics,JSS3
655,Factorize 10mn + 10mn^2,"[""[\""10m(n+1)\"",\""10(10+n)\"",\""10m (n-1)\"",\""10mn(1+n)\""]""]",10mn(1+n),Mathematics,JSS2
656,"Evaluate (2p-3q)/5R  given that p=2, q=-2 and R=1","[""[\""- 2/5\"",\""2/5\"",\""1\"",\""2\""]""]",10mn(1+n),Mathematics,JSS2
657,"Evaluate (2p-3q)/5R  given that p=2, q=-2 and R=1","[""[\""- 2/5\"",\""2/5\"",\""1\"",\""2\""]""]",10mn(1+n),Mathematics,JSS1
658,Solve the equation 2x+1=9,"[""[\""3\"",\""4\"",\""6\"",\""8\""]""]",4,Mathematics,JSS1
659,Solve the equation 2x+1=9,"[""[\""3\"",\""4\"",\""6\"",\""8\""]""]",4,Mathematics,JSS2
823,The following are properties of an equilateral triangle EXCEPT _____,"[""[\""all three sides are equal\"",\""has three lines of symmetry\"",\""all three angles are equal \"",null]""]",has three lines of symmetry,Mathematics,JSS2
824,The following are properties of an equilateral triangle EXCEPT _____,"[""[\""all three sides are equal\"",\""has three lines of symmetry\"",\""all three angles are equal \"",null]""]",has three lines of symmetry,Mathematics,JSS1
833,A travel graph give a ____ after plotting,"[""[\""curve\"",\""straight line\"",\""cone like shape\"",null]""]",curve,Mathematics,JSS1
834,A travel graph give a ____ after plotting,"[""[\""curve\"",\""straight line\"",\""cone like shape\"",null]""]",curve,Mathematics,JSS2
853,"A car travels from Lagos to Ibadan, at a distance of 120km/h. If the car uses a 4hours in the journey, calculate the average speed of the journey?","[""[\""13km/h\"",\""40km/h\"",\""12km\"",\""45km/h\""]""]",40km/h,Mathematics,JSS2
854,"A car travels from Lagos to Ibadan, at a distance of 120km/h. If the car uses a 4hours in the journey, calculate the average speed of the journey?","[""[\""13km/h\"",\""40km/h\"",\""12km\"",\""45km/h\""]""]",40km/h,Mathematics,JSS1
912,"The following set of scores were obtained in a class test as follows; 8, 6, 9, and 7. Find the mean","[""[\""7.5\"",\""3.5\"",\""4.5\"",\""6.5\""]""]",7.5,Mathematics,JSS1
913,"The following set of scores were obtained in a class test as follows; 8, 6, 9, and 7. Find the mean","[""[\""7.5\"",\""3.5\"",\""4.5\"",\""6.5\""]""]",7.5,Mathematics,JSS2
923,Simplify 6xy + 3y - xy + 2y,"[""[\""5xy + 5y\"",\""6xy + 2y\"",\""9xy + y\"",\""4xy + 6y\""]""]",7.5,Mathematics,JSS2
924,Simplify 6xy + 3y - xy + 2y,"[""[\""5xy + 5y\"",\""6xy + 2y\"",\""9xy + y\"",\""4xy + 6y\""]""]",7.5,Mathematics,JSS1
946,"I think of a number, I multiply it by 9, the result is 81 . Find the number","[""[\""12\"",\""16\"",\""8\"",\""9\""]""]",9,Mathematics,JSS1
947,"I think of a number, I multiply it by 9, the result is 81 . Find the number","[""[\""12\"",\""16\"",\""8\"",\""9\""]""]",9,Mathematics,JSS2
952,"A piece of land was sold for N250,000 by an agent who charged 5% of the cost of the land. Find the owner’s amount","[""[\""N237,500\"",\""N238,500\"",\""N239,400\"",\""N239,000\""]""]","N237,500",Mathematics,JSS2
953,"A piece of land was sold for N250,000 by an agent who charged 5% of the cost of the land. Find the owner’s amount","[""[\""N237,500\"",\""N238,500\"",\""N239,400\"",\""N239,000\""]""]","N237,500",Mathematics,JSS1
962,Solve the question 2x + 1 =9,"[""[\""0\"",\""3\"",\""4\"",\""1\""]""]",4,Mathematics,JSS1
967,Solve the question 2x + 1 =9,"[""[\""0\"",\""3\"",\""4\"",\""1\""]""]",4,Mathematics,JSS2
974,______ is used for measuring angles,"[""[\""Protractor\"",\""Ruler\"",\""Compass\"",\""Pencil\""]""]",Protractor,Mathematics,JSS2
975,______ is used for measuring angles,"[""[\""Protractor\"",\""Ruler\"",\""Compass\"",\""Pencil\""]""]",Protractor,Mathematics,JSS1
981,The following are ways of presenting statistical data except  ______,"[""[\""Binary\"",\""Bar Chart\"",\""Pie chart\"",\""Pictogram\""]""]",Protractor,Mathematics,JSS1
983,The following are ways of presenting statistical data except  ______,"[""[\""Binary\"",\""Bar Chart\"",\""Pie chart\"",\""Pictogram\""]""]",Protractor,Mathematics,JSS2
989,A circular representation of data is called _______,"[""[\""Pie chart\"",\""Bar Chart\"",\""Pictogram\"",\""None of the above.\""]""]",Protractor,Mathematics,JSS2
990,A circular representation of data is called _______,"[""[\""Pie chart\"",\""Bar Chart\"",\""Pictogram\"",\""None of the above.\""]""]",Protractor,Mathematics,JSS1
1006,"Write 66, 500, 005 in words","[""[\""Sixty six billion five hundred and five\"",\""Sixty six million five hundred thousand and five\"",\""Sixty six trillion five hundred and five\"",\""Sixty six thousand five hundred and five\""]""]",Sixty six million five hundred thousand and five,Mathematics,JSS1
1007,"Write 66, 500, 005 in words","[""[\""Sixty six billion five hundred and five\"",\""Sixty six million five hundred thousand and five\"",\""Sixty six trillion five hundred and five\"",\""Sixty six thousand five hundred and five\""]""]",Sixty six million five hundred thousand and five,Mathematics,JSS2
1017,What is the place value of 8 in 7.82,"[""[\""Tens\"",\""Hundred\"",\""Tenths \"",\""Hundredths\""]""]",Tenths,Mathematics,JSS2
1018,What is the place value of 8 in 7.82,"[""[\""Tens\"",\""Hundred\"",\""Tenths \"",\""Hundredths\""]""]",Tenths,Mathematics,JSS1
1023,Reduce  24/ 60 to a fraction in its lowest term,"[""[\""3/5\"",\""1/2 \"",\""2/5\"",\""5/2\""]""]",Tenths,Mathematics,JSS1
1024,Reduce  24/ 60 to a fraction in its lowest term,"[""[\""3/5\"",\""1/2 \"",\""2/5\"",\""5/2\""]""]",Tenths,Mathematics,JSS2
1031,Find the HCF of 12 and 24,"[""[\""12\"",\""80 \"",\""18\"",\""19\""]""]",12,Mathematics,JSS2
1032,Find the HCF of 12 and 24,"[""[\""12\"",\""80 \"",\""18\"",\""19\""]""]",12,Mathematics,JSS1
1056,Simplify 2x + 3x + x - 4x,"[""[\""2x\"",\""6x\"",\""5x \"",\""3x\""]""]",2x,Mathematics,JSS1
1058,Simplify 2x + 3x + x - 4x,"[""[\""2x\"",\""6x\"",\""5x \"",\""3x\""]""]",2x,Mathematics,JSS3
1074,Four less than a number is 20 find the number,"[""[\""-16\"",\""16\"",\""24\"",\""-24\""]""]",16,Mathematics,JSS1
1080,Mr. Abioye has N17 in bank. How much does he need to buy a shirt that cost N33?,"[""[\""N16 \"",\""N50\"",\""N51\"",\""N17\""]""]",N16,Mathematics,JSS1
1084,The area of a square is 100cm^2. Find the length of a side.,"[""[\""7\"",\""8\"",\""11\"",\""10\""]""]",10,Mathematics,JSS1
1092,A cube has an edge of 12cm in length. What is its surface area in cm^2?,"[""[\""634\"",\""364\"",\""543\"",\""864\""]""]",364,Mathematics,JSS1
1094,A cube has an edge of 12cm in length. What is its surface area in cm^2?,"[""[\""634\"",\""364\"",\""543\"",\""864\""]""]",364,Mathematics,JSS3
1100,"In a flying race, the second leg is twice as long as the first leg. If the total distance for both leg is 297km, how long is the first leg of the race?","[""[\""92\"",\""62 \"",\""99\"",\""84\""]""]",99,Mathematics,JSS1
1126,Find the HCF of 9x^2 and 27xy^2,"[""[\""9xy\"",\""9x\"",\""3x^2\"",\""3x\""]""]",9x,Mathematics,JSS3
1134,P varies directly with T and p = 105 when T=400. Find p when T= 500,"[""[\""1.5x10^3 \"",\""1.5x10^4 \"",\""1.25x10^5 \"",\""1.25x10^4 \""]""]",1.25x10^5,Mathematics,JSS3
1149,"Dayo and Dumi share a certain amount in the ratio 2:3 respectively. If Dayo's share is N120, find the amount shared","[""[\""N180\"",\""N300\"",\""N450\"",\""N500\""]""]",N180,Mathematics,JSS3
1152,Cuboid has ______ vertices,"[""[\""2\"",\""4\"",\""6\"",\""8\""]""]",6,Mathematics,JSS3
1163,There are 6 red balls and 7 white balls in a basket. What is the probability of picking red ball?,"[""[\""1\"",\""13/6\"",\""6/13\"",\""7/13\""]""]",6,Mathematics,JSS3
1171,Expand -2a(5b-3),"[""[\""-10ab+6a\"",\""10ab-6a\"",\""6a-10ab\"",\""-10ab-6a\""]""]",-10ab+6a,Mathematics,JSS3
1194,Y> -2 implies that,"[""[\""Y is greater than or equal -2\"",\""-2 is less than Y\"",\""Y is less than -2\"",\""Y is less than or equal to -2 \""]""]",-10ab+6a,Mathematics,JSS3
1218,Find the compound interest on N800.00 at 4% for 2 years,"[""[\""N3,200.00\"",\""N865.28\"",\""N864.00\"",\""N65.28\""]""]",N65.28,Mathematics,JSS3
1236,Given that 2m+n=5 and m+2n=4.find the value of m,"[""[\""-2\"",\""1\"",\""2\"",\""4\""]""]",2,Mathematics,JSS3
1248,Express 144 eight in base ten,"[""[\""120\"",\""116\"",\""100\"",\""96\""]""]",96,Mathematics,JSS3
1254,Factorize x2+2x-24,"[""[\""(x+6)(x-4)\"",\""(x-6)(x-1)\"",\""(x+2)(x-12)\"",\""(x+5)(x-2)\""]""]",(x+6)(x-4),Mathematics,JSS3
1266,Factorize X2 + X + 2X + 2,"[""[\""(x + 1) (x + 2)\"",\""(x – 1) (x – 2)\"",\""(x + 4) (x + 1)\"",\""(x – 2)\""]""]",(x+6)(x-4),Mathematics,JSS3
1278,"Find the product of the mean and median of the following set of numbers 4, 5, 6, 6, 7, 6, 1","[""[\""20\"",\""30\"",\""40\"",\""50\""]""]",30,Mathematics,JSS3
1290,Find the co-efficient of x in the expression (x-9) (x+2),"[""[\""-11\"",\""-9\"",\""-7\"",\""7\""]""]",-7,Mathematics,JSS3
1303,"When k = 9, what is the value of 2k – 5?","[""[\""6\"",\""10\"",\""13\"",\""22\""]""]",-7,Mathematics,JSS3
1318,Express 0.009238 to 3 (s.f),"[""[\""0.009\"",\""0.00923\"",\""0.00924\"",\""0.923\""]""]",0.009,Mathematics,JSS3
1324,"There are 180 girls in a mixed school. If the ratio of girls to boys is 3:4, the total number of students in the school is ______","[""[\""405\"",\""420\"",\""430\"",\""520\""]""]",420,Mathematics,JSS3
1330,Express 3.4176 in 3 significant figures,"[""[\""3.41\"",\""3.42\"",\""3.51\"",\""3.40\""]""]",420,Mathematics,JSS3
1341,Write 999 in Roman numerals,"[""[\""CMIXIX\"",\""CMXCIX\"",\""CMCXIX\"",\""XCIXIX\""]""]",420,Mathematics,JSS3
1354,"A cube has _____ edges, _____ vertices and _____ faces.","[""[\""6, 13, 12\"",\""12, 8, 6\"",\""8, 6 , 6 \"",\""12,  4  , 8\""]""]","8, 6 , 6",Mathematics,JSS3
1364,Remove the bracket and simplify   4 (y- 3) + 2(2y - 7),"[""[\""12y + 26\"",\""8y - 11 \"",\""8y - 26\"",\""6y +  26\""]""]","8, 6 , 6",Mathematics,JSS3
1375,Simplify  1/ 4  (4m + 8n),"[""[\""m - n\"",\""m - 2n\"",\""m + 2n\"",\""m + n\""]""]","8, 6 , 6",Mathematics,JSS3
1380,Simplify V + F - E for a cube,"[""[\""3\"",\""6\"",\""1\"",\""2\""]""]",6,Mathematics,JSS3
1386,Express 5230cm in litres,"[""[\""5.03\"",\""5.83\"",\""5.23\"",\""5.00\""]""]",5.23,Mathematics,JSS3
1396,"I am an integer, if 21 is added to me , the result is -5. What value is the integer?","[""[\""-26\"",\""+26\"",\""16\"",\""-16\""]""]",-26,Mathematics,JSS3
1397,Simplify DCC + CDV,"[""[\""MMCV\"",\""MCV\"",\""CMXIV\"",\""MMC\""]""]",CMXIV,Mathematics,JSS3
1410,"Facts and information obtained from Journals , newspaper, magazine etc are called ____ data","[""[\""Primary\"",\""Secondary \"",\""Event \"",\""Probability\""]""]",Primary,Mathematics,JSS3
