,question,options,answer,subject.name,category
3141,"According to the 2006 census, which state is the most populous in Nigeria?","[""[\""Kano\"",\""Kaduna\"",\""Lagos\"",\""Oyo\""]""]",Kano,Summer 2022 Quiz,JSS2
3142,"According to the 2006 census, which state is the most populous in Nigeria?","[""[\""Kano\"",\""Kaduna\"",\""Lagos\"",\""Oyo\""]""]",Kano,Summer 2022 Quiz,JSS3
3143,General Murtala Muhammad was assassinated in a coup led by,"[""[\""Col. Joe Garba\"",\""Lt. Col. Kaduna Nzeogwu\"",\""Major Gideon Orkar\"",\""Lt. Col. B.S. Dimka\""]""]",Lt. Col. B.S. Dimka,Summer 2022 Quiz,JSS3
3144,Who is the first female president in Africa?,"[""[\""Chief (Mrs) Funmilayo Kuti\"",\""Mrs. Ellen Johnson Sirleaf\"",\""Hon. Olubunmi Ette\"",\"" Dr. (Mrs) Ngozi Eweala\""]""]",Mrs. Ellen Johnson Sirleaf,Summer 2022 Quiz,JSS2
3145,Which was the general purpose currency in pre-colonial Nigeria?,"[""[\""salt\"",\""cloth\"",\""cowry\"",\""copper\""]""]",cowry,Summer 2022 Quiz,JSS1
3146,An example of confluence town in Nigeria is ________,"[""[\"" Onitsha\"",\""Obudu\"",\""Lokoja\"",\""Port Harcourt\""]""]",Lokoja,Summer 2022 Quiz,JSS1
3147,An example of confluence town in Nigeria is ________,"[""[\"" Onitsha\"",\""Obudu\"",\""Lokoja\"",\""Port Harcourt\""]""]",Lokoja,Summer 2022 Quiz,JSS2
3148,The body charged with the responsibility of regulating and protecting consumers against illicit foods and drugs in Nigeria,"[""[\""Consumer protection council\"",\"" Standard Organization of Nigeria\"",\"" Standard Organization of Nigeria\"",\""National Agency for Food, Drug Administration and Control\""]""]","National Agency for Food, Drug Administration and Control",Summer 2022 Quiz,JSS2
3149,The body charged with the responsibility of regulating and protecting consumers against illicit foods and drugs in Nigeria,"[""[\""Consumer protection council\"",\"" Standard Organization of Nigeria\"",\"" Standard Organization of Nigeria\"",\""National Agency for Food, Drug Administration and Control\""]""]","National Agency for Food, Drug Administration and Control",Summer 2022 Quiz,JSS3
3150,President Barrack Obama is the _______ president of the United States of America and first African-American president of U.S.,"[""[\""35th\"",\""44th\"",\""40th\"",\""39th\""]""]",44th,Summer 2022 Quiz,JSS3
3151,In which country is Mississippi river?,"[""[\"" USA\"",\""Argentina\"",\""Brazil\"",\""Canada\""]""]",USA,Summer 2022 Quiz,JSS3
3152,In Nigeria democracy day is marked on?,"[""[\"" June 12\"",\"" May 29\"",\""June 29\"",\"" May 27\""]""]",USA,Summer 2022 Quiz,JSS3
3153,Which is the odd one out among the following?,"[""[\""African National Congress\"",\"" Social Democratic Party\"",\""National Republican Convention\"",\""All Peoples Party\""]""]",USA,Summer 2022 Quiz,JSS3
3154,GSM telephony was introduced into Nigeria communication system during the regime of,"[""[\""Ibrahim Babangida\"",\""Olusegun Obasanjo\"",\""Umaru Yar'adua\"",\""Goodluck Jonathan\""]""]",Olusegun Obasanjo,Summer 2022 Quiz,JSS3
3155,The largest continent on earth is _______,"[""[\""Africa\"",\""Australia\"",\""North America\"",\""Asia\""]""]",Asia,Summer 2022 Quiz,JSS3
3156,Headquarters of NYSC is at ______,"[""[\""Abuja\"",\""Aba\"",\""Kano\"",\""Lagos\""]""]",Abuja,Summer 2022 Quiz,JSS3
3157,Nigeria has _______ geo-political zones.,"[""[\""5\"",\""6\"",\""7\"",\""10\""]""]",6,Summer 2022 Quiz,JSS3
3158,The International organization responsible for taking care of the injured is known as ______,"[""[\""Red Cross Society\"",\""UNESCO\"",\""World Bank\"",\""Man O' War\""]""]",Red Cross Society,Summer 2022 Quiz,JSS3
3159,The International organization responsible for taking care of the injured is known as ______,"[""[\""Red Cross Society\"",\""UNESCO\"",\""World Bank\"",\""Man O' War\""]""]",Red Cross Society,Summer 2022 Quiz,JSS2
3160,The International organization responsible for taking care of the injured is known as ______,"[""[\""Red Cross Society\"",\""UNESCO\"",\""World Bank\"",\""Man O' War\""]""]",Red Cross Society,Summer 2022 Quiz,JSS1
3161,The capital of Kastina State is ______,"[""[\""Kastina\"",\""Gusau\"",\""Dutse\"",\""Ilorin\""]""]",Red Cross Society,Summer 2022 Quiz,JSS1
3162,The capital of Kastina State is ______,"[""[\""Kastina\"",\""Gusau\"",\""Dutse\"",\""Ilorin\""]""]",Red Cross Society,Summer 2022 Quiz,JSS2
3163,The capital of Kastina State is ______,"[""[\""Kastina\"",\""Gusau\"",\""Dutse\"",\""Ilorin\""]""]",Red Cross Society,Summer 2022 Quiz,JSS3
3164,The capital of Benin Republic is,"[""[\""Kinshasa\"",\""Algeria\"",\""Niamey\"",\""Port Novo\""]""]",Port Novo,Summer 2022 Quiz,JSS3
3165,Which of the following is owned by the Federal government?,"[""[\""Union Bank Nigeria Plc\"",\"" UBA Plc\"",\""Central Bank of Nigeria\"",\""Progress Bank Nigeria Plc\""]""]",Central Bank of Nigeria,Summer 2022 Quiz,JSS3
3166,Which of the following is owned by the Federal government?,"[""[\""Union Bank Nigeria Plc\"",\"" UBA Plc\"",\""Central Bank of Nigeria\"",\""Progress Bank Nigeria Plc\""]""]",Central Bank of Nigeria,Summer 2022 Quiz,JSS3
3167,The Nigerian flag has how many colour(s)?,"[""[\""3\"",\""1\"",\""4\"",\""2\""]""]",2,Summer 2022 Quiz,JSS3
3168,The Nigerian flag has how many colour(s)?,"[""[\""3\"",\""1\"",\""4\"",\""2\""]""]",2,Summer 2022 Quiz,JSS2
3169,The Nigerian flag has how many colour(s)?,"[""[\""3\"",\""1\"",\""4\"",\""2\""]""]",2,Summer 2022 Quiz,JSS1
3170,The Nigeria flag was designed by _________,"[""[\""Akinkunmi Alabi\"",\""Kola Olawuyi\"",\""Taiwo Akinkunmi\"",\"" Tai Solarin\""]""]",Taiwo Akinkunmi,Summer 2022 Quiz,JSS3
3171,"On the Nigeria's Coat of Arm, the black shield stands for","[""[\"" Fertile soil\"",\""Strength\"",\""Honour\"",\"" Dignity\""]""]",Fertile soil,Summer 2022 Quiz,JSS3
3172,Which of the following organization performs FIRST AID activities?,"[""[\""WHO\"",\""UNESCC\"",\""NAFDAC\"",\""REDCROSS\""]""]",REDCROSS,Summer 2022 Quiz,JSS3
3173,Which of the following organization performs FIRST AID activities?,"[""[\""WHO\"",\""UNESCC\"",\""NAFDAC\"",\""REDCROSS\""]""]",REDCROSS,Summer 2022 Quiz,JSS1
3174,Which of the following organization performs FIRST AID activities?,"[""[\""WHO\"",\""UNESCC\"",\""NAFDAC\"",\""REDCROSS\""]""]",REDCROSS,Summer 2022 Quiz,JSS2
3175,The highest court in Nigeria is the,"[""[\"" Federal High Court\"",\""Supreme Court\"",\""Federal Court\"",\""Sharia Court\""]""]",Supreme Court,Summer 2022 Quiz,JSS2
3176,The highest court in Nigeria is the,"[""[\"" Federal High Court\"",\""Supreme Court\"",\""Federal Court\"",\""Sharia Court\""]""]",Supreme Court,Summer 2022 Quiz,JSS3
3177,Naira is to Nigeria as ______ is to India,"[""[\""Yen\"",\""France\"",\""Rupee\"",\""Dupee\""]""]",Rupee,Summer 2022 Quiz,JSS3
3178,The most wide spread traditional occupation in Nigeria is,"[""[\""farming\"",\""blacksmithing\"",\""weaving\"",\""driving\""]""]",36,Summer 2022 Quiz,JSS2
3179,Which of these is NOT a symbol of the nation?,"[""[\""coat of arms\"",\""the pledge\"",\""Aso Rock\"",\""National flag\""]""]",Aso Rock,Summer 2022 Quiz,JSS2
3180,The longest river in Nigeria is river,"[""[\""Benue\"",\""Hadejia\"",\""Niger\"",\""Osun\""]""]",Aso Rock,Summer 2022 Quiz,JSS2
3181,All these are capitals of states except,"[""[\""Umuahia\"",\""Asaba\"",\""Birnin Kebbi\"",\""Okenne\""]""]",Okenne,Summer 2022 Quiz,JSS2
3182,The first female to drive a car in Nigeria is,"[""[\""Mrs. Olufunmilayo Ransome Kuti\"",\""Mrs. Bolanle Awe\"",\""Mrs. Mary Herbert\"",\""None of the above\""]""]",Mrs. Olufunmilayo Ransome Kuti,Summer 2022 Quiz,JSS2
3183,The largest bird in the world is ________,"[""[\""Vulture\"",\""Eagle\"",\""Ostrich\"",\""Swan\""]""]",Ostrich,Summer 2022 Quiz,JSS2
3184,"The full meaning of the acronym ""GSM"" is","[""[\""Global System Mobile\"",\""General System Mobile Communication\"",\""Global system of Mobile communication\"",\""General System Mobile\""]""]",Ostrich,Summer 2022 Quiz,JSS2
3185,"The full meaning of the acronym ""GSM"" is","[""[\""Global System Mobile\"",\""General System Mobile Communication\"",\""Global system of Mobile communication\"",\""General System Mobile\""]""]",Ostrich,Summer 2022 Quiz,JSS1
3186,The Green and White colours in Nigeria Flag symbolize,"[""[\""Agriculture and Finance\"",\""Peace and Prosperity\"",\""Agriculture and Transparency\"",\""Agriculture and peace\""]""]",Agriculture and peace,Summer 2022 Quiz,JSS1
3187,The Green and White colours in Nigeria Flag symbolize,"[""[\""Agriculture and Finance\"",\""Peace and Prosperity\"",\""Agriculture and Transparency\"",\""Agriculture and peace\""]""]",Agriculture and peace,Summer 2022 Quiz,JSS2
3188,What is the meaning of CBT?,"[""[\""Computer Basic Technology\"",\"" Computer Basic Test\"",\"" Computer Based Test\"",\""All of the above\""]""]",Computer Based Test,Summer 2022 Quiz,JSS2
3189,What is the meaning of CBT?,"[""[\""Computer Basic Technology\"",\"" Computer Basic Test\"",\"" Computer Based Test\"",\""All of the above\""]""]",Computer Based Test,Summer 2022 Quiz,JSS1
3190,The acronym SARS means ______,"[""[\""Special Anti-Robbery Squad\"",\"" Special Autorobbery Squad\"",\""Special Anti-Robbers Squad\"",\""Special Automated Squad\""]""]",Special Anti-Robbery Squad,Summer 2022 Quiz,JSS1
3191,The acronym SARS means ______,"[""[\""Special Anti-Robbery Squad\"",\"" Special Autorobbery Squad\"",\""Special Anti-Robbers Squad\"",\""Special Automated Squad\""]""]",Special Anti-Robbery Squad,Summer 2022 Quiz,JSS2
3192,What ethic group in Nigeria is known for cattle rearing/farming?,"[""[\""Yoruba\"",\""Igbo\"",\""Fulani\"",\""Hausa\""]""]",Fulani,Summer 2022 Quiz,JSS2
3193,What ethic group in Nigeria is known for cattle rearing/farming?,"[""[\""Yoruba\"",\""Igbo\"",\""Fulani\"",\""Hausa\""]""]",Fulani,Summer 2022 Quiz,JSS1
3194,Television appeals to senses of ______ and seeing.,"[""[\""Hearing\"",\""Booking\"",\""Knocking\"",\""Hissing\""]""]",Hearing,Summer 2022 Quiz,JSS1
3195,Television appeals to senses of ______ and seeing.,"[""[\""Hearing\"",\""Booking\"",\""Knocking\"",\""Hissing\""]""]",Hearing,Summer 2022 Quiz,JSS2
3196,_______ is the fastest way of getting information to millions of people at the same time.,"[""[\""Newspaper\"",\""Radio\"",\""Television\"",\""Town crier\""]""]",Radio,Summer 2022 Quiz,JSS2
3197,_______ is the fastest way of getting information to millions of people at the same time.,"[""[\""Newspaper\"",\""Radio\"",\""Television\"",\""Town crier\""]""]",Radio,Summer 2022 Quiz,JSS1
3198,_______ is/are usually found along major roads to advertise products.,"[""[\"" Handbills\"",\""Newspaper\"",\"" Bill boards\"",\""Television\""]""]",Bill boards,Summer 2022 Quiz,JSS1
3199,Which of these will be served as a snack?,"[""[\""Fried rice\"",\""Bean soup\"",\""Amala\"",\""Egg roll\""]""]",Egg roll,Summer 2022 Quiz,JSS1
3200,The art of doing what you are asked to do is called _______,"[""[\""Listening\"",\""Teachers\"",\""Obedience\"",\""Complaining\""]""]",Obedience,Summer 2022 Quiz,JSS1
3201,______ is the capital of Yobe state,"[""[\""Maiduguri\"",\""Kaduna\"",\""Damaturu\"",\""Yola\""]""]",Obedience,Summer 2022 Quiz,JSS1
3202,The longest river in the world is the,"[""[\""Niger\"",\""Nile\"",\""Orange\"",\""Mississippi\""]""]",Nile,Summer 2022 Quiz,JSS1
3203,ETF stands for,"[""[\"" Educational Trust Fund\"",\""Education Trust Fund\"",\""Education Total Fund\"",\""Economics Trust Fund\""]""]",Nile,Summer 2022 Quiz,JSS1
3204,In some countries drug trafficking is punished by the offender being,"[""[\""hanged\"",\""hung\"",\""shaken\"",\""shook\""]""]",hanged,Summer 2022 Quiz,JSS1
3205,In which of the following towns can we find the Cocoa House?,"[""[\""Kano\"",\""Ife\"",\""Onitsha\"",\""Ibadan\""]""]",Ibadan,Summer 2022 Quiz,JSS1
