,question,options,answer,subject.name,category
1301,Which of the following subjects brings all experience of society together by way of interrelationship?,"[""[\""Business studies\"",\""Geography\"",\""Social studies\"",\""History\""]""]",Social studies,Social Studies,JSS2
1308,The two types of environment are,"[""[\""Physical and social\"",\""Physical and spiritual\"",\""Physical and social life\"",\""Physical and religion\""]""]",Physical and social,Social Studies,JSS2
1319,The court marriage is also know as,"[""[\""Authorised marriage\"",\""Ordinance marriage\"",\""Illegal marriage\"",\""Legal marriage\""]""]",Legal marriage,Social Studies,JSS2
1327,Who among these conducts the court marriage,"[""[\""Senor local government\"",\""Imam\"",\""Pastor\"",\""Vicar\""]""]",Senor local government,Social Studies,JSS2
1334,Using overdose of prescribed drugs is another form of,"[""[\""Drug trafficking\"",\""Drug hawking\"",\""All of the above\"",\""Drug abuse\""]""]",Drug abuse,Social Studies,JSS2
1348,One of the ways of preventing drug trafficking is by,"[""[\""Giving money to the youth\"",\""Giving cans to people\"",\""Government should come up with programmes that can eradicate unemployment in the society\"",\""Giving the youth an handshake\""]""]",Government should come up with programmes that can eradicate unemployment in the society,Social Studies,JSS2
1374,What is the acronym of ICPC,"[""[\""Independence corrupt practices and other related offences commission\"",\""Independence corrupt practices and other related offences\"",\""Independent corruption practices and other related offences commission\"",\""Independent corrupt practices and other related offenders\""]""]",Independence corrupt practices and other related offences commission,Social Studies,JSS2
1381,_____ is when you need to give something before you get either what is due to you,"[""[\""Contract inflation\"",\""Embezzlement\"",\""Bribery\"",\""Kickbacks\""]""]",Bribery,Social Studies,JSS2
1391,Drugs that can be produced sold and used legally when we are ill are called,"[""[\""Licit drugs\"",\""Illicit drugs\"",\""Illegal drugs\"",\""Common drugs\""]""]",Licit drugs,Social Studies,JSS2
1403,Social studies indicates the right types of ______ in us,"[""[\""Values\"",\""Danger\"",\""A\u0026B\"",\""None of the above\""]""]",Values,Social Studies,JSS2
1413,"If a woman or man marries outside his or her group, the marriage is _____","[""[\""An illegal marriage\"",\""An exogamous marriage\"",\""An endogamous marriage\"",\""Null and Void\""]""]",An exogamous marriage,Social Studies,JSS2
1420,You will marry when you are of age because of ______,"[""[\""Procreation\"",\""Companionship\"",\""Continuation of the family lineage\"",\""All of the above\""]""]",All of the above,Social Studies,JSS2
1429,One of the following is not what a good citizen should do,"[""[\""Pay his rates and taxes demanded by government\"",\""Obeys constituted authority\"",\""Shun bad behaviour\"",\""Contribute to vandalism and destruction of the country\""]""]",All of the above,Social Studies,JSS2
1435,"When people notice that you have the right type of valued and attitudes, they see you as______","[""[\""Uncivilised\"",\""Civilised\"",\""Impolite\"",\""Ill mannered\""]""]",Civilised,Social Studies,JSS2
1445,National youth corps members are_____,"[""[\""Serving their selfish interest\"",\""Serving their father\"",\""Serving their fatherland\"",\""Serving the states where they come from\""]""]",Serving their fatherland,Social Studies,JSS2
1454,Which is not one of the advantages of living together in a family,"[""[\""Adam \u0026 Eve\"",\""Good social behaviour\"",\""Togetherness\"",\""Friendship\""]""]",Adam & Eve,Social Studies,JSS2
1460,Families that live together are usually _____ in the society,"[""[\""Rejected\"",\""Respected\"",\""Inculcated\"",\""Avoided\""]""]",Respected,Social Studies,JSS2
1475,The study of man in a relation to his environment is a primary concern of ______,"[""[\""Business studies\"",\""Christian religion study\"",\""Islamic studies\"",\""Social studies\""]""]",Social studies,Social Studies,JSS3
1478,A social studies as a discipline originated from,"[""[\""America\"",\""China\"",\""Egypt\"",\""Nigeria\""]""]",America,Social Studies,JSS3
1486,The following are functions of studies except,"[""[\""Enables us to understand our culture\"",\""Encourages our participation in social and civic duties\"",\""Helps us to understands our environment\"",\""Makes us to know how to fight our enemies\""]""]",Makes us to know how to fight our enemies,Social Studies,JSS3
1489,The following are methods of teaching social studies except,"[""[\""Discussion\"",\""Excursion\"",\""Filtration\"",\""Yoruba's\""]""]",Filtration,Social Studies,JSS3
1497,White and black cloth is a cultural dress of the,"[""[\""Fulani's\"",\""Tiv's\"",\""Hausas\"",\""Igbo's\""]""]",Tiv's,Social Studies,JSS3
1500,The following are environmental problem except,"[""[\""Cloud\"",\""Drought\"",\""Erosion\"",\""Pollution\""]""]",Cloud,Social Studies,JSS3
1503,Which of the following is not a feature of natural environment?,"[""[\""Hills\"",\""Hospital\"",\""Valley\"",\""Rivers\""]""]",Hospital,Social Studies,JSS3
1508,Fulani's are mostly,"[""[\""Carpenter\"",\""Cattle rearers\"",\""Fishermen\"",\""Hawkers\""]""]",Hospital,Social Studies,JSS3
1512,Conflicts can be resolved by the following except,"[""[\""Adjudication\"",\""Appointing an intermediary\"",\""Propaganda\"",\""Dialogue\""]""]",Propaganda,Social Studies,JSS3
1517,The following are conflict resolution except,"[""[\""Hatred\"",\""Tolerance\"",\""Negotiation\"",\""Meditation\""]""]",Hatred,Social Studies,JSS3
1522,Social studies can be best define as the,"[""[\""Comprehensive study of man in his total environment\"",\""Study of earth as the home man\"",\""Study of man and his physical environment\"",\""Study of man and nine planets\""]""]",Hatred,Social Studies,JSS3
1525,The selling and buying of drugs and substances illegally is called,"[""[\""Drugs abuse\"",\""Drug trafficking\"",\""Heroine\"",\""Substance intoxication\""]""]",Drug trafficking,Social Studies,JSS3
1529,"The family that consist of brother, sister and relatives with their wives and children living together is called _____ family","[""[\""Compound\"",\""Extended\"",\""Native\"",\""Village\""]""]",Drug trafficking,Social Studies,JSS3
1532,A good citizen should exhibit all the following except,"[""[\""Honest\"",\""Integrity\"",\""Selfishness\"",\""Tolerance\""]""]",Selfishness,Social Studies,JSS3
1535,Which of the following is not a reason for trafficking drugs,"[""[\""Fame\"",\""Rudeness\"",\""Peer influence\"",\""Ignorance\""]""]",Rudeness,Social Studies,JSS3
1541,EFCC is a government agency that fights,"[""[\""Child abuse\"",\""Drug abuse and trafficking\"",\""Corruption\"",\""Political thug's\""]""]",Corruption,Social Studies,JSS3
1545,Conflicts is when there is ______ except,"[""[\""Disagreement between two or more people\"",\""Absence of peace\"",\""Grievances between people\"",\""Understanding between people\""]""]",Understanding between people,Social Studies,JSS3
1549,Interpersonal conflicts can be resolved by the following except,"[""[\""Adjudication\"",\""Appointing an intermediary\"",\""Peaceful resolution\"",\""Propaganda\""]""]",Understanding between people,Social Studies,JSS3
1551,A male child of one's uncle is called,"[""[\""Nephew\"",\""Cousin\"",\""Niece\"",\""Daughter\""]""]",Nephew,Social Studies,JSS3
1555,The following are causes of conflicts except,"[""[\""Corporation\"",\""Greed\"",\""Selfishness\"",\""Religious intolerance\""]""]",Nephew,Social Studies,JSS3
1557,The process of learning begins with,"[""[\""Adolescence\"",\""Birth\"",\""Teenage year\"",\""Puberty\""]""]",Birth,Social Studies,JSS3
1560,The following are negative effects of cultism except,"[""[\""Enhances productivity\"",\""Endanger life's\"",\""Leads to expulsion of member\"",\""Disturb peace of the society\""]""]",Enhances productivity,Social Studies,JSS3
1562,Conflicts is characterized by the following except,"[""[\""Disunity\"",\""Loss of life\"",\""Dialogue\"",\""Anarchy\""]""]",Dialogue,Social Studies,JSS3
1564,"To curb cultism, students should","[""[\""Say no to cultism\"",\""Fear cultism\"",\""Arrest cultism\"",\""Fight with cultism\""]""]",Say no to cultism,Social Studies,JSS3
1565,Which of the following is not a cause of cultism,"[""[\""Drug influence\"",\""Environment influence\"",\""Peer group influence\"",\""Proper parental care\""]""]",Proper parental care,Social Studies,JSS3
1566,Family members consist all the following except,"[""[\""Aunty\"",\""Friends\"",\""Brother\"",\""Sisters\""]""]",Friends,Social Studies,JSS3
1568,Which of the following is not a modern way of saving money,"[""[\""Banking\"",\""Cooperative\"",\""Buying of stocks or share\"",\""Entrusting into the care of relatives\""]""]",Entrusting into the care of relatives,Social Studies,JSS3
1571,Iro and buba is to Yoruba as blouse and two wrappers is to______,"[""[\""Igbo\"",\""Fulani\"",\""Hausa\"",\""Nupe\""]""]",Igbo,Social Studies,JSS3
1573,Removal of parts of the female genital is known as______,"[""[\""Child marriage\"",\""Female genital mutilator\"",\""Female genital mutilation\"",\""Female genital defects\""]""]",Female genital mutilation,Social Studies,JSS3
1576,"Unprotected sexual intercourse, transfusion of infected blood and sharing of unsterilised skin piercing instrument causes _____","[""[\""Tuberculosis\"",\""Diarrhea\"",\""HIV and Aids\"",\""Hypertension\""]""]",Female genital mutilation,Social Studies,JSS3
1579,An environment where formal teaching and learning takes place is called ______,"[""[\""School\"",\""Home\"",\""Bank\"",\""Company\""]""]",School,Social Studies,JSS3
1580,Which of the following is not a means of transportation,"[""[\""Boat\"",\""Helicopter\"",\""Car\"",\""Table\""]""]",Table,Social Studies,JSS3
1583,All of these are examples of harmful substances except,"[""[\""Expired food\"",\""Natural fruits\"",\""Infected food\"",\""Rotten food\""]""]",Natural fruits,Social Studies,JSS3
1585,Peace I'm the society leads to the following except,"[""[\""Development\"",\""Diversity\"",\""Unity\"",\""Greater achievement\""]""]",Natural fruits,Social Studies,JSS3
1594,"Corruption, bribery, tribalism, lateness to work is act of ______","[""[\""Conflicts\"",\""Indiscipline\"",\""Dedication\"",\""Cooperation\""]""]",Indiscipline,Social Studies,JSS3
1596,Which is not one of the advantages of living together in a family?,"[""[\""Disagreement\"",\""Good social behaviour\"",\""Togetherness\"",\""Friendship\""]""]",Disagreement,Social Studies,JSS3
1598,Families that live together are usually______in society,"[""[\""Rejected\"",\""Respected\"",\""Inculcated\"",\""Avoided\""]""]",Respected,Social Studies,JSS3
1599,A good citizen does one or all of the following,"[""[\""Pay his rate and tax demanded by government\"",\""Obey constituted authories\"",\""Shun bad behaviour\"",\""All of the above\""]""]",All of the above,Social Studies,JSS3
1602,The drug sold at recognised pharmacy and normally recommended by pharmacists are,"[""[\""Fake drugs\"",\""Illicit drugs\"",\""Expired drugs\"",\""Licit drug\""]""]",All of the above,Social Studies,JSS3
1603,The process of sending and receiving messages from one place to another is,"[""[\""Circulation\"",\""Transportation\"",\""Communication\"",\""Information\""]""]",Communication,Social Studies,JSS3
2506,Rape is another name for,"[""[\""A. Sex abuse\"",\""B. Sex enjoyment \"",\""C. Sex release\"",\""D. Sex by gay people \""]""]",A. Sex abuse,Social Studies,JSS1
