Order,Question,A,B,C,D,answer
48,The spokesman of the Muslims before Emperor Negus was ,Jaafar  ,Al-As  ,Abu Musa  ,Masa Musa  ,A
49,Uthman B. Affan reigned between  ,644 and 656 ,657 and 688  ,655 and 657  ,644 and 655  ,A
50,Wudu means  ,ablution,dry ablution  ,water ablution  ,wet ablution ,B
51,Shirk means ____  ,monotheism ,polytheism,henotheism  ,syncretism ,B
52,The prophet admonishes that if an abomination is found, a true Muslim should at least  ,hate if from his heart  ,change it with his hands immediately  ,condemn it publicly  ,declare Jihad  ,A
53,The final and total prohibition of intoxicants is contained in Surah  ,al-Baqarah  ,an-Nisa  ,al-Maidah  ,al- I a  ,C
54,The prophet admonishes that if an abomination is found, a true Muslim should at least  ,hate if from his heart  ,change it with his hands immediately  ,condemn it publicly  ,declare Jihad  ,A
55,If a Muslim prays five times daily on a regular basis, how many times will he have prayed a regular ,1825,1835,1835,1845,A
56,The prophet admonishes that if an abomination is found, a true Muslim should at least  ,hate if from his heart  ,change it with his hands immediately  ,condemn it publicly  ,declare Jihad  ,A
57,Hajjatul Wada of Prophet Muhammad was delivered in ,632,630,628,631,A
58,Wudu means  ,ablution,dry ablution  ,water ablution  ,wet ablution ,B
59,When Prophet Muhammad got to Yathrib, he had to first and foremost settle the feud between  ,Aws and Khazraj  ,banu Nadir and Mecca  ,Mecca and Medina ,Aws and Nadir  ,A
60,Hajjatul Wada of Prophet Muhammad was delivered in ,632,630,628,631,A
61,The prophet admonishes that if an abomination is found, a true Muslim should at least  ,hate if from his heart  ,change it with his hands immediately  ,condemn it publicly  ,declare Jihad  ,A
62,The final and total prohibition of intoxicants is contained in Surah  ,al-Baqarah  ,an-Nisa  ,al-Maidah  ,al- I a  ,C
63,The word Hafizi in Q.  82: 10 means  ,angels  ,jinns  ,spirits ,man  ,A
64,Wudu means  ,ablution,dry ablution  ,water ablution  ,wet ablution ,B
65,Zakat is paid on the following except____  ,cash  ,cattle  ,slaves,all of the above ,C
66,The word Hafizi in Q.  82: 10 means  ,angels  ,jinns  ,spirits ,man  ,A
67,Wudu means  ,ablution,dry ablution  ,water ablution  ,wet ablution ,B
68,Zakat is paid on the following except____  ,cash  ,cattle  ,slaves,all of the above ,C
69,Lakum dinukum wa Liya dinin means  ,religion is good  ,to you is my religion and to me yours  ,to you is your religion and to me is my religion ,my religion is better than yours  ,C
70,Al-Tawrat was revealed to  ,Isa  ,Musa  ,Prophet Muhammad  ,Idris ,B
71,The word Hafizi in Q.  82: 10 means  ,angels  ,jinns  ,spirits ,man  ,A
72,The oa d gi e  to P ophet Muhad is the first  e elatio  of the Qu a  tells us about ____ ,education  ,prosperity  ,worship  ,Allah ,A
73,The final and total prohibition of intoxicants is contained in Surah  ,al-Baqarah  ,an-Nisa  ,al-Maidah  ,al- I a  ,C
74,One importance of wearing the Ihram during Hajj is_____  ,it directs the mind of all Muslims towards Allah  ,it purifies the Muslims  ,it makes all Muslims equal  ,it distinguishes pilgrims by country of origin  ,C
75,Wudu means  ,ablution,dry ablution  ,water ablution  ,wet ablution ,B
76,Lakum dinukum wa Liya dinin means  ,religion is good  ,to you is my religion and to me yours  ,to you is your religion and to me is my religion ,my religion is better than yours  ,C
77,The first place of Muslims ig atio   as ___,Abyssinia  ,Taif  ,Medina  ,Yathrib ,B
78,If Alhaji Musa Ayuba invested N10, 000: 00 in a business and made a profit of N2, 000: 00 at the,N215.00,N100: 00  ,N50:00  ,N1000:00 ,C
79,Shirk means ____  ,monotheism ,polytheism,henotheism  ,syncretism ,B
80,Literally, Boko Haram means  ,book is forbidden  ,education is forbidden  ,Western education is forbidden  ,school is forbidden  ,C
81,If a Muslim prays five times daily on a regular basis, how many times will he have prayed a regular ,1825,1835,1835,1845,A
82,If a Muslim prays five times daily on a regular basis, how many times will he have prayed a regular ,1825,1835,1835,1845,A
83,Ibadah refers to  ,worship of ancestors  ,worship of the Prophet  ,worship of the caliphs ,worship of Allah  ,D
84,Shirk means ____  ,monotheism ,polytheism,henotheism  ,syncretism ,B
85,The reason for the declaration of Jihad against the Islamic state of Borno by Muhammad Bello wasbecause of the people,rebellion  ,extremism ,syncretism  ,fundamentalism ,C
86,Literally, Boko Haram means  ,book is forbidden  ,education is forbidden  ,Western education is forbidden  ,school is forbidden  ,C
87,When Prophet Muhammad got to Yathrib, he had to first and foremost settle the feud between  ,Aws and Khazraj  ,banu Nadir and Mecca  ,Mecca and Medina ,Aws and Nadir  ,A
88,Lakum dinukum wa Liya dinin means  ,religion is good  ,to you is my religion and to me yours  ,to you is your religion and to me is my religion ,my religion is better than yours  ,C
89,The prophet admonishes that if an abomination is found, a true Muslim should at least  ,hate if from his heart  ,change it with his hands immediately  ,condemn it publicly  ,declare Jihad  ,A
90,Suratul-Kawthar was revealed following the _____ of the Mecca  ,uproar  ,insinuation  ,intolerance  ,resistance  ,B
91,The reason for the declaration of Jihad against the Islamic state of Borno by Muhammad Bello wasbecause of the people,rebellion  ,extremism ,syncretism  ,fundamentalism ,C
92,The reason for the declaration of Jihad against the Islamic state of Borno by Muhammad Bello wasbecause of the people,rebellion  ,extremism ,syncretism  ,fundamentalism ,C
93,The reason for the declaration of Jihad against the Islamic state of Borno by Muhammad Bello wasbecause of the people,rebellion  ,extremism ,syncretism  ,fundamentalism ,C
94,The prophet admonishes that if an abomination is found, a true Muslim should at least  ,hate if from his heart  ,change it with his hands immediately  ,condemn it publicly  ,declare Jihad  ,A
95,Uthman B. Affan reigned between  ,644 and 656 ,657 and 688  ,655 and 657  ,644 and 655  ,A
96,Literally, Boko Haram means  ,book is forbidden  ,education is forbidden  ,Western education is forbidden  ,school is forbidden  ,C
97,If Alhaji Musa Ayuba invested N10, 000: 00 in a business and made a profit of N2, 000: 00 at the,N215.00,N100: 00  ,N50:00  ,N1000:00 ,C
98,Which one of the following is not associated with shirk _____ ,idol worship  ,trinity  ,monotheism  ,henotheism ,C
99,The i itial suggestio  to o pile the Qu a   as aised   ,A u Bak  ,Umar B. Khattab  ,Zaid B. Thabit  ,Uthman B. Affan  ,B
100,The reason Q.  2: 219 forbids wine ad gambling is because  ,they lead one to greater sin than gain  ,they lead to poverty ultimately ,they lead to extravagance and intoxication  ,they make a Muslim to abandon religion  ,A
