Order,Question,A,B,C,D,answer
53,One of the consequences of cultism is,Violence killings,Peace and unity,Cooperation,Harmony,A
54,NAPEP was established to meet all these needs except,Assist people to acquire various skills,To help people with loan to start a business,To build houses for people,To help address the issue of poverty,C
55,Music can be used in all of these occasions except one,Wedding,War,Communication,Fishing,D
56,What is the acronym of NDLEA,Nigeria Drug Law Enforcement Agency,National Drug Law Enforcement Agency,National Drug Law Empowerment Agency,National Drug Enforcement Agent,B
57,A typical example of mass action is,Large number of people buying food stuff in the market,A congregation worshipping in the church,A group of people building in a site,People protesting like in petroleum pump price,D
58,What is the acronym of ICPC,Independence corrupt practices and other related offences commission,Independence corrupt practices and other related offences,Independent corruption practices and other related offences commission,Independent corrupt practices and other related offenders,A
59,The following are various kinds of newspapers in Nigeria except_____,Nation newspaper,Network newspaper,Daily news paper,,B
60,Social studies can be best define as the,Comprehensive study of man in his total environment,Study of earth as the home man,Study of man and his physical environment,Study of man and nine planets,A
61,Which of the following is not a means of transportation,Boat,Helicopter,Car,Table,D
62,Iro and buba is to Yoruba as blouse and two wrappers is to______,Igbo,Fulani,Hausa,Nupe,A
63,One of these is not an illicit drug,Indian hemp,Cocaine,Paracetamol,Heroine,C
64,The two types of environment are,Physical and social,Physical and spiritual,Physical and social life,Physical and religion,A
65,HIV/AIDS can best be transmitted by_____,Blood contact,Hand shake,Sleeping together,None of the above,A
66,Social problems have negative affects in our society,True,False,All of the above,,A
67,The process of sending and receiving messages from one place to another is,Circulation,Transportation,Communication,Information,C
68,EFCC is a government agency that fights,Child abuse,Drug abuse and trafficking,Corruption,Political thug's,C
69,One of the following is not a reason for theft,To get back at someone,To be part of a group,To get national award,To get attention from family and friends,C
70,Which of the following is not an attribute of fake drug?,It is sold in motor vehicles with vendors telling people how good the drug is,It is prepared and mixed with orthodox medicine,It is a limitation of fast moving drugs,It is drug with active ingredients,D
71,The court marriage is also know as,Authorised marriage,Ordinance marriage,Illegal marriage,Legal marriage,D
72,The following are environmental problem except,Cloud,Drought,Erosion,Pollution,A
73,The following are conflict resolution except,Hatred,Tolerance,Negotiation,Meditation,A
74,Which year did Nigeria became a republic,1960,1963,1962,1961,B
75,The primary cause of poverty is,Laziness,Few natural resources,Literacy,Large family size,C
76,An environment where formal teaching and learning takes place is called ______,School,Home,Bank,Company,A
77,______ is assisting in controlling traffic in the highways,RSC,FRSC,NYSC,NCDC,B
78,Which of the following is not a common crime in our society,Advance fee fraud(419),Early marriage,Rape,Sales of contaminated food,B
79,The family that consist of brother  sister and relatives with their wives and children living together is called _____ family,Compound,Extended,Native,Village,B
80,Unprotected sexual intercourse  transfusion of infected blood and sharing of unsterilised skin piercing instrument causes _____,Tuberculosis,Diarrhea,HIV and Aids,Hypertension,C
81,_____ is when you need to give something before you get either what is due to you,Contract inflation,Embezzlement,Bribery,Kickbacks,C
82,Families that live together are usually______in society,Rejected,Respected,Inculcated,Avoided,B
83,The primary cause of poverty is,Laziness,Few natural resources,Literacy,Large family size,C
84,Interpersonal conflicts can be resolved by the following except,Adjudication,Appointing an intermediary,Peaceful resolution,Propaganda,D
85,Which of the following is not a reason for trafficking drugs,Fame,Rudeness,Peer influence,Ignorance,B
86,Conflicts is characterized by the following except,Disunity,Loss of life,Dialogue,Anarchy,C
87,Family members consist all the following except,Aunty,Friends,Brother,Sisters,B
88,The process of learning begins with,Adolescence,Birth,Teenage year,Puberty,B
89,What is the real objective of socialisation?,To make a person known much about arts and crafts,To make a person rule the community,To make a person known much about arts and crafts,,A
90,Which part of Nigeria is kidnapping/robbery mostly common,Lagos,River,Kaduna,All of the above,C
91,The full meaning of EFCC is______,Economic force concerning crime,Economic finance corruption council,Economic and financial crime commission,Economic federal committee on crime,C
92,A family which is made up of a man his wife and children is called,Compound,Extended,Nuclear,Monogamous,C
93,Removal of parts of the female genital is known as______,Child marriage,Female genital mutilator,Female genital mutilation,Female genital defects,C
94,Which of the following is not a cause of cultism,Drug influence,Environment influence,Peer group influence,Proper parental care,D
95,Which of the following organisation is not voluntary organisation?,Boys bridgade,Boys scouts,Girls guide,Police force,D
96,The following are good examples of agents of socialisation except,Church,Family,Club,At work,C
97,Drugs that can be produced sold and used legally when we are ill are called,Licit drugs,Illicit drugs,Illegal drugs,Common drugs,A
98,Families that live together are usually _____ in the society,Rejected,Respected,Inculcated,Avoided,B
99,The following are negative effects of cultism except,Enhances productivity,Endanger life's,Leads to expulsion of member,Disturb peace of the society,A
100,White and black cloth is a cultural dress of the,Fulani's,Tiv's,Hausas,Igbo's,B
