Order,Question,A,B,C,D,answer
36,The Committee that recommended Abuja as the New Federal Capital was headed by  ,Graham Douglas  ,Mamman Nasir  ,Rotimi Williams  ,Akinola Aguda ,D
37,In the pre-colonial Igbo political system, which of the following was the most democratic organ of government,The Umand ,Eze  ,Isu  ,Ohanaeze,D
38,In the absence of the existence of traditional rulers in the Igbo communities the British Colonial administration appointed,Eze  ,Obi  ,Ozo  ,Warrant chiefs ,D
39,The Ogboni Cult in the pre-colonial Yoruba political system played the role of the  ,judiciary  ,executive  ,police  ,legislation ,A
40,Which of the following was the last to win Independence from colonial rule?  ,Cote d I oi e,Algeria  ,Tanzania  ,Angola ,D
41,A chief could be deposed in the pre-colonial era if he  ,violated the written constitution  ,persistently neglected the advice of the elders  ,refuse to collect taxes for the Britishs  ,married too many wives ,B
42,Be li   Af i a   o fe e e took pla e et ee  ,1884 and 1885  ,1885 and 1886  ,1886 and 1887  ,1883 and 1884 ,A
43,In the Oyo traditional political system, the Alaafin of Oyo was elected or chosen by a group known ,Ogbon,Oyo Mesi ,Baale,Ohanaeze,B
44,The Lagos Colony and the Southern Protectorate of Nigeria were joined in the year ,1904,1906,1910,1914,B
45,When was the emirate system of administration introduced in Northern Nigeria? ,19th century ,20th century ,18th century  ,17th century ,C
46,The Committee that recommended Abuja as the New Federal Capital was headed by  ,Graham Douglas  ,Mamman Nasir  ,Rotimi Williams  ,Akinola Aguda ,D
47,During the early colonial period in Nigeria, the governor ruled the protectorate by  ,Crown Colony Orders  ,Proclamation  ,Order?in-Council  ,The Act of Parliament ,D
48,Which of the following made the earliest contact with the Nigerian societies?  ,The Portuguese ,The Germans  ,The British ,The French,A
49,The Sokoto Jihad led to the formation of Islamic States in following States except  ,Senegal  ,Mali  ,Chad  ,Togo ,D
50,Archaeology findings in Ugbo-Ukwu are suggestive of rich  ,Agricultural potentials  ,cultural civilization  ,mineral deposit  ,all of the above ,B
51,A historical feature of the legislative council that met in 1923 was that for the first time it  ,included the official members who were Nigerians  ,included only British officials  ,included elected African members ,acted in a deliberative capacity  ,D
52,Archaeology findings in Ugbo-Ukwu are suggestive of rich  ,Agricultural potentials  ,cultural civilization  ,mineral deposit  ,all of the above ,B
53,In the absence of the existence of traditional rulers in the Igbo communities the British Colonial administration appointed,Eze  ,Obi  ,Ozo  ,Warrant chiefs ,D
54,The Head of the Sokoto Caliphate was known as  ,Sultan  ,Caliph  ,Emir  ,Alhaji ,B
55,Which of the following made the earliest contact with the Nigerian societies?  ,The Portuguese ,The Germans  ,The British ,The French,A
56,Yoruba inter-state wars lasted for  ,16 years  ,10 years  ,100 years  ,50 years ,C
57,The Aro system in Igboland was a ,Political organisation  ,Commercial organisation  ,Religious organisation  ,Imperial organisation ,C
58,The concept of Indirect Rule in Nigeria is usually associated with  ,Sir George T.  Goldie  ,Claude Macdonald  ,Lord Lugard  ,Consul Philip ,C
59,During the early colonial period in Nigeria, the governor ruled the protectorate by  ,Crown Colony Orders  ,Proclamation  ,Order?in-Council  ,The Act of Parliament ,D
60,A chief could be deposed in the pre-colonial era if he  ,violated the written constitution  ,persistently neglected the advice of the elders  ,refuse to collect taxes for the Britishs  ,married too many wives ,B
61,The Lagos Colony and the Southern Protectorate of Nigeria were joined in the year ,1904,1906,1910,1914,B
62,Oron and Ekoi people of the Cross River Basin might have migrated to Nigeria through the  ,sea  ,mountain  ,sky  ,none ,A
63,Which of the following in the pre-colonial era had integrated political structure  ,Tiv  ,Ilaje ,Jukun  ,Nupe ,D
64,The Portuguese first visited Benin around  ,1485,1484,1486,1483,A
65,An acephalous pre-colonial system is best represented by the  ,Oyo Empire  ,Igbo political organisation  ,Ijaw political organisation  ,Benin Empire ,B
66,Geographically, Nigeria lies between latitudes  ,40 and 140  ,4 and 100   ,140 and 4  ,all of the above ,A
67,Oron and Ekoi people of the Cross River Basin might have migrated to Nigeria through the  ,sea  ,mountain  ,sky  ,none ,A
68,Which of the following in the pre-colonial era had integrated political structure  ,Tiv  ,Ilaje ,Jukun  ,Nupe ,D
69,Which of the following in the pre-colonial era had integrated political structure  ,Tiv  ,Ilaje ,Jukun  ,Nupe ,D
70,Geographically, Nigeria lies between latitudes  ,40 and 140  ,4 and 100   ,140 and 4  ,all of the above ,A
71,Galadima in the emirate refers to  ,a village head  ,the office in charge of the army  ,the administrator of the capital city  ,a judge ,C
72,Oron and Ekoi people of the Cross River Basin might have migrated to Nigeria through the  ,sea  ,mountain  ,sky  ,none ,A
73,???. and slave raiding were complementary exercises among the Yoruba  ,farming  ,hunting  ,war  ,diplomacy ,C
74,Which of the following formalised colonial penetration into Africa?  ,Paris Treaty  ,Berlin Conference  ,Lagos Treaty  ,Cape Coast ,B
75,The colonial government whose constitution introduced elective principle into Nigerian politics was  ,Arthur Richards  ,Fredrick Lugard  ,Hugh Clifford  ,John Macpherson ,C
76,Galadima in the emirate refers to  ,a village head  ,the office in charge of the army  ,the administrator of the capital city  ,a judge ,C
77,In Yorubaland, the concept which derived mainly from the wave of dispersal that attended the process of state formation is known as,Omo iya  ,Ebi  ,Oduduwa  ,all of the above ,B
78,Which of the following in the pre-colonial era had integrated political structure  ,Tiv  ,Ilaje ,Jukun  ,Nupe ,D
79,The Lagos Colony and the Southern Protectorate of Nigeria were joined in the year ,1904,1906,1910,1914,B
80,In the traditional Hausa-Fulani political system, political authority was vested in the  ,Emir  ,Talakawa  ,Alkali ,Emirate Council ,A
81,The Yoruba, Edo, Nupe, and Ibo languages are classified as belonging to the  ,Arabic  ,Kwa-sub group  ,Kaw sub group  ,Kai sub group ,B
82,Which of the following in the pre-colonial era had integrated political structure  ,Tiv  ,Ilaje ,Jukun  ,Nupe ,D
83,Which of the following was the last to win Independence from colonial rule?  ,Cote d I oi e,Algeria  ,Tanzania  ,Angola ,D
84,The Committee that recommended Abuja as the New Federal Capital was headed by  ,Graham Douglas  ,Mamman Nasir  ,Rotimi Williams  ,Akinola Aguda ,D
85,Which of the following titles among the Igbos in the pre-colonial era required substantial wealth before one could acquire it?,Obi  ,Eze  ,Ozo  ,Ofo ,C
86,The Ekitiparapo war lasted for  ,10 years  ,16 years  ,100years,50 years ,B
87,The Committee that recommended Abuja as the New Federal Capital was headed by  ,Graham Douglas  ,Mamman Nasir  ,Rotimi Williams  ,Akinola Aguda ,D
88,In Yorubaland, the concept which derived mainly from the wave of dispersal that attended the process of state formation is known as,Omo iya  ,Ebi  ,Oduduwa  ,all of the above ,B
89,The Aro system in Igboland was a ,Political organisation  ,Commercial organisation  ,Religious organisation  ,Imperial organisation ,C
90,Songhai Empire fell in... ,1591,1691,1791,1891,A
91,During the early colonial period in Nigeria, the governor ruled the protectorate by  ,Crown Colony Orders  ,Proclamation  ,Order?in-Council  ,The Act of Parliament ,D
92,Oron and Ekoi people of the Cross River Basin might have migrated to Nigeria through the  ,sea  ,mountain  ,sky  ,none ,A
93,Which of the following was the last to win Independence from colonial rule?  ,Cote d I oi e,Algeria  ,Tanzania  ,Angola ,D
94,An acephalous pre-colonial system is best represented by the  ,Oyo Empire  ,Igbo political organisation  ,Ijaw political organisation  ,Benin Empire ,B
95,The concept of Indirect Rule in Nigeria is usually associated with  ,Sir George T.  Goldie  ,Claude Macdonald  ,Lord Lugard  ,Consul Philip ,C
96,During the early colonial period in Nigeria, the governor ruled the protectorate by  ,Crown Colony Orders  ,Proclamation  ,Order?in-Council  ,The Act of Parliament ,D
97,When was the emirate system of administration introduced in Northern Nigeria? ,19th century ,20th century ,18th century  ,17th century ,C
98,During the early colonial period in Nigeria, the governor ruled the protectorate by  ,Crown Colony Orders  ,Proclamation  ,Order?in-Council  ,The Act of Parliament ,D
99,Oron and Ekoi people of the Cross River Basin might have migrated to Nigeria through the  ,sea  ,mountain  ,sky  ,none ,A
100,The Ogboni Cult in the pre-colonial Yoruba political system played the role of the  ,judiciary  ,executive  ,police  ,legislation ,A
