Order,Question,A,B,C,D,answer
18,The final and total prohibition of intoxicants is contained in Surah  ,al-Baqarah  ,an-Nisa  ,al-Maidah  ,al- I a  ,C
19,The spokesman of the Muslims before Emperor Negus was ,Jaafar  ,Al-As  ,Abu Musa  ,Masa Musa  ,A
20,If a Muslim prays five times daily on a regular basis, how many times will he have prayed a regular ,1825,1835,1835,1845,A
21,According to Islamic traditions, inability to marriage may rise as a consequence of   ,defects in sex organs  ,permanent illness  ,impotence  ,all of the above  ,D
22,Hajjatul Wada of Prophet Muhammad was delivered in ,632,630,628,631,A
23,Al-Tawrat was revealed to  ,Isa  ,Musa  ,Prophet Muhammad  ,Idris ,B
24,Lakum dinukum wa Liya dinin means  ,religion is good  ,to you is my religion and to me yours  ,to you is your religion and to me is my religion ,my religion is better than yours  ,C
25,When Prophet Muhammad got to Yathrib, he had to first and foremost settle the feud between  ,Aws and Khazraj  ,banu Nadir and Mecca  ,Mecca and Medina ,Aws and Nadir  ,A
26,Wudu means  ,ablution,dry ablution  ,water ablution  ,wet ablution ,B
27,Walam yakun lahu Kufuwan Ahadun is_____  ,the second ayat of the 112th surah  ,sixth ayat of the 111th surah  ,fourth ayat of the 112th surah ,seventh ayat of the 114th surah  ,C
28,The reason Q.  2: 219 forbids wine ad gambling is because  ,they lead one to greater sin than gain  ,they lead to poverty ultimately ,they lead to extravagance and intoxication  ,they make a Muslim to abandon religion  ,A
29,Suratul-Kawthar was revealed following the _____ of the Mecca  ,uproar  ,insinuation  ,intolerance  ,resistance  ,B
30,?eek k o ledge, e e  u to Chi a   ea s ____ ,go to China to seek knowledge  ,knowledge is found in China  ,go at any length to seek knowledge  ,knowledge must be sought in china   ,C
31,Hajjatul Wada of Prophet Muhammad was delivered in ,632,630,628,631,A
32,Wudu means  ,ablution,dry ablution  ,water ablution  ,wet ablution ,B
33,The reason for the declaration of Jihad against the Islamic state of Borno by Muhammad Bello wasbecause of the people,rebellion  ,extremism ,syncretism  ,fundamentalism ,C
34,The word Hafizi in Q.  82: 10 means  ,angels  ,jinns  ,spirits ,man  ,A
35,The word Hafizi in Q.  82: 10 means  ,angels  ,jinns  ,spirits ,man  ,A
36,The prophet admonishes that if an abomination is found, a true Muslim should at least  ,hate if from his heart  ,change it with his hands immediately  ,condemn it publicly  ,declare Jihad  ,A
37,Literally, Boko Haram means  ,book is forbidden  ,education is forbidden  ,Western education is forbidden  ,school is forbidden  ,C
38,The oa d gi e  to P ophet Muhad is the first  e elatio  of the Qu a  tells us about ____ ,education  ,prosperity  ,worship  ,Allah ,A
39,The word Hafizi in Q.  82: 10 means  ,angels  ,jinns  ,spirits ,man  ,A
40,If Alhaji Musa Ayuba invested N10, 000: 00 in a business and made a profit of N2, 000: 00 at the,N215.00,N100: 00  ,N50:00  ,N1000:00 ,C
41,Talaq al-,irrevocable ,revocable  ,impermissible  ,detestable ,A
42,Suratul-Kawthar was revealed following the _____ of the Mecca  ,uproar  ,insinuation  ,intolerance  ,resistance  ,B
43,The reason Q.  2: 219 forbids wine ad gambling is because  ,they lead one to greater sin than gain  ,they lead to poverty ultimately ,they lead to extravagance and intoxication  ,they make a Muslim to abandon religion  ,A
44,Lakum dinukum wa Liya dinin means  ,religion is good  ,to you is my religion and to me yours  ,to you is your religion and to me is my religion ,my religion is better than yours  ,C
45,Walam yakun lahu Kufuwan Ahadun is_____  ,the second ayat of the 112th surah  ,sixth ayat of the 111th surah  ,fourth ayat of the 112th surah ,seventh ayat of the 114th surah  ,C
46,?eek k o ledge, e e  u to Chi a   ea s ____ ,go to China to seek knowledge  ,knowledge is found in China  ,go at any length to seek knowledge  ,knowledge must be sought in china   ,C
47,The reason Mecca suwar lay emphasis on oneness of Allah is because  ,it was the only way to call Mecca to Islam  ,it is the only article of faith  ,it is the only article of peace between Prophet Muhammad and the Mecca  ,the pre-Islamic Mecca were idolatrous ,D
48,Lakum dinukum wa Liya dinin means  ,religion is good  ,to you is my religion and to me yours  ,to you is your religion and to me is my religion ,my religion is better than yours  ,C
49,Walam yakun lahu Kufuwan Ahadun is_____  ,the second ayat of the 112th surah  ,sixth ayat of the 111th surah  ,fourth ayat of the 112th surah ,seventh ayat of the 114th surah  ,C
50,Ibadah refers to  ,worship of ancestors  ,worship of the Prophet  ,worship of the caliphs ,worship of Allah  ,D
51,Zakat is paid on the following except____  ,cash  ,cattle  ,slaves,all of the above ,C
52,Which one of the following is not associated with shirk _____ ,idol worship  ,trinity  ,monotheism  ,henotheism ,C
53,The oa d gi e  to P ophet Muhad is the first  e elatio  of the Qu a  tells us about ____ ,education  ,prosperity  ,worship  ,Allah ,A
54,The main message of ayay Amanar-Rasul is  ,the significance of knowledge  ,the articles of faith  ,the pillars of Islam  ,payment of Zakat ,B
55,Lakum dinukum wa Liya dinin means  ,religion is good  ,to you is my religion and to me yours  ,to you is your religion and to me is my religion ,my religion is better than yours  ,C
56,The first place of Muslims ig atio   as ___,Abyssinia  ,Taif  ,Medina  ,Yathrib ,B
57,Shirk means ____  ,monotheism ,polytheism,henotheism  ,syncretism ,B
58,Zakat is paid on the following except____  ,cash  ,cattle  ,slaves,all of the above ,C
59,Al-Tawrat was revealed to  ,Isa  ,Musa  ,Prophet Muhammad  ,Idris ,B
60,One importance of wearing the Ihram during Hajj is_____  ,it directs the mind of all Muslims towards Allah  ,it purifies the Muslims  ,it makes all Muslims equal  ,it distinguishes pilgrims by country of origin  ,C
61,Ibadah refers to  ,worship of ancestors  ,worship of the Prophet  ,worship of the caliphs ,worship of Allah  ,D
62,The reason Mecca suwar lay emphasis on oneness of Allah is because  ,it was the only way to call Mecca to Islam  ,it is the only article of faith  ,it is the only article of peace between Prophet Muhammad and the Mecca  ,the pre-Islamic Mecca were idolatrous ,D
63,The word Hafizi in Q.  82: 10 means  ,angels  ,jinns  ,spirits ,man  ,A
64,When Prophet Muhammad got to Yathrib, he had to first and foremost settle the feud between  ,Aws and Khazraj  ,banu Nadir and Mecca  ,Mecca and Medina ,Aws and Nadir  ,A
65,The i itial suggestio  to o pile the Qu a   as aised   ,A u Bak  ,Umar B. Khattab  ,Zaid B. Thabit  ,Uthman B. Affan  ,B
66,Talaq al-,irrevocable ,revocable  ,impermissible  ,detestable ,A
67,If a Muslim prays five times daily on a regular basis, how many times will he have prayed a regular ,1825,1835,1835,1845,A
68,When Prophet Muhammad got to Yathrib, he had to first and foremost settle the feud between  ,Aws and Khazraj  ,banu Nadir and Mecca  ,Mecca and Medina ,Aws and Nadir  ,A
69,Zakat is paid on the following except____  ,cash  ,cattle  ,slaves,all of the above ,C
70,The reason Mecca suwar lay emphasis on oneness of Allah is because  ,it was the only way to call Mecca to Islam  ,it is the only article of faith  ,it is the only article of peace between Prophet Muhammad and the Mecca  ,the pre-Islamic Mecca were idolatrous ,D
71,Uthman B. Affan reigned between  ,644 and 656 ,657 and 688  ,655 and 657  ,644 and 655  ,A
72,The oa d gi e  to P ophet Muhad is the first  e elatio  of the Qu a  tells us about ____ ,education  ,prosperity  ,worship  ,Allah ,A
73,The reason for the declaration of Jihad against the Islamic state of Borno by Muhammad Bello wasbecause of the people,rebellion  ,extremism ,syncretism  ,fundamentalism ,C
74,Hajjatul Wada of Prophet Muhammad was delivered in ,632,630,628,631,A
75,Wudu means  ,ablution,dry ablution  ,water ablution  ,wet ablution ,B
76,Talaq al-,irrevocable ,revocable  ,impermissible  ,detestable ,A
77,Talaq al-,irrevocable ,revocable  ,impermissible  ,detestable ,A
78,The reason Q.  2: 219 forbids wine ad gambling is because  ,they lead one to greater sin than gain  ,they lead to poverty ultimately ,they lead to extravagance and intoxication  ,they make a Muslim to abandon religion  ,A
79,The reason Q.  2: 219 forbids wine ad gambling is because  ,they lead one to greater sin than gain  ,they lead to poverty ultimately ,they lead to extravagance and intoxication  ,they make a Muslim to abandon religion  ,A
80,The spokesman of the Muslims before Emperor Negus was ,Jaafar  ,Al-As  ,Abu Musa  ,Masa Musa  ,A
81,One importance of wearing the Ihram during Hajj is_____  ,it directs the mind of all Muslims towards Allah  ,it purifies the Muslims  ,it makes all Muslims equal  ,it distinguishes pilgrims by country of origin  ,C
82,The prophet admonishes that if an abomination is found, a true Muslim should at least  ,hate if from his heart  ,change it with his hands immediately  ,condemn it publicly  ,declare Jihad  ,A
83,One importance of wearing the Ihram during Hajj is_____  ,it directs the mind of all Muslims towards Allah  ,it purifies the Muslims  ,it makes all Muslims equal  ,it distinguishes pilgrims by country of origin  ,C
84,Hajjatul Wada of Prophet Muhammad was delivered in ,632,630,628,631,A
85,Suratul-Kawthar was revealed following the _____ of the Mecca  ,uproar  ,insinuation  ,intolerance  ,resistance  ,B
86,Suratul-Kawthar was revealed following the _____ of the Mecca  ,uproar  ,insinuation  ,intolerance  ,resistance  ,B
87,?eek k o ledge, e e  u to Chi a   ea s ____ ,go to China to seek knowledge  ,knowledge is found in China  ,go at any length to seek knowledge  ,knowledge must be sought in china   ,C
88,Which one of the following is not associated with shirk _____ ,idol worship  ,trinity  ,monotheism  ,henotheism ,C
89,Walam yakun lahu Kufuwan Ahadun is_____  ,the second ayat of the 112th surah  ,sixth ayat of the 111th surah  ,fourth ayat of the 112th surah ,seventh ayat of the 114th surah  ,C
90,Al-Tawrat was revealed to  ,Isa  ,Musa  ,Prophet Muhammad  ,Idris ,B
91,The spokesman of the Muslims before Emperor Negus was ,Jaafar  ,Al-As  ,Abu Musa  ,Masa Musa  ,A
92,The main message of ayay Amanar-Rasul is  ,the significance of knowledge  ,the articles of faith  ,the pillars of Islam  ,payment of Zakat ,B
93,The word Hafizi in Q.  82: 10 means  ,angels  ,jinns  ,spirits ,man  ,A
94,Hajjatul Wada of Prophet Muhammad was delivered in ,632,630,628,631,A
95,Al-Tawrat was revealed to  ,Isa  ,Musa  ,Prophet Muhammad  ,Idris ,B
96,If a Muslim prays five times daily on a regular basis, how many times will he have prayed a regular ,1825,1835,1835,1845,A
97,Uthman B. Affan reigned between  ,644 and 656 ,657 and 688  ,655 and 657  ,644 and 655  ,A
98,The spokesman of the Muslims before Emperor Negus was ,Jaafar  ,Al-As  ,Abu Musa  ,Masa Musa  ,A
99,Hajjatul Wada of Prophet Muhammad was delivered in ,632,630,628,631,A
100,One importance of wearing the Ihram during Hajj is_____  ,it directs the mind of all Muslims towards Allah  ,it purifies the Muslims  ,it makes all Muslims equal  ,it distinguishes pilgrims by country of origin  ,C
