Order,Question,A,B,C,D,answer
78,The treatment given to a victim of an accident  sudden injury is called,past aid treatment   ,first aid treatment,operation treatment   ,last aid treatment,B
79,___ is regarded as harmful use of drugs,drug abuse    ,drug addiction,drug abuser,drug dependence,A
80,_______ is not an example of classes of food,fats and oil   ,protein,water,rice,F
81,All these are apparatus used in gymnastic EXCEPT___,parallel bar   ,horizontal bar   ,balance beam   ,hurdle,D
82,Domestic accident is usually associated _____,At home,Road,School,Factories,A
83,One of these is a cause of road accident,using sharp object   ,driving and making phone calls   ,none of the above,,F
84,Which of these is not a field event?,Hurdles,Discuss,Hammer,Javelin,C
85,All of these are found in the first aid box?,methylated spirit   ,hydrogen peroxide   ,plaster,head helmets,D
86,Dance is regarded as the rhythmic movement of the___,leg,hand,body,head,D
87,The treatment given to a victim of an accident  sudden injury is called,past aid treatment   ,first aid treatment,operation treatment   ,last aid treatment,B
88,The movement of the entire body from one sport to another is called___ movement,locomotor,relocation ,non-locomotor,transportation,F
89,One of these is are a kind of posture  except,akimbo posture,forward head posture,Standing posture,swayback posure,C
90,All of these are example of methods of sewage disposal EXCEPT____,pit latrine        ,open dump      ,water closet system   ,none of the above,D
91,Athletics is a game made up of ____ and ____ event,Biro and paper,Racket and gloves   ,Ball and socks   ,Tracks and field,D
92,__________ is a source of protein,Yam,Rice,Garri,Beans,D
93,Which of these lower stress and depression,Recreation and dance   ,Footballing     ,Boxing,Fighting,A
94,One of these is NOT allowed in Soccer game?,kicking your opponent     ,scoring goal     ,heading the ball ,trapping the ball,F
95,Which of these lower stress and depression,Recreation and dance   ,Footballing     ,Boxing,Fighting,A
96,One of these is not an injury in sports,dislocation  ,fractures ,wound,mosquito bite,F
97,Which of these is not an example of indoor recreational activities,room decoration   ,sleeping,playing ludo  ,playing ludo,B
98,All of these are the benefits of athletics except,Develop skills    ,Aids competition ,Promote fighting,Creates avenue for socializing    ,C
99,There are ___________ classes of food,One,two,six,four,C
100,All are good examples of non-contact sports EXCEPT one,Table tennis,tennis,swimming,basketball,D
