Order,Question,A,B,C,D,answer
37,Fair play means ______,play against the rules,playing according to rules and orders ,playing a game ,cheating and laughing,B
38,Transparency in business dealings means _______,a quality of being polite,a state of being responsible,a quality of being hardworking,a quality of being honest ,D
39,The term folio means _____________,a system of stock taking,a method of calculating depreciation,a book of original entry,a page in a book of accounts,D
40,The department responsible for selling the products of the organization is called,purchasing department,sales department,transport  department,planning department,B
41,Which of the following is not a book of accounts _________,directory,journal,petty cash book,cash book,A
42,__________ is the movement of people and product from one place to another,transportation,insurance ,banking,warehousing ,A
43,If you want to be self employed  you have to _______,start off by thinking of a new idea of a business ,go around gossiping with people,run 50 kilometers a day ,engage in fight  in your neighborhood ,A
44,All entries on the right side of the ledger are called ______,credit entries ,debit entries,profit entries,loss entries    ,A
45,A chemical can be a ______,liquid, gas,solid  liquid or gas ,solid,C
46,Commerce can broadly  be divided into two namely,trade and commerce,commerce and aids to commerce  ,trade and aids to trade,banking and finance,C
47,The purpose of the purchases journal is to provide one of the following   ______,evidence of sales,evidence of overcharging,record of all the goods a business has purchased on credit,date of sales,C
48,The keyboard remains the primary source of inputting ________ into computers.,facts,papers,files,information     ,D
49,The department responsible for selling the products of the organization is called,purchasing department,sales department,transport  department,planning department,B
50,A chemical can be a ______,liquid, gas,solid  liquid or gas ,solid,C
51,The exchange and distribution of goods and services best define __________,commerce,book keeping ,keyboarding ,typist,A
52,The principal book of account is called a _________,journal,ledger,teller,cheque  ,B
53,All entries on the right side of the ledger are called ______,credit entries ,debit entries,profit entries,loss entries    ,A
54,A liability is _____________,anything of value owned by a business ,the amount owed by a business ,the money invested in a business,all goods sold by a business,B
55,The returns inwards journal is also known as   ______,proper journal, purchases returns book,sales returns book ,sales journal,C
56,Which of the following is not a book of accounts _________,directory,journal,petty cash book,cash book,A
57,Having a vision can be described as,having good eyes sight,identify opportunities others cannot see,being able to predict the future,going about with a cane ,C
58,Accounting entries has ___________ halves,10,2,4,3,B
59,The keyboard remains the primary source of inputting ________ into computers.,facts,papers,files,information     ,D
60,The reward of an entrepreneur is_____,interest,wages,expenses  ,profit ,D
61,The department responsible for record keeping and paying of wages of all  employee is called,Accounting department,sales department,marketing department ,purchasing  department,A
62,Any individual who operates or service as a sole-employment is____,self- employed,multi- employed ,compu-employed   ,digi-employed,A
63,Things that are essential for a person to function effectively is known as,balance diet,want,need,product,A
64,Keyboarding is the utilization of a keyboard for ________,pressing,conducting,computer functions and typing,demonstrating   ,C
65,Which of the following is not a book of accounts _________,directory,journal,petty cash book,cash book,A
66,The other name for the purchases journal is   ______,general day book ,purchases day book,returns inwards book,sales day book,B
67,All entries on the right side of the ledger are called ______,credit entries ,debit entries,profit entries,loss entries    ,A
68,__________ involves storing of goods in a safe place until they are needed,commerce,Advertising,transport,warehousing,D
69,All entries on the right side of the ledger are called ______,credit entries ,debit entries,profit entries,loss entries    ,A
70,The purpose of the purchases journal is to provide one of the following   ______,evidence of sales,evidence of overcharging,record of all the goods a business has purchased on credit,date of sales,C
71,The subject in which students are taught how to type is called,keyboarding, typesetting,typewriting,typing pool,C
72,The principal book of account is called a _________,journal,ledger,teller,cheque  ,B
73,The principal book of account is called a _________,journal,ledger,teller,cheque  ,B
74,Double entry principle states that “for ________,every trader there must be a debtor”  ,every purchases there must be a receipt”,every debit entry there must be a corresponding credit entry”,every employer there must be an employee”,C
75,Double entry principle states that “for ________,every trader there must be a debtor”  ,every purchases there must be a receipt”,every debit entry there must be a corresponding credit entry”,every employer there must be an employee”,C
76,The principal book of account is called a _________,journal,ledger,teller,cheque  ,B
77,Business opportunities found around your environment is called business opportunities,internationally,locally,in Nigeria,abroad,B
78,The department responsible for selling the products of the organization is called,purchasing department,sales department,transport  department,planning department,B
79,The department responsible for record keeping and paying of wages of all  employee is called,Accounting department,sales department,marketing department ,purchasing  department,A
80,How many forms of business organization do we have,1,2,5,4,C
81,The following are extractive occupation EXCEPT   ______,bricklaying,fishing,lumbering ,mining ,A
82,The keyboard remains the primary source of inputting ________ into computers.,facts,papers,files,information     ,D
83,The keyboard remains the primary source of inputting ________ into computers.,facts,papers,files,information     ,D
84,Protection and security made against future risk is called,insurance,banking,communication,transport,A
85,Real account are accounts that relates to _______,income,expenses,assets,profit ,C
86,__________ involves storing of goods in a safe place until they are needed,commerce,Advertising,transport,warehousing,D
87,The following are extractive occupation EXCEPT   ______,bricklaying,fishing,lumbering ,mining ,A
88,Which of the following comes under the classification of personal account?,real account,nominal account,expenses,debtors ,B
89,Keyboarding is the utilization of a keyboard for ________,pressing,conducting,computer functions and typing,demonstrating   ,C
90,The principal book of account is called a _________,journal,ledger,teller,cheque  ,B
91,The exchange and distribution of goods and services best define __________,commerce,book keeping ,keyboarding ,typist,A
92,Transparency in business dealings means _______,a quality of being polite,a state of being responsible,a quality of being hardworking,a quality of being honest ,D
93,The following are extractive occupation EXCEPT   ______,bricklaying,fishing,lumbering ,mining ,A
94,Accounting entries has ___________ halves,10,2,4,3,B
95,A place where valuable things and money are kept is called__________,bank,safe ,cabinet ,warehouse ,A
96,The simplest form of business organization is called,cooperative society,partnership,sole proprietorship,marketing,C
97,The following are extractive occupation EXCEPT   ______,bricklaying,fishing,lumbering ,mining ,A
98,Commerce can broadly  be divided into two namely,trade and commerce,commerce and aids to commerce  ,trade and aids to trade,banking and finance,C
99,The subject in which students are taught how to type is called,keyboarding, typesetting,typewriting,typing pool,C
100,The art of keeping account in a regular and systematic manner is called,accountancy,book – keeping,accounting,capital,B
