Order,Question,A,B,C,D,answer
57,C(s) + 2S (g)  → CS2 (g)      Δ H = +89kJ mol-1. The chemical equation above implies that,Each of carbon and sulphur has 89kJ of energy,Both carbon and sulphur contribute 89kJ of energy,89kJ of energy is released,89kJ is absorbed,D
58,The chromatographic separation of ink is based on the ability of the components to,React with each other,React with the solvent,Dissolve in each other in the column,Move at different speeds in the column,D
59,The gas obtained as a product of anaerobic action ob organic matter buried in the earth is,Nitrogen(IV) oxide,Carbon(IV) oxide,Methane,Ethene,C
60, N2O4(g)    ⇌  2NO2(g),A constant volume,An increase in pressure,A decrease in pressure, A decrease in volume,C
61,The postulate of Dalton’s atomic theory which still holds is that,Particles of different elements combine in a simple whole number ratio,Atoms can neither be created nor destroyed,The particles of the same element are exactly alike,All elements are made of small indivisible particles,A
62,A chemical reaction is always associated with,An increase in the composition of one of the substances,A change in the volume of the reactants,A change in the nature of the reactants,The formation of new substances,D
63,Iron can be protected from corrosion by coating the surface with,Silver,Copper,Zinc,Gold,C
64,Substances employed as drying agents are usually,Hygroscopic,Efflorescent,Acidic,Amphoteric,A
65,Which of the followinig respresents hybridization in ethyne?,Sp2,Sp2d,Sp3,sp,D
66,A chemical reaction is always associated with,An increase in the composition of one of the substances,A change in the volume of the reactants,A change in the nature of the reactants,The formation of new substances,D
67,Nigerian crude oil is described as light crude because of its,Low aliphatic hydrocarbon content,Low sulphur content,High natural gas content,High octane number,C
68,Stainless steel is used for making,Tools,Coins and medals,Moving parts of clocks,Magnets,A
69,Natural water collected from rivers and ponds contains oxygen  carbon(IV) oxide and,Chlorine,Hydrogen,Sulphur(IV) oxide,Nitrogen,C
70,The gas obtained as a product of anaerobic action ob organic matter buried in the earth is,Nitrogen(IV) oxide,Carbon(IV) oxide,Methane,Ethene,C
71,What mass of water is produced when 8.0g of hydriogen reacts with excess oxygen [H = 1  O = 16],36.0g,8.0g,72.0g,16.0g,C
72,The postulate of Dalton’s atomic theory which still holds is that,Particles of different elements combine in a simple whole number ratio,Atoms can neither be created nor destroyed,The particles of the same element are exactly alike,All elements are made of small indivisible particles,A
73,3Cu  +  pHNO3  → 3Cu(NO3)2  +  4H2O  + xNO   In the equation above  the values of p and x respectively are,1 and 3,2 and 3,6 and 2,8 and 2,D
74,Which of the following statements is true of sulphur (IV) oxide,It forms Tetraoxosulphate (VI) acid with water,It is an odourless gas,It is an acid anhydride,It forms white precipitate with acidified barium chloride,C
75,Milikan’s contribution to the development of atomic theory is the determination of,Charge on electron,Positive rays,Charge to amss ratio,Cathode rays,C
76,The gas obtained as a product of anaerobic action ob organic matter buried in the earth is,Nitrogen(IV) oxide,Carbon(IV) oxide,Methane,Ethene,C
77,Equal moles of ethyne and hydrogen iodide react to give,CH2 = CH2,CH2 = CHI,CH2 – CHI,CH2 – CI3,B
78,A degree in atomic size and an increase in knuckler charge across a period lead to,A decrease in covalency in bond formation,An increase in chemical reactivity,An increase in the tendency to loss electrons,A decrease in electro positivity,D
79,A compound contains 31.91% potassium  28.93% chlorine and the rest oxygen. What is the chemical formular of the compound,KCLO3,KCLO4,KCLO,KCLO2,A
80,The chromatographic separation of ink is based on the ability of the components to,React with each other,React with the solvent,Dissolve in each other in the column,Move at different speeds in the column,D
81,The characteristic colour of the flame shown when a copper salt moistened with concentrated hydrochloric acid on platinum is put on a bunzen burner is,Green,Lilac,Yellow,Brick-red,A
82,Natural water collected from rivers and ponds contains oxygen  carbon(IV) oxide and,Chlorine,Hydrogen,Sulphur(IV) oxide,Nitrogen,C
83,It is difficult to achieve an orderly arrangement of the molecules of a gas because they,Have no definite shape,Have little force attraction between them,Can collide with one another in the container,Are too small in size,B
84,The property of chlorine which causes hydrogen chloride to be more ionic than the chlorine molecule is its,Electrovalency,Electron affinity,Electropositivity,Electronegativity,D
85,Which of these reagents can confirm the presence of a triple bond,Bromine water,Acidified KMnO4 ,Copper (I) chloride,Bromine gas,C
86,When sulphur (IV) oxide is passed into a solution of sodium hydroxide for a long time. It eventually produces a solution of,Na2SO4,NaHSO4,Na2SO3,NaHSO3,D
87,When 5.0cm3 of a saturated solution of sugar of molar mass 342g at 400C was evaporated to dryness  34.2g of dry solid was obtained. The solubility of sugar at 400C is,7.0 mol dm-3,3.5 mol dm-3,2.0 mol dm-3,10.0mol dm-3,C
88,Which of these reagents can confirm the presence of a triple bond,Bromine water,Acidified KMnO4 ,Copper (I) chloride,Bromine gas,C
89,The ion that will give a white precipitate with aqueous NaOH and soluble in excess of the base is,Zn2+,Mg2+,Ca2+,Cu2+,A
90,The property of chlorine which causes hydrogen chloride to be more ionic than the chlorine molecule is its,Electrovalency,Electron affinity,Electropositivity,Electronegativity,D
91,The solution that will conduct the highest amount of electricity is,2.0 moldm-3 of ethanoic acid,0.5 mol dm-3 of ethanoic acid,2.0 mol dm-3 of hydrochloric acid,0.5 moldm-3 of hydrochloric acid,C
92,A gas X diffuses twice as fast as gas Y under the same conditions. If the relative molecular mass of X is 28. Calculate the relative molecular mass of Y,120,14,56,112,D
93,The maximum number of electrons in the L shell of an atom is,8,18,32,2,A
94,Milikan’s contribution to the development of atomic theory is the determination of,Charge on electron,Positive rays,Charge to amss ratio,Cathode rays,C
95,The characteristic colour of the flame shown when a copper salt moistened with concentrated hydrochloric acid on platinum is put on a bunzen burner is,Green,Lilac,Yellow,Brick-red,A
96,Chlorine gas is prepared in the laboratory by,Adding concentrated hydrochloric acid to solid manganese (IV) oxide,Adding concentrated tetraoxosulphate (VI) acid to solid sodium chloride,Dropping concentrated hydrochloric acid onto potassium tetraoxomanganate (VII) crystals,Oxidizing concentrated hydrochloric acid using potassium heptaoxodichromate (VI) crystals,A
97,When ΔH is negative  a reaction is said to be,Ionic,Reversible,Exothermic,Endothermic,C
98,The chromatographic separation of ink is based on the ability of the components to,React with each other,React with the solvent,Dissolve in each other in the column,Move at different speeds in the column,D
99,When a crystal was added to the clear solution of its salt  the crystal did not dissolve and the solution remained unchanged. This showed that the solution was,Supersaturated,Unsaturated,Saturated,Concentrated,C
100,The maximum number of electrons in the L shell of an atom is,8,18,32,2,A
