Order,Question,A,B,C,D,answer
70,The sons of Eli were regarded as worthless men for all the following reasons except,sleeping with the women at the tent of meeting,failing to attend the places of worship regularly.,taking the meat for sacrifice before boiling.,showing no respect for God.,B
71,Philip’s flight into Samaria was necesitated by ,the need to convert the Samarians. ,directive from the Holy Spirit. ,persecution of Christians by Saul.,the stoning of Stephen,C
72,According to Paul in his letter to Philemon  forgiveness should not be by compulsion but by,justification,faith,free will,His grace.,B
73,Immediately after the contest on Mount Carmel  Elijah prayed and God answered him with,thunder,rainfall,a whirlwind,a heavy storm.,A
74,The eunuch who went to Jerusalem to worship in Acts 8:27 was a  ,minister of God  ,minister of Candace the queen Gaza  ,minister of Candace the king of the Ethiopians,minister of Candace the queen of the Ethiopians,D
75,James advised Christians to portray their faith in Jesus by ,listening to the word of God always. ,converting others to Christ. ,practicalizing their Christian belief ,constant prayer and fasting,C
76,The promise to those who are persecuted for righteousness sake is that they will,inherit the earth,inherit the kingdom of heaven,see God,be called sons of God.,B
77,The last things which Zedekiah saw before his eyes were removed was the ,Egyptian army ,slaughter of all his sons ,city of Jerusalem ,feasting of the children of Israel ,B
78,In his comparison of the human body with the body of Christ  Paul did not mention the,hand.,foot.,eye.,nose.,D
79,The treasures which Jesus wants us to lay in heaven include,generosity and kindness.,love and mercy.,works of righteousness,gold and silver.,C
80,Manahem  the son of Gadi reigned over Israel for ,eight years ,twenty years ,six month ,ten years.,D
81,Moses spoke  to the Israelites to fear not  but be calm  confident and see the salvation of God at  ,Pi-Hahirotti   ,Meribah   ,Wilderness of Sinai ,d.Elim,A
82,To whom was the body of Jesus Christ given for burial after His death? ,Nicodemus the Pharisee ,Simon of Cyrene ,Simon the disciple ,Joseph of Arimathea.,B
83,The disciples of Jesus could not heal the boy with epilepsy because they,did not fast,had little faith,were powerless,did not pray.,A
84,True religion  according to Amos’ submission  is the one in which  ,God is always appeased with sacrifices and tithes ,Foods and drinks are served as a mark of love ,Justice and righteousness flows like an endless stream  ,Feast and solemn assemblies play important roles ,C
85,“Test your servants for ten days; let us be given vegetables to eat and water to drink...” In the statement above  Daniel was talking to,King Darius,the chief of the eunuchs,the steward of the chief eunuch.,King Artaxerxes.,B
86,The book of ____ mostly emphasized social justice,Amos   ,Ezekiel   ,Hoshea,Isaiah,A
87,Manahem  the son of Gadi reigned over Israel for ,eight years ,twenty years ,six month ,ten years.,D
88,“The Lord forbid that I should give you the inheritance of my fathers”. The inheritance referred to here is,birth right.,the world.,the kingship.,a vineyard.,D
89,The descent of the Holy Spirit on the day of  Pentecost was prophesied by ,Amos.           ,Joel.              , David,Ezekiel. ,B
90,The meaning of Ephphatha is ,be opened ,be still ,be silent ,little girl  arise,A
91,In Philippians  Paul taught that Jesus ‘humility and death on the cross earned Him,salvation for Israel.,adoption as son of God.,exaltation as Lord.,eternal life in the kingdom.,C
92,The descent of the Holy Spirit on the day of  Pentecost was prophesied by ,Amos.           ,Joel.              , David,Ezekiel. ,B
93,The concept of  forgiveness does not include,reconciliation,restoration,peace,wealth,D
94,In his comparison of the human body with the body of Christ  Paul did not mention the ,han,foot. ,eye. ,nose.,D
95,Which of the following tribes accompanied Deborah and Barak to the war against Jabin and Sisera?,Naphtali and Zebulum,Issachar and Reuben,Ephraim and Dan,Judah and Benjamin,A
96,How old was Abram when God appeared to him the second time? ,75 years         ,85 years        ,99 years      ,105 years,C
97,“...but should write to them to abstain from the pollutions of idols and from unchastity and from what is strangled and from blood...” The statement above was made at the Council of Jerusalem by,Philip,Simon,James,Peter,D
98,How old was Abram when God appeared to him the second time? ,75 years         ,85 years        ,99 years      ,105 years,C
99,Why according to Paul must Christians be subject to civil authority?,To receive God’s approval,To avoid God’s wrath,God has commanded it,It is an Old Testament law,B
100,Joshua’s first victory was over the people of ,Ai ,Gideon ,Gilgal ,Jericho ,D
