Order,Question,A,B,C,D,answer
35,Manahem  the son of Gadi reigned over Israel for ,eight years ,twenty years ,six month ,ten years.,D
36,On matters of parental responsibility  Samuel could not be commended because he,made his children judges instead of priests.,wanted his children to succeed him.,did nothing to stop his children’s immoral behaviours.,did not care what happened to Israel after his death.,C
37,The prophet whose message was primarily on social justice and true religion is  ,Isaiah  ,Agabus  ,Amos  ,Jeremiah,D
38,According to Paul in his letter to Philemon  forgiveness should not be by compulsion but by,justification,faith,free will,His grace.,B
39,Moses spoke  to the Israelites to fear not  but be calm  confident and see the salvation of God at  ,Pi-Hahirotti   ,Meribah   ,Wilderness of Sinai ,d.Elim,A
40,When God called Moses to deliver the Israelites  he resisted because he could not speak and he was told to,perform some signs with his rod,wait for a sign from God,go with Joshua who would speak for him,go with Aaron who would speak for him,D
41,In spite of Solomon’s apostasy  his empire remained intact until his death because ,God deferred  for David’s sake  the punishment due to him, he won decisive victories over his enemies. ,he always took wise decisions,he made surrounding nations fight among themselves.,A
42,Apart from the miracles at the wedding feast  another miracle of Jesus at Cana in Galilee was,feeding the four thousand.,healing the noble man’s son.,healing of a man born blind,healing a paralytic man.,D
43,God’s constant love for unfaithful Israel is demonstrated in the book of ,Amos ,Isaiah ,Hosea ,Ezekiel,C
44,The wife of Moses was called,Rebecca.,Rachel.,Zipporah.,Deborah,C
45,One of the following said: “the lion has roared who will not fear? ,Nathan ,Jeremiah ,Amos ,Hosea,A
46,Joseph’s brothers hated him the more because ,he dreamed about his future dominion over his family members ,he used to give his father evil reports about them ,his father had him at his old age ,his father made a special robe for him,A
47,Yet what they are building if a fox goes up on it he will breakdown their stone wall”. This statement by Tobias was ,taunt and ridicule the Jews,stop and disgrace the Jews,tease and punish Nehemiah.,alert and strengthen Nehemiah,A
48,In his comparison of the human body with the body of Christ  Paul did not mention the ,han,foot. ,eye. ,nose.,D
49,God blessed and hallowed the seventh day because,it was the day He rested from creation,it was the day He created man,He wanted it to be a day of worship,He saw that all He had created was good.,A
50,How old was Abram when God appeared to him the second time? ,75 years         ,85 years        ,99 years      ,105 years,C
51,The prophet whose message was primarily on social justice and true religion is  ,Isaiah  ,Agabus  ,Amos  ,Jeremiah,D
52,The treasures which Jesus wants us to lay in heaven include,generosity and kindness.,love and mercy.,works of righteousness,gold and silver.,C
53,“This is the King of the Jews”This inscription on the cross was meant to show Jesus,charge ,punishment ,victory       ,messiaship,A
54,The sons of Eli were regarded as worthless men for all the following reasons except,sleeping with the women at the tent of meeting,failing to attend the places of worship regularly.,taking the meat for sacrifice before boiling.,showing no respect for God.,B
55,The sons of Eli were regarded as worthless men for all the following reasons except,sleeping with the women at the tent of meeting,failing to attend the places of worship regularly.,taking the meat for sacrifice before boiling.,showing no respect for God.,B
56,Pick the odd out of the following characters:  ,Saul   ,David,Jonathan,Solomon,C
57,“Test your servants for ten days; let us be given vegetables to eat and water to drink...” In the statement above  Daniel was talking to,King Darius,the chief of the eunuchs,the steward of the chief eunuch.,King Artaxerxes.,B
58,True religion  according to Amos’ submission  is the one in which  ,God is always appeased with sacrifices and tithes ,Foods and drinks are served as a mark of love ,Justice and righteousness flows like an endless stream  ,Feast and solemn assemblies play important roles ,C
59,“The Lord forbid that I should give you the inheritance of my fathers”. The inheritance referred to here is,birth right.,the world.,the kingship.,a vineyard.,D
60,The incident in the fiery furnace concerning Shadrach  Meshach and Abednego convinced Nebuchadnezzar that, they had many gods to save them. ,the Jews were very powerful people. ,the three Jews were angelic beings,Yahweh is the only true God.,D
61,Peter admonished Christians to be sober and watchful in order to a void,temptation,God’s wrath,the devourer,damnation,A
62,“Dress yourself and put on your sandals”. Obedience to this instruction led to ,an angel’s destruction of Herod ,Peter’s arrest and imprisonment ,Peter’s release from prison ,the disciples’escape from Herod,C
63,God’s message through Jonah’s was to the people of,Joppa,Tarshish,Samaira,Nineveh,D
64,In his teaching on effective prayer  James said that the prayer of faith would,influence the authority,heal and cleanse sins,ensure salvation for the sick,enhance commitment to church,B
65,Which of the following tribes accompanied Deborah and Barak to the war against Jabin and Sisera?,Naphtali and Zebulum,Issachar and Reuben,Ephraim and Dan,Judah and Benjamin,A
66,The episode of David and Bathsheba  Uriah’s wife was in 	violation of God’s,sixth commandment.,seventh commandment ,eight commandment.,ninth commandment.,A
67,Peter called for the construction of three booths for Jesus  Moses and Elijah  respectively during ,the transfiguration. ,the Ascension. ,Jesus’arrest. ,the passover feast.,A
68,The book of ____ mostly emphasized social justice,Amos   ,Ezekiel   ,Hoshea,Isaiah,A
69,Deborah was a judge when Israel was under the yoke of ,Moab ,Midian ,Canaan ,Philistine,C
70,The miracles of Jesus recorded in John’s gospel are called,works,signs,powers,wonders.,B
71,Which of the following tribes accompanied Deborah and Barak to the war against Jabin and Sisera?,Naphtali and Zebulum,Issachar and Reuben,Ephraim and Dan,Judah and Benjamin,A
72,Manahem  the son of Gadi reigned over Israel for ,eight years ,twenty years ,six month ,ten years.,D
73,Let his habitation be made desolate  and let there be no one to live in it’ who is being referred to here?  ,King soul ,Judas Iscariot ,Stephen ,Barnabas ,B
74,Paul in Romans advised believers to respect those in authority to avoid God’s wrath and also for the sake of,conscience,Christ,faith,others,A
75,The tribes which lead the Jews in rebuilding the temple were,Judah and Benjamin, Levi and Gad,Ephraim and Manasseh,Reuben and Zebulum,A
76,“Dress yourself and put on your sandals”. Obedience to this instruction led to ,an angel’s destruction of Herod ,Peter’s arrest and imprisonment ,Peter’s release from prison ,the disciples’escape from Herod,C
77,According to Peter  doing the right thing is a way of expressing,our rights.,our freedom.,faith in Christ.,dislike for evil,C
78,The wife of Moses was called,Rebecca.,Rachel.,Zipporah.,Deborah,C
79,“This is the King of the Jews”This inscription on the cross was meant to show Jesus,charge ,punishment ,victory       ,messiaship,A
80,Paul in Romans advised believers to respect those in authority to avoid God’s wrath and also for the sake of,conscience,Christ,faith,others,A
81,The concept of  forgiveness does not include,reconciliation,restoration,peace,wealth,D
82,In Philippians  Paul taught that Jesus ‘humility and death on the cross earned Him,salvation for Israel.,adoption as son of God.,exaltation as Lord.,eternal life in the kingdom.,C
83,Paul taught the Colossians that the relationship between wives and their husbands should be as,is fitting in the Lord,the culture demands,is written in the law,the husband commands,A
84,“Shall l pursue after this band? Shall l overtake them?” David’s dependence on God for direction is depicted in the statement above when,Absalom had revolted against him,Saul was within his grasp,the Amalekites had raided Ziklag,he was to go against Goliath,C
85,Before their first encounter with Jesus  Peter and Andrew were,preachers.,tax collectors.,fishermen.,tent makers.,C
86,The message of the risen Christ to the women who came early to the tomb was to be relayed to the disciples and (Mark 16:7),the Jews,the Sadducees,Thomas,Peter,D
87,“Shall l pursue after this band? Shall l overtake them?” David’s dependence on God for direction is depicted in the statement above when,Absalom had revolted against him,Saul was within his grasp,the Amalekites had raided Ziklag,he was to go against Goliath,C
88,The meaning of Ephphatha is ,be opened ,be still ,be silent ,little girl  arise,A
89,“Shall l pursue after this band? Shall l overtake them?” David’s dependence on God for direction is depicted in the statement above when,Absalom had revolted against him,Saul was within his grasp,the Amalekites had raided Ziklag,he was to go against Goliath,C
90,Peter admonished church leaders to take care of the flock of Christ in order to,restrain men from degrading the church ,obtain God’s crown of glory ,build a vibrant church ,ensure discipline in the church,B
91,Deborah was a judge when Israel was under the yoke of ,Moab ,Midian ,Canaan ,Philistine,C
92,What was Moses’ reaction when God called him to liberate his people from Egypt?,He was afraid of being punished for his previous offence,His people would think he was too young to lead them,His people would not listen to him,His father in-law would not allow him to go.,C
93,“Shall l pursue after this band? Shall l overtake them?” David’s dependence on God for direction is depicted in the statement above when,Absalom had revolted against him,Saul was within his grasp,the Amalekites had raided Ziklag,he was to go against Goliath,C
94,Isaiah said that when Israel spread forth their hands  God would hide his face because they were,making many prayers,offering vain sacrifices.,worshipping God with their hearts.,observing elaborate feasts.,B
95,The sun stood still when ,Moses led Israel across the Red sea ,Jericho fell to the army of Joshua ,Noah came out of the ark ,Joshua defeated the Amorite at Gideon ,D
96,The treasures which Jesus wants us to lay in heaven include,generosity and kindness.,love and mercy.,works of righteousness,gold and silver.,C
97,“Dress yourself and put on your sandals”. Obedience to this instruction led to ,an angel’s destruction of Herod ,Peter’s arrest and imprisonment ,Peter’s release from prison ,the disciples’escape from Herod,C
98,God provided water for the Israelites by asking Moses to strike the rock at trice wilderness of,Rephidium,sin,Massah,Paran.,B
99,The disciples of Jesus could not heal the boy with epilepsy because they,did not fast,had little faith,were powerless,did not pray.,A
100,“...yet the most high does not dwell in houses made with hands.. ” This defence of Stephen meant that God is,Omnipotent.,Omnipresent.,Alpha.,Omega.,B
